EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,HeaveAttempts,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Arc3FGM,PenaltyArc3FGM,FG3M,FtPoints,SecondChanceFG2M,SecondChancePoints,PenaltyFG3M,PenaltyFtPoints,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,ShortMidRangeAssists,OffThreePtRebounds,DefTwoPtRebounds,SelfOReb,LostBallSteals,DeadBallTurnovers,Charge Fouls Drawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceFtPoints,PtsAssisted3s,ThreePtAssists,Arc3Assists,LongMidRangeAssists,LostBallTurnovers,Assisted3sPct,DefLongMidRangeReboundPct,LongMidRangePctAssisted,Arc3PctAssisted,DefCorner3ReboundPct,BlockingFoulsDrawn,Loose Ball Fouls,Offensive Fouls,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,BlockingFouls,Offensive Fouls Drawn,BadPassOutOfBoundsTurnovers,Charge Fouls,Corner3FGM,LostBallOutOfBoundsTurnovers,Corner3Accuracy,UnblockedCorner3Accuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Fg3aBlocked,Corner3Assists,FTOffRebounds,Travels,ThreePtShootingFoulsDrawn,BlockedShortMidRange,DefensiveGoaltends,SecondChanceFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceTurnovers,Technical Free Throw Trips,3pt And 1 Free Throw Trips,SecondChanceCorner3FGM,BlockedLongMidRange,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1626167-1627734-201954-202362-202709,1610612754,"Myles Turner, Domantas Sabonis, Darren Collison, Lance Stephenson, Cory Joseph","Turner, Sabonis, Collison, Stephenson, Joseph",1626167-1627734-201954-202362-202709,IND,229.0,2,4.0,-6.0,8.0,8.0,8.0,1.0,1.0,16,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,5.0,3.0,4.0,10.0,1.0,2.0,5.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,8.0,0.5,0.5,0.4,0.4,0.25,0.25,0.25,0.25,0.375,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,0.5,1.0,100.61135371179039,18.5,10.125,16.25,10.125,0.125,1.0,1.0,1.0,0.125,0.375,0.3333333333333333,0.3333333333333333,0.125,0.25,0.125,1.0,0.125,0.25,0.5,0.49342142857142857,0.4268,0.49342142857142857,1.0,11.64,35.699999999999996,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,False
1626167-1627734-201954-202362-203506,1610612754,"Myles Turner, Domantas Sabonis, Darren Collison, Lance Stephenson, Victor Oladipo","Turner, Sabonis, Collison, Stephenson, Oladipo",1626167-1627734-201954-202362-203506,IND,656.0,5,11.0,9.0,22.0,21.0,15.0,9.0,3.0,43,4.0,7.0,3.0,5.0,5.0,2.0,5.0,1.0,1.0,3.0,1.0,8.0,17.0,4.0,26.0,17.0,3.0,4.0,11.0,2.0,14.0,6.0,10.0,,3.0,3.0,3.0,2.0,6.0,3.0,5.0,,8.0,4.0,12.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,5.0,20.0,14.0,15.0,0.375,0.5,0.47058823529411764,0.36363636363636365,0.5238095238095238,0.4230769230769231,0.5652173913043478,0.4666666666666667,0.19047619047619047,0.75,,0.375,0.8333333333333334,0.8888888888888888,0.4,,1.0,94.39024390243902,14.363636363636363,16.19047619047619,14.227272727272727,16.047619047619047,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.5,0.23809523809523808,0.23809523809523808,0.4,0.4,0.047619047619047616,0.14285714285714285,0.38461538461538464,0.6,0.07692307692307693,0.07692307692307693,0.5238095238095238,0.5405833333333333,0.6104666666666666,0.5360884615384616,0.5384615384615384,8.5,25.9,0.6818181818181818,2.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,6.0,1.0,3.0,6.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,0.058823529411764705,0.2,1.0,0.5,1.0,1.0,1.0,1.0,0.2,1.0,0.4,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.047619047619047616,0.058823529411764705,0.23076923076923078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,False
1626167-1627734-201954-202709-203506,1610612754,"Myles Turner, Domantas Sabonis, Darren Collison, Cory Joseph, Victor Oladipo","Turner, Sabonis, Collison, Joseph, Oladipo",1626167-1627734-201954-202709-203506,IND,199.0,1,3.0,10.0,6.0,6.0,,,1.0,12,1.0,1.0,,,,1.0,2.0,,,2.0,,2.0,3.0,2.0,12.0,2.0,,,,,,2.0,2.0,,2.0,1.0,2.0,,5.0,1.0,1.0,,5.0,1.0,6.0,,,1.0,,1.0,,,,1.0,10.0,,,0.5,0.5,0.6666666666666666,,1.0,,1.0,,0.4,1.0,,1.0,0.5,0.8333333333333334,1.0,1.0,1.0,86.83417085427135,14.5,18.666666666666668,14.166666666666666,18.333333333333332,0.2,1.0,1.0,,,0.4,0.5,0.5,,0.4,,,,,0.6,0.45037000000000005,,,,11.766666666666666,26.3,,,,,2.0,,2.0,2.0,,2.0,,,3.0,,2.0,,,,4.0,1.0,,,,,2.0,,1.0,,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,1.0,0.16666666666666666,0.25,0.16666666666666666,2.0,3.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,False
1626167-1627734-201954-202711-203506,1610612754,"Myles Turner, Domantas Sabonis, Darren Collison, Bojan Bogdanovic, Victor Oladipo","Turner, Sabonis, Collison, Bogdanovic, Oladipo",1626167-1627734-201954-202711-203506,IND,211.0,3,4.0,-7.0,5.0,9.0,5.0,6.0,,14,,,,,1.0,,,,,2.0,2.0,,1.0,2.0,,7.0,,,1.0,2.0,,,,,2.0,,,,,,4.0,,4.0,,4.0,,,,,,,,,2.0,,,5.0,,,,,,,,,0.6666666666666666,,,,1.0,0.8,,,1.0,95.54502369668246,14.4,15.444444444444445,14.4,13.333333333333334,,,,,0.3333333333333333,,,,,0.6666666666666666,,,,0.6666666666666666,0.6666666666666666,0.50425,,0.50425,,13.8,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.6666666666666666,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,False
1626167-1627734-202362-202709-202711,1610612754,"Myles Turner, Domantas Sabonis, Lance Stephenson, Cory Joseph, Bojan Bogdanovic","Turner, Sabonis, Stephenson, Joseph, Bogdanovic",1626167-1627734-202362-202709-202711,IND,146.0,1,2.0,3.0,4.0,4.0,,,,8,1.0,1.0,,,,1.0,1.0,,,1.0,,2.0,2.0,1.0,7.0,4.0,,,,,,4.0,,,1.0,2.0,2.0,1.0,4.0,,,,2.0,,2.0,,,,,,,,,2.0,7.0,,,1.0,1.0,1.0,,0.6666666666666666,,0.875,,0.3333333333333333,,,,,1.0,,,,78.9041095890411,11.25,25.25,11.25,25.25,0.3333333333333333,1.0,1.0,1.0,,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,0.6666666666666666,0.5276166666666667,,,,10.45,26.8,,,,,,,,3.0,,,,,,,,,,,2.0,,,,,,3.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,0.5,0.6666666666666666,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,False
1626167-1627734-202362-202709-203506,1610612754,"Myles Turner, Domantas Sabonis, Lance Stephenson, Cory Joseph, Victor Oladipo","Turner, Sabonis, Stephenson, Joseph, Oladipo",1626167-1627734-202362-202709-203506,IND,228.0,4,4.0,4.0,8.0,8.0,2.0,3.0,,16,,,,,,,,1.0,,3.0,1.0,,,4.0,10.0,6.0,,,,1.0,,,,,3.0,,1.0,,3.0,,2.0,,3.0,,3.0,1.0,1.0,1.0,,2.0,1.0,1.0,3.0,3.0,10.0,,2.0,,,,,0.75,,0.8333333333333334,,1.0,0.5,,,0.6666666666666666,0.6,,,1.0,101.05263157894737,13.0,15.5,13.0,15.375,,,,,,,,,0.25,0.75,,,,1.0,1.0,0.5545875,,0.5406,,,25.3,0.25,,,,2.0,,2.0,4.0,,,,,3.0,,2.0,,,,1.0,,,1.0,1.0,,4.0,,2.0,,,,,,,0.5,,0.5,,,,,,0.5,,,,,1.0,,,,,,0.6666666666666666,0.6666666666666666,,,,0.6666666666666666,0.3333333333333333,1.0,,,3.0,1.0,1.0,,1.0,0.5,,,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,False
1626167-1627734-202709-202711-203506,1610612754,"Myles Turner, Domantas Sabonis, Cory Joseph, Bojan Bogdanovic, Victor Oladipo","Turner, Sabonis, Joseph, Bogdanovic, Oladipo",1626167-1627734-202709-202711-203506,IND,23.0,1,,,1.0,,,,,1,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.60869565217391,23.0,,23.0,,1.0,,,,,,,,,,,,,,1.0,0.2208,,,,2.8,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,False
1626167-201152-201954-202362-202709,1610612754,"Myles Turner, Thaddeus Young, Darren Collison, Lance Stephenson, Cory Joseph","Turner, Young, Collison, Stephenson, Joseph",1626167-201152-201954-202362-202709,IND,114.0,1,2.0,4.0,4.0,4.0,,,,8,3.0,3.0,,,1.0,,,,,,,3.0,4.0,,6.0,2.0,,,,,,2.0,4.0,,,1.0,1.0,1.0,2.0,,2.0,,2.0,,2.0,1.0,1.0,,,,,1.0,2.0,1.0,6.0,,,0.3333333333333333,0.3333333333333333,0.75,,0.75,,0.75,,,,,,1.0,1.0,,,1.0,101.05263157894737,10.25,18.25,10.25,16.0,0.75,1.0,1.0,0.3333333333333333,0.25,,,,,,,,,,0.75,0.45055,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,False
1626167-201152-201954-202362-202711,1610612754,"Myles Turner, Thaddeus Young, Darren Collison, Lance Stephenson, Bojan Bogdanovic","Turner, Young, Collison, Stephenson, Bogdanovic",1626167-201152-201954-202362-202711,IND,242.0,2,4.0,5.0,10.0,9.0,,8.0,,19,2.0,2.0,,,1.0,,,,,3.0,,3.0,3.0,3.0,12.0,7.0,,,,,,6.0,,,3.0,3.0,5.0,2.0,12.0,,4.0,,5.0,,5.0,,,1.0,1.0,4.0,,,1.0,1.0,12.0,,,1.0,1.0,1.0,,1.0,,1.0,,0.5,0.25,,,1.0,1.0,,,1.0,113.05785123966942,12.6,12.88888888888889,12.6,12.88888888888889,0.3333333333333333,1.0,1.0,1.0,0.16666666666666666,,,,,0.5,,,,,0.8333333333333334,0.5657333333333333,,,,4.5,26.366666666666664,,,,1.0,2.0,,2.0,,,,,,,,2.0,,1.0,,1.0,,,3.0,,,,,,,,,,,,0.6666666666666666,,0.6666666666666666,,,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,,,,0.6666666666666666,,,,,6.0,2.0,2.0,,,1.0,,,1.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,False
1626167-201152-201954-202362-203506,1610612754,"Myles Turner, Thaddeus Young, Darren Collison, Lance Stephenson, Victor Oladipo","Turner, Young, Collison, Stephenson, Oladipo",1626167-201152-201954-202362-203506,IND,695.0,4,12.0,,22.0,21.0,4.0,5.0,3.0,43,7.0,11.0,,2.0,,,,2.0,,4.0,,7.0,11.0,6.0,23.0,23.0,3.0,,2.0,,,8.0,6.0,,4.0,4.0,5.0,4.0,11.0,1.0,3.0,1.0,7.0,3.0,10.0,3.0,1.0,5.0,2.0,6.0,2.0,2.0,3.0,4.0,19.0,,4.0,0.5714285714285714,0.6666666666666666,0.6363636363636364,,0.5882352941176471,,0.6052631578947368,,0.35294117647058826,0.8333333333333334,1.0,0.25,1.0,0.75,0.375,,1.0,89.09352517985612,16.772727272727273,15.523809523809524,15.954545454545455,15.476190476190476,0.6470588235294118,0.6363636363636364,0.6363636363636364,0.5714285714285714,,,,,0.11764705882352941,0.23529411764705882,1.0,,,,1.0,0.6404323529411764,0.6922,0.723,,1.0818181818181818,25.133333333333336,0.18181818181818182,2.0,3.0,,1.0,,2.0,3.0,2.0,4.0,,,3.0,2.0,1.0,,,2.0,3.0,,2.0,1.0,,,4.0,,2.0,,,,,,,0.3333333333333333,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,0.6,0.5,0.25,0.6666666666666666,0.3333333333333333,,,,,,,0.25,0.25,1.0,0.6666666666666666,,0.25,0.10526315789473684,0.15384615384615385,0.17391304347826086,,3.0,1.0,1.0,,3.0,0.5,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2018,2017-18,False
