EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyArc3FGA,PenaltyFG3A,PenaltyOffPossExcludingTakeFouls,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,OffTwoPtRebounds,OffRebounds,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,SecondChanceArc3FGA,SecondChanceFG3A,OffAtRimReboundPct,SecondChanceArc3Frequency,PenaltyDefPoss,PenaltyArc3FGM,PenaltyFG2M,PenaltyFG3M,ShootingFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyArc3Accuracy,Corner3FGA,SecondChanceCorner3FGA,OffThreePtRebounds,2pt And 1 Free Throw Trips,BlockedCorner3,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Frequency,SecondChanceCorner3Frequency,Corner3FGM,Corner3Assists,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFGM,PenaltyCorner3FGA,PtsPutbacks,LongMidRangeAssists,LostBallSteals,BadPassTurnovers,PenaltyTurnovers,Offensive Fouls Drawn,DefAtRimReboundPct,LongMidRangePctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PtsUnassisted3s,Fg2aBlocked,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,Offensive Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,BlockedAtRim,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,OffCorner3ReboundPct,Charge Fouls,Loose Ball Fouls,RecoveredBlocks,BlocksRecoveredPct,SecondChanceTurnovers,SecondChanceCorner3FGM,PenaltyCorner3FGM,LostBallOutOfBoundsTurnovers,BlockingFouls,Charge Fouls Drawn,3pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,BlockedLongMidRange,Defensive 3 Seconds Violations,LongMidRangePctBlocked,DefensiveGoaltends,FTOffRebounds,3SecondViolations,OffFTReboundPct,StepOutOfBoundsTurnovers,OffensiveGoaltends,HeaveMakes,team_id,year,season,team_vs
101107-1626163-1626203-1627362-201158,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Briante Weber, Marco Belinelli","Williams, Kaminsky, Graham, Weber, Belinelli",101107-1626163-1626203-1627362-201158,CHA,290.0,1,5.0,2.0,8.0,8.0,16.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,10.0,8.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,0.5,0.5,1.0,0.875,0.8333333333333334,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.44827586206897,17.5,18.75,17.5,18.75,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.4874125,0.3333333333333333,0.3333333333333333,0.3333333333333333,14.7,25.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,False
101107-1626163-1626203-201158-201196,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Marco Belinelli, Ramon Sessions","Williams, Kaminsky, Graham, Belinelli, Sessions",101107-1626163-1626203-201158-201196,CHA,11.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,False
101107-1626163-1626203-201158-202689,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Marco Belinelli, Kemba Walker","Williams, Kaminsky, Graham, Belinelli, Walker",101107-1626163-1626203-201158-202689,CHA,27.0,1,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,53.33333333333333,19.0,,19.0,,,,,1.0,,,,1.0,,0.5505,,,,,24.1,1.0,1.0,1.0,1.0,1.0,0.5505,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,False
101107-1626163-1626203-201158-203148,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Marco Belinelli, Brian Roberts","Williams, Kaminsky, Graham, Belinelli, Roberts",101107-1626163-1626203-201158-203148,CHA,287.0,1,5.0,-16.0,8.0,9.0,17.0,,3.0,,2.0,2.0,6.0,,2.0,2.0,6.0,22.0,,,2.0,,,2.0,,4.0,,,,1.0,,,,,,,2.0,3.0,1.0,,,,,4.0,,,,0.3333333333333333,0.25,0.2777777777777778,0.25,,,,,,,,85.29616724738676,22.375,12.0,20.75,11.555555555555555,0.375,,,0.25,,,,0.5,,0.50170625,0.1111111111111111,0.14285714285714285,,10.950000000000001,25.05,4.0,1.0,1.0,4.0,0.3333333333333333,0.5308833333333333,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.25,0.16666666666666666,0.3333333333333333,0.25,0.5,0.5,1.0,0.125,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.6851,0.3333333333333333,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,False
101107-1626163-1626203-201196-202689,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Ramon Sessions, Kemba Walker","Williams, Kaminsky, Graham, Sessions, Walker",101107-1626163-1626203-201196-202689,CHA,68.0,2,1.0,-2.0,2.0,2.0,4.0,,,,1.0,,1.0,,1.0,1.0,1.0,3.0,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,1.0,2.0,1.0,,,,,1.0,,,,,,0.16666666666666666,0.5,,,,,,,,84.70588235294117,17.0,17.0,14.0,11.5,,,,0.5,,,,1.0,,0.595925,0.3333333333333333,0.5,,1.6,27.8,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,0.5,,0.5,,,,,,,,,,,,0.53565,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,False
101107-1626163-1626203-201587-202689,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Nicolas Batum, Kemba Walker","Williams, Kaminsky, Graham, Batum, Walker",101107-1626163-1626203-201587-202689,CHA,86.0,1,1.0,,3.0,3.0,6.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,5.0,5.0,,3.0,1.0,1.0,1.0,2.0,1.0,5.0,,,,,,,,,,1.0,,,,,,,,5.0,1.0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.3333333333333333,,,,,,,,100.46511627906976,22.0,6.666666666666667,22.0,6.666666666666667,0.3333333333333333,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.3596333333333333,,,,12.5,25.7,3.0,1.0,1.0,3.0,0.3333333333333333,0.3596333333333333,1.0,,,,,,,1.0,1.0,,,,2.0,,5.0,2.0,1.0,,1.0,,,,5.0,1.0,1.0,,,,0.8333333333333334,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,1.0,,,,,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,False
101107-1626163-1626203-202689-203087,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Kemba Walker, Jeremy Lamb","Williams, Kaminsky, Graham, Walker, Lamb",101107-1626163-1626203-202689-203087,CHA,70.0,1,1.0,3.0,2.0,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,3.0,,2.0,,1.0,,,,,,,1.0,1.0,2.0,,,,,,,2.0,1.0,1.0,,1.0,,1.0,3.0,,,,1.0,0.3333333333333333,0.5,0.6666666666666666,,1.0,,0.5,,1.0,,61.71428571428571,21.5,27.0,17.0,27.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,0.6666666666666666,,0.5124666666666667,0.3333333333333333,1.0,,17.6,24.7,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,False
101107-1626163-1626203-203087-203148,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Jeremy Lamb, Brian Roberts","Williams, Kaminsky, Graham, Lamb, Roberts",101107-1626163-1626203-203087-203148,CHA,59.0,1,1.0,-4.0,2.0,3.0,5.0,,,,,,2.0,,,,,4.0,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,122.03389830508475,21.5,5.333333333333333,21.5,5.333333333333333,,,,,,,,0.5,,0.56095,,,,5.85,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,False
101107-1626163-1627362-201158-201587,1610612766,"Marvin Williams, Frank Kaminsky, Briante Weber, Marco Belinelli, Nicolas Batum","Williams, Kaminsky, Weber, Belinelli, Batum",101107-1626163-1627362-201158-201587,CHA,275.0,3,5.0,8.0,6.0,7.0,13.0,,,,,4.0,4.0,1.0,1.0,2.0,13.0,5.0,,3.0,,,1.0,5.0,,11.0,3.0,2.0,5.0,5.0,,,,,,2.0,2.0,3.0,1.0,,,,1.0,13.0,1.0,1.0,1.0,1.0,1.1,1.0833333333333333,0.2,,0.6666666666666666,0.75,0.7142857142857143,0.5,1.0,0.6666666666666666,68.07272727272728,16.166666666666668,25.428571428571427,16.166666666666668,22.428571428571427,,,,,,,,1.0,,0.61971,0.2,0.25,,1.5,22.8,1.0,,,1.0,,,0.16666666666666666,,4.0,4.0,,,,,,,,,,2.0,2.0,8.0,4.0,4.0,,,,,2.0,1.0,1.0,,,,1.0,,,,0.8,1.0,1.0,1.0,,,,,,,,,,,0.15384615384615385,,,,,,,,,,,,,,1.0,,,1.0,,,,0.2,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,False
101107-1626163-1627362-201158-203077,1610612766,"Marvin Williams, Frank Kaminsky, Briante Weber, Marco Belinelli, Michael Kidd-Gilchrist","Williams, Kaminsky, Weber, Belinelli, Kidd-Gilchrist",101107-1626163-1627362-201158-203077,CHA,383.0,5,6.0,-6.0,12.0,12.0,24.0,2.0,4.0,,1.0,5.0,8.0,,2.0,5.0,15.0,21.0,4.0,,1.0,,,3.0,,6.0,,1.0,1.0,3.0,1.0,,1.0,,1.0,1.0,6.0,6.0,2.0,,,,,11.0,,,,0.625,0.5,0.5769230769230769,0.2,1.0,1.0,,1.0,,,,90.23498694516971,16.916666666666668,15.0,16.916666666666668,15.0,0.4,0.5,0.5,0.1,,,,0.6,,0.49241999999999997,0.16666666666666666,0.2,,10.15,24.05,11.0,1.0,2.0,11.0,0.125,0.4767875,0.9166666666666666,2.0,3.0,4.0,2.0,2.0,2.0,,,2.0,2.0,4.0,6.0,5.0,13.0,6.0,3.0,1.0,,2.0,2.0,,13.0,0.6,1.0,1.0,1.0,1.0,0.5909090909090909,1.0,0.5,1.0,0.4,0.75,0.75,0.3333333333333333,,,,,1.0,1.0,,0.25,0.64035,0.26666666666666666,0.8666666666666667,,,1.0,,2.0,,4.0,,1.0,,0.6666666666666666,0.5,,1.0,,,,,,,0.1,,,,1.0,,,1.0,,,,,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,False
