EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,Charge Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,3SecondViolations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGA,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3Frequency,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyTurnovers,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyDefPoss,NonShootingPenaltyNonTakeFouls,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Travels,BlockingFouls,Loose Ball Fouls,BlockedShortMidRange,HeaveAttempts,PenaltyCorner3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFG3M,Offensive Fouls Drawn,SecondChanceFg3Pct,PenaltyFg3Pct,OffLongMidRangeReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SelfOReb,SelfORebPct,Loose Ball Fouls Drawn,Blocked3s,BlockedCorner3,Offensive Fouls,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,DefensiveGoaltends,Technical Free Throw Trips,OffensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,Clear Path Fouls,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedArc3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,team_id,year,season,team_vs
1626159-1626196-201177-201609-202355,1610612748,"Justise Winslow, Josh Richardson, Josh McRoberts, Goran Dragic, Hassan Whiteside","Winslow, Richardson, McRoberts, Dragic, Whiteside",1626159-1626196-201177-201609-202355,MIA,2296.0,3,38.0,-4.0,74.0,74.0,3.0,7.0,148.0,13.0,23.0,2.0,3.0,9.0,14.0,4.0,10.0,1.0,6.0,6.0,12.0,1.0,1.0,26.0,47.0,7.0,18.0,7.0,80.0,84.0,3.0,4.0,1.0,6.0,1.0,2.0,1.0,2.0,16.0,36.0,15.0,6.0,4.0,12.0,6.0,2.0,8.0,5.0,13.0,4.0,1.0,2.0,4.0,2.0,31.0,4.0,2.0,1.0,10.0,19.0,4.0,33.0,7.0,40.0,3.0,2.0,1.0,7.0,2.0,6.0,6.0,1.0,1.0,13.0,2.0,7.0,14.0,1.0,13.0,1.0,1.0,10.0,2.0,6.0,3.0,2.0,1.0,3.0,2.0,1.0,74.0,2.0,3.0,0.3076923076923077,0.3333333333333333,0.7142857142857143,0.3888888888888889,0.3888888888888889,0.5531914893617021,0.75,0.5,0.5615384615384615,0.6,0.3333333333333333,0.5797101449275363,0.6,0.3333333333333333,0.27692307692307694,0.0425531914893617,0.08695652173913043,0.5384615384615384,1.0,0.5,0.8260869565217391,0.09523809523809523,0.7692307692307693,0.36363636363636365,0.8055555555555556,0.1875,0.2,0.5,0.2,0.8888888888888888,0.6,0.8888888888888888,0.7142857142857143,0.8333333333333334,92.82229965156795,0.6666666666666666,16.12162162162162,14.905405405405405,15.486486486486486,14.41891891891892,0.35384615384615387,0.5652173913043478,0.6190476190476191,0.15384615384615385,0.2153846153846154,0.6428571428571429,0.6428571428571429,0.4444444444444444,0.15384615384615385,0.4,0.4,0.5,0.09230769230769231,0.16666666666666666,0.16666666666666666,1.0,0.18461538461538463,0.5,0.5,0.6666666666666666,0.6,0.6666666666666666,0.2,0.3333333333333333,0.6307692307692307,0.5,0.5079838461538461,0.59315,0.4553666666666667,0.08695652173913043,0.11764705882352941,0.075,0.025,7.317021276595744,24.688888888888886,0.04054054054054054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,False
1626159-1626196-201177-201609-204020,1610612748,"Justise Winslow, Josh Richardson, Josh McRoberts, Goran Dragic, Tyler Johnson","Winslow, Richardson, McRoberts, Dragic, Johnson",1626159-1626196-201177-201609-204020,MIA,2.0,2,,2.0,2.0,,2.0,,2.0,,,,,,,,,,1.0,,,,,,,,1.0,2.0,2.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,4.0,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,0.3333333333333333,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,1440.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,0.2502,,0.2502,,,,1.0,,23.1,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,False
1626159-1626196-201177-201949-203585,1610612748,"Justise Winslow, Josh Richardson, Josh McRoberts, James Johnson, Rodney McGruder","Winslow, Richardson, McRoberts, Johnson, McGruder",1626159-1626196-201177-201949-203585,MIA,114.0,1,2.0,1.0,3.0,3.0,,,6.0,2.0,2.0,,,,,1.0,1.0,,,,,,,3.0,3.0,,,1.0,7.0,6.0,,,,,,,,,4.0,2.0,,,,,,,2.0,,2.0,,,1.0,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,7.0,,,0.6666666666666666,0.6666666666666666,,,,1.0,,,1.0,,,1.1666666666666667,,,,,,,,,,,,,,,,,,,,,,,75.78947368421053,,18.666666666666668,19.333333333333332,18.666666666666668,19.333333333333332,0.6666666666666666,1.0,1.0,0.5,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,0.6666666666666666,,0.4676666666666667,,,0.3333333333333333,0.3333333333333333,,,6.733333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,False
1626159-1626196-201177-202355-204020,1610612748,"Justise Winslow, Josh Richardson, Josh McRoberts, Hassan Whiteside, Tyler Johnson","Winslow, Richardson, McRoberts, Whiteside, Johnson",1626159-1626196-201177-202355-204020,MIA,63.0,2,1.0,-3.0,2.0,2.0,,,4.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,2.0,,,,2.0,5.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,0.5,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,91.42857142857143,,22.5,9.0,22.5,9.0,0.5,1.0,1.0,,,,,,0.5,,,,,,,,,,,,,,,,0.5,,0.41265,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,False
1626159-1626196-201177-202682-204020,1610612748,"Justise Winslow, Josh Richardson, Josh McRoberts, Derrick Williams, Tyler Johnson","Winslow, Richardson, McRoberts, Williams, Johnson",1626159-1626196-201177-202682-204020,MIA,124.0,1,2.0,,5.0,4.0,,1.0,9.0,,1.0,,,1.0,1.0,,2.0,,,,,,,1.0,4.0,,,,2.0,2.0,,,,,,,,,2.0,,,,,,,1.0,1.0,,1.0,,,,1.0,,2.0,,,,3.0,,,3.0,,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,0.25,,,0.25,,,0.25,,,,0.25,1.0,,,,,,1.0,,1.0,,,,,,,,1.0,,104.51612903225805,,9.8,18.75,9.6,18.75,0.25,,,,0.25,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,0.25,,0.45555,,,,,,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,False
1626159-1626196-201609-201949-202337,1610612748,"Justise Winslow, Josh Richardson, Goran Dragic, James Johnson, Luke Babbitt","Winslow, Richardson, Dragic, Johnson, Babbitt",1626159-1626196-201609-201949-202337,MIA,172.0,1,3.0,-3.0,5.0,6.0,,,11.0,3.0,3.0,,,,,,,,1.0,,1.0,,,3.0,3.0,,2.0,,6.0,9.0,,,,,,,,,2.0,4.0,,,,1.0,,,1.0,,1.0,,,1.0,,,2.0,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,6.0,,,0.3333333333333333,0.3333333333333333,,,,1.0,,,0.6,,,0.6,,,0.4,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,92.09302325581395,,17.8,13.833333333333334,17.8,13.833333333333334,0.6,1.0,1.0,0.3333333333333333,,,,,,,,,0.2,,,,0.2,,,,,,,,1.0,,0.51437,,,,,,,1.7,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,False
1626159-1626196-201609-201949-202355,1610612748,"Justise Winslow, Josh Richardson, Goran Dragic, James Johnson, Hassan Whiteside","Winslow, Richardson, Dragic, Johnson, Whiteside",1626159-1626196-201609-201949-202355,MIA,110.0,1,2.0,2.0,4.0,3.0,,1.0,7.0,1.0,1.0,,,,1.0,,1.0,,,,2.0,,,1.0,3.0,,2.0,,2.0,,,1.0,,,,,,,,2.0,,,,2.0,,1.0,,,,,,,,,,,1.0,,1.0,2.0,,3.0,1.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,0.3333333333333333,,,0.2,,,0.2,,,0.4,0.3333333333333333,,,,,1.0,0.5,1.0,,1.0,0.25,,,,,1.0,,1.0,,91.63636363636364,,14.5,17.333333333333332,13.25,17.333333333333332,0.2,1.0,1.0,,0.2,,,,0.2,,,,,,,,0.4,,,,,,,,0.6,,0.45785,0.372,,,,,,8.033333333333333,25.65,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,False
1626159-1626196-201609-201949-203186,1610612748,"Justise Winslow, Josh Richardson, Goran Dragic, James Johnson, Willie Reed","Winslow, Richardson, Dragic, Johnson, Reed",1626159-1626196-201609-201949-203186,MIA,190.0,1,3.0,4.0,7.0,7.0,7.0,,14.0,2.0,3.0,,,1.0,1.0,,,,,,1.0,,1.0,3.0,4.0,,1.0,1.0,7.0,3.0,,,,,3.0,4.0,1.0,7.0,,6.0,,,,1.0,,,,,,,,,,,,,,,3.0,2.0,,5.0,,5.0,,,,,,,1.0,,,1.0,,,1.0,1.0,2.0,,,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,,7.0,7.0,7.0,,,,,,0.75,,0.75,0.6,,0.6,0.5833333333333334,,0.5833333333333334,0.2,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,106.10526315789474,1.0,12.142857142857142,15.0,12.142857142857142,15.0,0.6,0.6666666666666666,0.6666666666666666,,0.2,1.0,1.0,,,,,,,,,,0.2,,,,,,,0.2,0.8,,0.55137,,0.55137,0.2,0.25,,1.0,3.125,24.5,1.0,,1.0,1.0,1.0,,,,2.0,3.0,1.0,0.6,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,False
1626159-1626196-201609-201949-203585,1610612748,"Justise Winslow, Josh Richardson, Goran Dragic, James Johnson, Rodney McGruder","Winslow, Richardson, Dragic, Johnson, McGruder",1626159-1626196-201609-201949-203585,MIA,154.0,3,3.0,,6.0,8.0,3.0,,14.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,2.0,,1.0,2.0,2.0,2.0,3.0,3.0,13.0,13.0,,,,,1.0,1.0,1.0,4.0,,4.0,3.0,3.0,,2.0,1.0,,,1.0,1.0,,1.0,,,,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,3.0,,2.0,,,4.0,,1.0,,,,,,,13.0,4.0,3.0,,,0.5,0.6666666666666666,0.6666666666666666,1.0,,1.0,1.0,,0.5,0.9285714285714286,,0.6666666666666666,0.6,,,,,,,,,,,,,,,,,,,,130.9090909090909,,12.5,9.875,12.5,9.375,0.2,1.0,1.0,,0.2,1.0,1.0,,,,,,0.2,1.0,1.0,1.0,0.4,0.5,0.5,,,,,0.5,0.8,0.5,0.53315,,0.586375,0.16666666666666666,0.3333333333333333,,0.3076923076923077,4.15,24.400000000000002,0.5,,2.0,1.0,1.0,,,,1.0,1.0,,0.5,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,False
1626159-1626196-201609-201949-204020,1610612748,"Justise Winslow, Josh Richardson, Goran Dragic, James Johnson, Tyler Johnson","Winslow, Richardson, Dragic, Johnson, Johnson",1626159-1626196-201609-201949-204020,MIA,428.0,7,7.0,-10.0,14.0,15.0,3.0,2.0,29.0,3.0,5.0,,,,1.0,2.0,3.0,,2.0,1.0,2.0,,,5.0,9.0,1.0,4.0,,13.0,23.0,,,1.0,,1.0,3.0,1.0,2.0,6.0,4.0,3.0,,,2.0,1.0,2.0,3.0,1.0,4.0,1.0,,1.0,,2.0,9.0,,2.0,,2.0,2.0,,4.0,2.0,6.0,,,,2.0,,1.0,,,1.0,2.0,1.0,2.0,5.0,,,,,,,,,,,,,,13.0,2.0,3.0,0.6,0.6,1.0,0.25,0.25,0.5555555555555556,,0.3333333333333333,0.5,,0.25,0.5,,0.25,0.3076923076923077,0.2222222222222222,0.2,1.0,,,0.5,0.5,1.0,,0.6666666666666666,0.2857142857142857,1.0,,,,1.0,,1.0,,97.57009345794393,,16.571428571428573,13.066666666666666,16.0,12.666666666666666,0.38461538461538464,0.6,0.75,0.3333333333333333,0.07692307692307693,,,,0.23076923076923078,0.6666666666666666,0.6666666666666666,1.0,0.15384615384615385,,,,0.15384615384615385,0.5,0.5,1.0,,,,,0.6923076923076923,0.5,0.49823076923076925,0.56115,0.4461375,,,,0.15384615384615385,7.888888888888889,24.275,0.21428571428571427,1.0,,,,0.25,1.0,,,2.0,1.0,0.5,,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,False
