EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,BlockingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,LongMidRangeFGA,SecondChanceArc3FGA,FtPoints,SecondChanceFG3A,OffThreePtRebounds,LiveBallTurnovers,LostBallTurnovers,FTA,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,LongMidRangeFrequency,SecondChanceArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LongMidRangeFGM,LostBallSteals,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,LongMidRangeAssists,FTDefRebounds,BadPassTurnovers,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls,2pt And 1 Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg3Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,Corner3Assists,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3FGA,PenaltyArc3Frequency,Charge Fouls Drawn,PenaltyArc3FGM,LostBallOutOfBoundsTurnovers,BlockedShortMidRange,PenaltyArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,HeaveAttempts,Fg2aBlocked,ShortMidRangeAssists,SecondChanceFg2Pct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyFtPoints,SelfOReb,SelfORebPct,ThreePtShootingFoulsDrawn,DefCorner3ReboundPct,ThreePtShootingFoulsDrawnPct,Offensive Fouls Drawn,BlockingFoulsDrawn,FTOffRebounds,BadPassOutOfBoundsTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffFTReboundPct,DefShortMidRangeReboundPct,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Technical Free Throw Trips,BlockedLongMidRange,Travels,LongMidRangePctBlocked,SecondChanceFtPoints,DefensiveGoaltends,ShortMidRangePctBlocked,team_id,year,season,team_vs
101141-101181-1627752-200794-203501,1610612737,"Ersan Ilyasova, Jose Calderon, Taurean Prince, Paul Millsap, Tim Hardaway Jr.","Ilyasova, Calderon, Prince, Millsap, Hardaway Jr.",101141-101181-1627752-200794-203501,ATL,396.0,3,7.0,1.0,14.0,12.0,1.0,26.0,3.0,3.0,3.0,1.0,2.0,6.0,3.0,6.0,2.0,7.0,12.0,11.0,2.0,4.0,6.0,6.0,2.0,1.0,2.0,3.0,2.0,1.0,8.0,1.0,2.0,4.0,6.0,1.0,7.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,12.0,0.3333333333333333,0.3333333333333333,1.0,0.2857142857142857,0.2857142857142857,0.5,0.46153846153846156,0.46153846153846156,0.5384615384615384,0.8,0.3333333333333333,0.5,0.6666666666666666,0.125,0.3333333333333333,0.5,1.0,0.5,94.54545454545455,0.5,13.357142857142858,17.416666666666668,12.357142857142858,15.833333333333334,0.23076923076923078,1.0,1.0,0.3333333333333333,0.23076923076923078,0.07692307692307693,0.46153846153846156,0.3333333333333333,0.3333333333333333,1.0,0.7692307692307693,0.3333333333333333,0.5520346153846154,3.716666666666667,25.47142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2017,2016-17,True
101141-101181-1627752-203145-2730,1610612737,"Ersan Ilyasova, Jose Calderon, Taurean Prince, Kent Bazemore, Dwight Howard","Ilyasova, Calderon, Prince, Bazemore, Howard",101141-101181-1627752-203145-2730,ATL,151.0,1,3.0,-9.0,5.0,5.0,1.0,10.0,,,,,,2.0,,2.0,,2.0,1.0,10.0,,,,2.0,,,,,,,,,,,,1.0,1.0,,,,1.0,,1.0,,3.0,,1.0,,,,,,,,,1.0,,,,,,,,0.1,0.5,,,,,0.25,,,,,95.36423841059603,,18.2,12.0,17.0,10.4,,,,,,,0.5,,,,0.5,,0.4790375,16.1,24.8,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2017,2016-17,True
101141-101181-1627752-203488-203501,1610612737,"Ersan Ilyasova, Jose Calderon, Taurean Prince, Mike Muscala, Tim Hardaway Jr.","Ilyasova, Calderon, Prince, Muscala, Hardaway Jr.",101141-101181-1627752-203488-203501,ATL,113.0,1,2.0,4.0,4.0,3.0,,7.0,1.0,1.0,,,,,3.0,3.0,,,6.0,2.0,2.0,4.0,,,,1.0,,1.0,,1.0,2.0,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,6.0,0.3333333333333333,0.3333333333333333,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,1.0,89.20353982300885,,13.0,20.333333333333332,13.0,20.333333333333332,0.3333333333333333,1.0,1.0,1.0,,,,,,,0.3333333333333333,,0.5653,12.9,,,2.0,,,,,1.0,1.0,,,,1.0,,,0.6666666666666666,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2017,2016-17,True
101141-101181-200794-203145-203501,1610612737,"Ersan Ilyasova, Jose Calderon, Paul Millsap, Kent Bazemore, Tim Hardaway Jr.","Ilyasova, Calderon, Millsap, Bazemore, Hardaway Jr.",101141-101181-200794-203145-203501,ATL,587.0,2,10.0,-8.0,19.0,19.0,2.0,38.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,6.0,2.0,5.0,16.0,24.0,4.0,2.0,6.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,10.0,1.0,2.0,,4.0,2.0,6.0,4.0,,4.0,8.0,1.0,3.0,,7.0,1.0,7.0,1.0,,,,,,,,13.0,0.6666666666666666,0.6666666666666666,1.0,0.4,0.4,0.5,0.5454545454545454,0.6153846153846154,0.45454545454545453,,0.3333333333333333,0.4,0.25,0.3333333333333333,,,,0.4,93.2197614991482,,17.210526315789473,13.68421052631579,16.05263157894737,12.578947368421053,0.18181818181818182,0.5,0.5,1.0,0.18181818181818182,0.09090909090909091,0.36363636363636365,0.5,0.5,1.0,0.6363636363636364,0.5,0.5079636363636364,8.933333333333334,25.06,5.0,2.0,1.0,4.0,1.0,1.0,4.0,,5.0,3.0,,0.5,0.3333333333333333,,0.18181818181818182,1.0,0.23076923076923078,0.375,1.0,4.0,0.5,0.5,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,0.5,1.5,0.5,1.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5238,0.7217,0.1875,0.125,0.21052631578947367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2017,2016-17,True
101141-101181-200794-203145-2399,1610612737,"Ersan Ilyasova, Jose Calderon, Paul Millsap, Kent Bazemore, Mike Dunleavy","Ilyasova, Calderon, Millsap, Bazemore, Dunleavy",101141-101181-200794-203145-2399,ATL,81.0,1,1.0,-2.0,2.0,4.0,,6.0,,,,,1.0,2.0,,,1.0,2.0,3.0,5.0,,,3.0,2.0,1.0,,1.0,1.0,1.0,,3.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,,2.0,,,,,,,,,,,3.0,,,1.0,0.5,0.5,,0.75,0.75,1.0,,,1.0,1.0,,,,,1.0,106.66666666666666,,7.5,16.5,7.5,16.5,,,,,,,1.0,0.5,0.5,1.0,1.0,0.5,0.525,,25.4,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2017,2016-17,True
101141-101181-200794-203501-2399,1610612737,"Ersan Ilyasova, Jose Calderon, Paul Millsap, Tim Hardaway Jr., Mike Dunleavy","Ilyasova, Calderon, Millsap, Hardaway Jr., Dunleavy",101141-101181-200794-203501-2399,ATL,97.0,1,2.0,5.0,4.0,5.0,,9.0,1.0,2.0,1.0,,1.0,1.0,2.0,3.0,1.0,1.0,7.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,,1.0,,1.0,,1.0,3.0,2.0,,,,,,,,1.0,,,,,,,,,7.0,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.875,0.875,0.25,,,1.0,1.0,,,,,1.0,133.60824742268042,,9.0,12.2,9.0,12.2,0.5,0.5,0.5,1.0,0.25,,0.25,1.0,1.0,1.0,0.75,1.0,0.65545,2.733333333333333,24.3,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2017,2016-17,True
101141-101181-203145-203471-203488,1610612737,"Ersan Ilyasova, Jose Calderon, Kent Bazemore, Dennis Schroder, Mike Muscala","Ilyasova, Calderon, Bazemore, Schroder, Muscala",101141-101181-203145-203471-203488,ATL,93.0,1,2.0,2.0,3.0,2.0,,5.0,1.0,1.0,1.0,,,,2.0,3.0,,,4.0,2.0,,4.0,,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,4.0,,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,1.0,1.0,,,,,1.0,77.41935483870968,,20.0,16.5,20.0,16.5,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,,0.3333333333333333,,0.4064666666666667,10.766666666666666,,2.0,1.0,,,,,,,,,,,,,0.3333333333333333,,,,,,,,3.0,1.0,1.0,1.0,,,,2.0,3.0,4.0,,,,,,,,4.0,3.0,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,1.0,1.0,,,,0.3333333333333333,1.0,,0.4064666666666667,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2017,2016-17,True
101141-101181-203145-203488-203501,1610612737,"Ersan Ilyasova, Jose Calderon, Kent Bazemore, Mike Muscala, Tim Hardaway Jr.","Ilyasova, Calderon, Bazemore, Muscala, Hardaway Jr.",101141-101181-203145-203488-203501,ATL,136.0,1,2.0,,4.0,5.0,,9.0,1.0,1.0,,,,2.0,2.0,2.0,,2.0,4.0,4.0,2.0,2.0,,2.0,,1.0,,1.0,,1.0,2.0,,,3.0,3.0,,3.0,,,,,,1.0,,1.0,,1.0,,2.0,,,2.0,2.0,2.0,,4.0,0.5,0.5,,,,1.0,0.5,0.5,0.5,1.0,,,1.0,,,1.0,,,95.29411764705883,1.0,11.25,18.2,11.25,18.2,0.25,1.0,1.0,1.0,,,0.5,,,,0.75,,0.538775,9.4,25.2,,1.0,,,,,,,,,,,,,0.25,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2017,2016-17,True
101141-101181-203145-203488-2399,1610612737,"Ersan Ilyasova, Jose Calderon, Kent Bazemore, Mike Muscala, Mike Dunleavy","Ilyasova, Calderon, Bazemore, Muscala, Dunleavy",101141-101181-203145-203488-2399,ATL,364.0,3,6.0,3.0,12.0,12.0,2.0,24.0,2.0,3.0,,3.0,,2.0,5.0,8.0,2.0,5.0,17.0,14.0,4.0,6.0,3.0,2.0,,2.0,1.0,3.0,,1.0,7.0,,4.0,1.0,5.0,2.0,7.0,1.0,1.0,,,,1.0,,2.0,,2.0,,2.0,,,2.0,2.0,,,14.0,0.4,0.4,0.5,0.4,0.4,0.625,0.6153846153846154,0.6071428571428571,0.38461538461538464,0.25,,1.0,0.625,0.3333333333333333,,,1.0,1.0,94.94505494505495,,14.916666666666666,15.416666666666666,14.333333333333334,13.5,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,,0.23076923076923078,0.15384615384615385,,,,0.6153846153846154,,0.4678346153846154,13.25,24.14,3.0,5.0,1.0,1.0,2.0,2.0,,,2.0,1.0,,,0.6666666666666666,0.5,0.38461538461538464,0.5,0.07142857142857142,0.1111111111111111,3.0,,0.6,0.6,6.0,,1.0,,,1.0,3.0,2.0,4.0,10.0,1.0,,,,,,,10.0,6.0,0.5,0.5,0.75,0.7142857142857143,0.75,0.7142857142857143,,,1.0,,,0.3333333333333333,,,0.14285714285714285,,,0.4459071428571429,0.17647058823529413,0.5882352941176471,0.5,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,0.42857142857142855,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2017,2016-17,True
101141-101181-203145-203501-2730,1610612737,"Ersan Ilyasova, Jose Calderon, Kent Bazemore, Tim Hardaway Jr., Dwight Howard","Ilyasova, Calderon, Bazemore, Hardaway Jr., Howard",101141-101181-203145-203501-2730,ATL,68.0,1,1.0,-1.0,2.0,2.0,,4.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,2.0,3.0,2.0,,,1.0,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,2.0,1.0,1.0,,,,1.0,0.5,0.5,0.5,,,,,,,,,,84.70588235294117,,20.5,13.5,20.5,13.5,0.5,1.0,1.0,1.0,,,0.5,,,,1.0,,0.46645,3.6,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,1.0,1.0,2.0,,,,,,,,2.0,2.0,,1.0,,0.5,,0.5,,,,,,,,,0.5,1.0,,0.46645,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2017,2016-17,True
