EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,Arc3FGA,FG2A,FG3A,FtPoints,Points,OpponentPoints,HeaveAttempts,NonHeaveArc3FGA,Fg2aBlocked,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,TsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,DefShortMidRangeReboundPct,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,LostBallSteals,DeadBallTurnovers,LostBallTurnovers,Travels,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,DefThreePtReboundPct,DefArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceOffPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,FG2M,PtsAssisted2s,PtsUnassisted3s,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,OffTwoPtRebounds,OffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls Drawn,3SecondViolations,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,PenaltyOffPoss,PenaltyFtPoints,PenaltyPoints,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,BlocksRecoveredPct,PenaltyPointsPct,PenaltyOffPossPct,DefCorner3ReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsPutbacks,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,AtRimPctBlocked,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,BlockedShortMidRange,Charge Fouls,Offensive Fouls,LongMidRangePctBlocked,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,Corner3PctBlocked,Blocked3s,BlockedArc3,BlockedCorner3,DefensiveGoaltends,Clear Path Fouls,BlockedLongMidRange,OffensiveGoaltends,team_id,year,season,team_vs
1626171-1628372-1628373-1628995-1629011,1610612752,"Bobby Portis, Dennis Smith Jr., Frank Ntilikina, Kevin Knox II, Mitchell Robinson","Portis, Smith Jr., Ntilikina, Knox II, Robinson",1626171-1628372-1628373-1628995-1629011,NYK,189.0,2,3.0,-10.0,6.0,8.0,3.0,14.0,2.0,3.0,2.0,3.0,1.0,1.0,11.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.08333333333333333,0.6,0.5,0.5,1.0,1.0,1.0,1.0,106.66666666666667,19.166666666666668,9.25,19.166666666666668,9.25,0.4,0.6,0.6,0.46615,0.16666666666666666,0.3333333333333333,12.0,32.233333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,True
1626171-1628372-1628373-1628995-1629628,1610612752,"Bobby Portis, Dennis Smith Jr., Frank Ntilikina, Kevin Knox II, RJ Barrett","Portis, Smith Jr., Ntilikina, Knox II, Barrett",1626171-1628372-1628373-1628995-1629628,NYK,30.0,1,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,,48.0,,21.0,,21.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,True
1626171-1628372-1628373-1628995-201959,1610612752,"Bobby Portis, Dennis Smith Jr., Frank Ntilikina, Kevin Knox II, Taj Gibson","Portis, Smith Jr., Ntilikina, Knox II, Gibson",1626171-1628372-1628373-1628995-201959,NYK,75.0,1,1.0,3.0,3.0,3.0,,6.0,,1.0,,1.0,,3.0,,,1.0,,1.0,2.0,2.0,1.0,,1.0,,2.0,,1.0,,,,3.0,1.5,1.0,,,0.5,1.0,1.0,,115.2,6.0,19.0,6.0,19.0,,1.0,1.0,0.5358,,,,25.9,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,True
1626171-1628372-1628373-1628995-201961,1610612752,"Bobby Portis, Dennis Smith Jr., Frank Ntilikina, Kevin Knox II, Wayne Ellington","Portis, Smith Jr., Ntilikina, Knox II, Ellington",1626171-1628372-1628373-1628995-201961,NYK,402.0,1,7.0,-1.0,12.0,13.0,1.0,25.0,4.0,3.0,6.0,4.0,,16.0,17.0,,3.0,,1.0,2.0,3.0,1.0,1.0,,,3.0,,1.0,1.0,,,16.0,0.8,0.4,,,,1.0,0.6666666666666666,,89.55223880597015,16.25,15.923076923076923,16.083333333333332,15.23076923076923,0.4,0.3,0.6,0.49103,,,4.716666666666667,25.25,,1.0,2.0,3.0,1.0,1.0,6.0,1.0,13.0,1.0,,3.0,,,0.5,0.5,0.5,0.8,0.5,0.5,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,2.0,2.0,3.0,1.0,1.0,5.0,10.0,3.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,0.75,0.75,1.0,0.1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,True
1626171-1628372-1628373-1628995-203944,1610612752,"Bobby Portis, Dennis Smith Jr., Frank Ntilikina, Kevin Knox II, Julius Randle","Portis, Smith Jr., Ntilikina, Knox II, Randle",1626171-1628372-1628373-1628995-203944,NYK,52.0,1,1.0,3.0,1.0,1.0,,2.0,,,,1.0,,3.0,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,3.0,1.5,1.0,,,,1.0,1.0,,55.38461538461538,28.0,24.0,28.0,24.0,,,1.0,0.591,,,,22.7,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.5,,,,,,,,,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,True
1626171-1628372-1628373-1629011-1629628,1610612752,"Bobby Portis, Dennis Smith Jr., Frank Ntilikina, Mitchell Robinson, RJ Barrett","Portis, Smith Jr., Ntilikina, Robinson, Barrett",1626171-1628372-1628373-1629011-1629628,NYK,57.0,2,1.0,2.0,3.0,1.0,,4.0,,,,1.0,2.0,2.0,,,,,1.0,1.0,1.0,,,,,,,2.0,1.0,2.0,,2.0,0.5,1.0,,,,0.5,0.5,1.0,101.05263157894737,5.666666666666667,40.0,5.666666666666667,36.0,,,1.0,0.58245,,,,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,True
1626171-1628372-1628373-1629011-202694,1610612752,"Bobby Portis, Dennis Smith Jr., Frank Ntilikina, Mitchell Robinson, Marcus Morris Sr.","Portis, Smith Jr., Ntilikina, Robinson, Morris Sr.",1626171-1628372-1628373-1629011-202694,NYK,23.0,1,,3.0,1.0,1.0,,2.0,,1.0,,1.0,,3.0,,,1.0,,,1.0,1.0,,,,,,,,,,,3.0,1.5,1.0,,,,,1.0,,125.21739130434781,10.0,13.0,10.0,13.0,,1.0,1.0,0.55965,,,,24.9,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,1.0,1.0,1.0,1.5,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,True
1626171-1628372-1628373-202694-203944,1610612752,"Bobby Portis, Dennis Smith Jr., Frank Ntilikina, Marcus Morris Sr., Julius Randle","Portis, Smith Jr., Ntilikina, Morris Sr., Randle",1626171-1628372-1628373-202694-203944,NYK,32.0,1,1.0,3.0,1.0,,,1.0,,1.0,,1.0,,3.0,,,1.0,,,,,,,,,,,1.0,,,,3.0,1.5,1.0,,,,,,,45.0,18.0,,18.0,,,1.0,1.0,0.5337,,,,25.1,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,,,,,,1.0,1.0,1.0,1.5,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,True
1626171-1628372-1628422-1628995-1629011,1610612752,"Bobby Portis, Dennis Smith Jr., Damyean Dotson, Kevin Knox II, Mitchell Robinson","Portis, Smith Jr., Dotson, Knox II, Robinson",1626171-1628372-1628422-1628995-1629011,NYK,3472.0,14,58.0,19.0,117.0,117.0,30.0,234.0,16.0,32.0,60.0,44.0,18.0,128.0,109.0,,32.0,8.0,20.0,44.0,60.0,10.0,8.0,11.0,4.0,19.0,5.0,14.0,24.0,26.0,10.0,108.0,0.5570175438596491,0.4230769230769231,0.13333333333333333,,0.5789473684210527,0.5714285714285714,0.6363636363636364,0.38461538461538464,97.05069124423963,15.239316239316238,14.435897435897436,14.658119658119658,13.649572649572649,0.15384615384615385,0.3076923076923077,0.7596153846153846,0.5277014563106797,0.09174311926605505,0.15384615384615385,6.158333333333333,25.556818181818183,0.6363636363636364,11.0,16.0,48.0,11.0,16.0,38.0,11.0,92.0,22.0,2.0,8.0,7.0,4.0,1.0,0.36363636363636365,0.36363636363636365,0.5288461538461539,0.7096774193548387,0.6666666666666666,0.34375,0.34375,1.0,0.34375,15.0,19.0,35.0,9.0,5.0,12.0,31.0,44.0,,22.0,13.0,7.0,10.0,16.0,2.0,,2.0,1.0,,0.7096774193548387,0.8148148148148148,0.5166666666666667,0.37037037037037035,0.2777777777777778,0.2857142857142857,0.7272727272727273,0.043478260869565216,0.33653846153846156,0.5428571428571428,0.7037037037037037,0.6842105263157895,0.5625,0.5625,0.7777777777777778,0.11538461538461539,0.4166666666666667,0.4166666666666667,34.0,12.0,31.0,5.0,2.0,2.0,2.0,,31.0,34.0,4.0,0.5,,0.2421875,0.2905982905982906,1.0,5.0,8.0,3.0,9.0,3.0,9.0,1.0,1.0,1.0,6.0,1.0,3.0,2.0,4.0,5.0,9.0,2.0,4.0,4.0,20.0,5.0,13.0,3.0,10.0,18.0,8.0,5.0,2.0,5.0,1.0,2.0,2.0,8.0,1.0,1.0,3.0,5.0,2.0,1.0,0.5,0.3,0.5555555555555556,0.38461538461538464,0.6153846153846154,0.41304347826086957,0.6666666666666666,0.22857142857142856,0.6666666666666666,0.16666666666666666,0.18518518518518517,0.4666666666666667,0.2,0.15,0.2857142857142857,0.08653846153846154,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6153846153846154,0.625,0.2,0.07692307692307693,1.0,1.0,0.23076923076923078,0.3333333333333333,1.0,0.391304347826087,0.3333333333333333,0.2608695652173913,0.16666666666666666,0.17391304347826086,0.5,0.5502849999999999,0.5333545454545455,0.15625,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,True
1626171-1628372-1628422-1628995-1629019,1610612752,"Bobby Portis, Dennis Smith Jr., Damyean Dotson, Kevin Knox II, Allonzo Trier","Portis, Smith Jr., Dotson, Knox II, Trier",1626171-1628372-1628422-1628995-1629019,NYK,257.0,1,4.0,7.0,8.0,9.0,5.0,17.0,3.0,3.0,6.0,3.0,,14.0,7.0,,3.0,,2.0,4.0,5.0,1.0,,,,,,,,,,12.0,0.7777777777777778,0.3333333333333333,,,,1.0,1.0,,95.25291828793775,17.0,13.444444444444445,16.375,13.444444444444445,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.48029444444444447,,,5.8,24.96666666666667,1.0,2.0,2.0,6.0,2.0,2.0,5.0,2.0,12.0,2.0,1.0,,,,1.0,0.6666666666666666,0.6666666666666666,0.7777777777777778,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,2.0,3.0,2.0,,,4.0,6.0,,3.0,1.0,2.0,1.0,1.0,,,,,,0.75,0.75,0.6666666666666666,0.5,0.3333333333333333,,1.0,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,1.0,,,,4.0,,8.0,,,,,,8.0,4.0,,1.0,,0.5714285714285714,0.5,,,,1.0,1.0,,,,,,,,,2.0,3.0,1.0,1.0,,,,2.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,0.25,1.0,,,0.75,0.6666666666666666,0.4301,0.5085625,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,1610612752,2020,2019-20,True
