EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,Corner3Assists,ShootingFouls,Fouls,Technical Free Throw Trips,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,LongMidRangeFGM,LongMidRangeAssists,SecondChanceTurnovers,Charge Fouls,2pt And 1 Free Throw Trips,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,PtsUnassisted3s,HeaveAttempts,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,ShortMidRangeAssists,ShortMidRangePctAssisted,Fg3aBlocked,FTDefRebounds,PenaltyTurnovers,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,OffCorner3ReboundPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceFtPoints,PtsPutbacks,Fg2aBlocked,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Offensive Fouls,Charge Fouls Drawn,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,BlockedLongMidRange,OffLongMidRangeReboundPct,Loose Ball Fouls,BlockedCorner3,3pt And 1 Free Throw Trips,OffensiveGoaltends,LongMidRangePctBlocked,Corner3PctBlocked,FTOffRebounds,OffFTReboundPct,HeaveMakes,3SecondViolations,DefensiveGoaltends,Clear Path Fouls,team_id,year,season,team_vs
101108-1627846-1628390-1628977-1629647,1610612760,"Chris Paul, Abdel Nader, Terrance Ferguson, Hamidou Diallo, Darius Bazley","Paul, Nader, Ferguson, Diallo, Bazley",101108-1627846-1628390-1628977-1629647,OKC,459.0,1,8.0,11.0,16.0,15.0,1.0,1.0,31.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,6.0,8.0,2.0,5.0,2.0,20.0,9.0,1.0,1.0,2.0,6.0,6.0,6.0,4.0,2.0,3.0,2.0,5.0,2.0,3.0,12.0,3.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,20.0,2.0,1.0,0.5,0.5,1.0,0.4,0.4,0.75,1.0,0.6923076923076923,1.0,0.7142857142857143,1.0,0.38461538461538464,0.5,1.0,0.75,0.8333333333333334,1.0,1.0,0.75,97.25490196078431,1.0,13.4375,16.266666666666666,13.4375,15.8,0.3076923076923077,1.0,1.0,0.75,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.5,0.5,1.0,1.0,1.0,0.6923076923076923,0.5,0.550826923076923,0.6908,0.07142857142857142,0.1111111111111111,0.1,5.925,25.98,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2020,2019-20,False
101108-1627846-1628390-1628983-203457,1610612760,"Chris Paul, Abdel Nader, Terrance Ferguson, Shai Gilgeous-Alexander, Nerlens Noel","Paul, Nader, Ferguson, Gilgeous-Alexander, Noel",101108-1627846-1628390-1628983-203457,OKC,86.0,1,1.0,-1.0,3.0,3.0,3.0,,6.0,,,,,,,1.0,2.0,,,,1.0,1.0,2.0,1.0,4.0,5.0,,1.0,4.0,,,3.0,,,,1.0,1.0,,,3.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,4.0,3.0,,,1.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.6666666666666666,,,1.0,1.0,,,,100.46511627906976,,15.0,13.666666666666666,13.666666666666666,13.666666666666666,,,,,,,,0.3333333333333333,0.6666666666666666,,,,,,,0.6666666666666666,,0.5301333333333333,0.5301333333333333,,,1.0,18.4,23.85,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.5,1.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.57465,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2020,2019-20,False
101108-1627846-1628390-1628983-203488,1610612760,"Chris Paul, Abdel Nader, Terrance Ferguson, Shai Gilgeous-Alexander, Mike Muscala","Paul, Nader, Ferguson, Gilgeous-Alexander, Muscala",101108-1627846-1628390-1628983-203488,OKC,181.0,2,3.0,2.0,7.0,4.0,,3.0,11.0,1.0,1.0,,,1.0,1.0,2.0,,,2.0,3.0,4.0,,2.0,1.0,7.0,5.0,,,,4.0,2.0,,2.0,,2.0,,2.0,,1.0,4.0,1.0,1.0,2.0,2.0,,,,,1.0,,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,7.0,,,0.6666666666666666,0.6666666666666666,,,,0.75,,0.5,,0.5833333333333334,,0.3333333333333333,,1.0,1.0,1.0,1.0,,1.0,87.51381215469614,1.0,15.285714285714286,18.5,13.428571428571429,18.5,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,,0.3333333333333333,,,,,,0.5,,0.519275,,0.16666666666666666,0.25,,9.45,25.8,,1.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2020,2019-20,False
101108-1627846-1628390-1628983-203500,1610612760,"Chris Paul, Abdel Nader, Terrance Ferguson, Shai Gilgeous-Alexander, Steven Adams","Paul, Nader, Ferguson, Gilgeous-Alexander, Adams",101108-1627846-1628390-1628983-203500,OKC,565.0,4,9.0,10.0,19.0,18.0,8.0,10.0,37.0,1.0,2.0,,1.0,2.0,4.0,2.0,,4.0,6.0,4.0,8.0,4.0,6.0,5.0,25.0,15.0,1.0,3.0,11.0,2.0,6.0,6.0,5.0,4.0,1.0,2.0,3.0,2.0,1.0,8.0,6.0,2.0,8.0,10.0,2.0,1.0,3.0,1.0,1.0,,4.0,4.0,,1.0,6.0,2.0,1.0,,1.0,1.0,20.0,11.0,8.0,0.25,0.25,0.5,0.6666666666666666,0.8,0.5,0.3333333333333333,0.7142857142857143,0.5714285714285714,0.7352941176470589,0.6111111111111112,0.42857142857142855,0.75,1.0,0.8571428571428571,0.8888888888888888,,1.0,0.8,94.30088495575222,1.0,13.578947368421053,17.055555555555557,12.421052631578947,16.88888888888889,0.14285714285714285,0.5,0.5,1.0,0.2857142857142857,0.5,0.5,0.14285714285714285,,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,0.14285714285714285,,0.5714285714285714,0.8,0.4787346153846154,0.504575,0.125,0.2,0.44,9.2,35.03333333333333,0.42105263157894735,2.0,,,,,,1.0,1.0,5.0,2.0,4.0,3.0,,,1.0,,1.0,0.5,1.25,1.25,1.0,,,,,,,,,0.5713,0.2,1.0,,,,,0.5,0.5,,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.25,1.0,0.4,0.5,1.0,1.0,0.2,0.5,1.0,1.0,0.5,1.0,1.0,0.5714285714285714,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2020,2019-20,False
101108-1627846-1628390-1629647-1629652,1610612760,"Chris Paul, Abdel Nader, Terrance Ferguson, Darius Bazley, Luguentz Dort","Paul, Nader, Ferguson, Bazley, Dort",101108-1627846-1628390-1629647-1629652,OKC,11.0,1,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,1.0,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,130.9090909090909,,11.0,,11.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2020,2019-20,False
101108-1627846-1628390-1629647-203500,1610612760,"Chris Paul, Abdel Nader, Terrance Ferguson, Darius Bazley, Steven Adams","Paul, Nader, Ferguson, Bazley, Adams",101108-1627846-1628390-1629647-203500,OKC,120.0,1,2.0,-1.0,3.0,4.0,,,7.0,1.0,1.0,,,1.0,2.0,,,,1.0,2.0,3.0,,1.0,,4.0,5.0,,,,4.0,,,1.0,,2.0,,2.0,,1.0,4.0,1.0,,1.0,2.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,4.0,,,1.0,1.0,,,,0.6666666666666666,,0.5,,0.5,,0.25,,,1.0,1.0,,,,84.0,,20.333333333333332,14.75,20.333333333333332,14.75,0.25,1.0,1.0,1.0,0.5,0.5,0.5,,,0.25,,,,,,0.5,,0.4702625,,,,,6.133333333333333,25.9,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,0.5,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2020,2019-20,False
101108-1627846-1628390-203457-203471,1610612760,"Chris Paul, Abdel Nader, Terrance Ferguson, Nerlens Noel, Dennis Schroder","Paul, Nader, Ferguson, Noel, Schroder",101108-1627846-1628390-203457-203471,OKC,533.0,9,9.0,-1.0,17.0,17.0,9.0,10.0,34.0,4.0,6.0,2.0,3.0,,,3.0,3.0,1.0,3.0,4.0,9.0,3.0,6.0,3.0,20.0,21.0,2.0,5.0,8.0,8.0,,9.0,3.0,1.0,4.0,3.0,7.0,1.0,4.0,17.0,1.0,3.0,5.0,7.0,2.0,1.0,1.0,,2.0,,3.0,4.0,,,3.0,2.0,,,,,18.0,8.0,9.0,1.0,1.0,1.0,0.5,0.5,0.4444444444444444,0.4,0.5666666666666667,0.5833333333333334,0.625,0.6666666666666666,0.4,0.3333333333333333,1.0,1.0,1.0,1.0,,1.0,91.85741088180113,,17.058823529411764,14.294117647058824,16.176470588235293,14.294117647058824,0.4,0.6666666666666666,0.6666666666666666,1.0,,,,0.2,0.2,0.2,0.3333333333333333,0.5,1.0,0.5,0.6666666666666666,0.8,0.3333333333333333,0.53762,0.49278333333333335,0.125,0.2,0.4,6.588888888888889,24.433333333333334,0.5294117647058824,2.0,2.0,,,1.0,1.0,,,2.0,1.0,1.0,1.0,2.0,3.0,7.0,,,1.0,0.5,0.5,,0.6666666666666666,0.6666666666666666,1.0,,,,0.16666666666666666,1.0,0.3774,0.1,,,,,1.0,,,,1.0,1.0,,,,,1.0,2.0,,,2.0,,2.0,,1.0,2.0,1.0,,,,0.5,,0.6666666666666666,0.2857142857142857,,0.5,1.0,,0.5,1.0,1.0,,,,,,,,1.0,1.0,3.0,2.0,0.16666666666666666,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2020,2019-20,False
101108-1627846-1628390-203471-203488,1610612760,"Chris Paul, Abdel Nader, Terrance Ferguson, Dennis Schroder, Mike Muscala","Paul, Nader, Ferguson, Schroder, Muscala",101108-1627846-1628390-203471-203488,OKC,360.0,2,6.0,-2.0,11.0,13.0,2.0,3.0,24.0,1.0,2.0,,1.0,,,2.0,,2.0,5.0,3.0,4.0,2.0,5.0,4.0,16.0,18.0,,1.0,2.0,4.0,2.0,6.0,5.0,2.0,2.0,2.0,4.0,2.0,1.0,10.0,1.0,3.0,4.0,4.0,,,,,,,,3.0,1.0,,5.0,,1.0,,1.0,1.0,16.0,2.0,2.0,0.6666666666666666,0.6666666666666666,1.0,0.4,0.4,0.75,,0.6666666666666666,,0.7272727272727273,0.5,0.5555555555555556,,0.6,1.0,0.6666666666666666,,0.6666666666666666,1.0,96.0,1.0,12.727272727272727,16.923076923076923,12.727272727272727,16.307692307692307,0.2222222222222222,0.5,0.5,1.0,,,,0.2222222222222222,,0.5555555555555556,0.4,0.4,1.0,1.0,,0.7777777777777778,0.4,0.5222222222222223,0.4845,0.1,,0.125,10.7,26.52,0.18181818181818182,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2020,2019-20,False
101108-1627846-1628390-203471-203500,1610612760,"Chris Paul, Abdel Nader, Terrance Ferguson, Dennis Schroder, Steven Adams","Paul, Nader, Ferguson, Schroder, Adams",101108-1627846-1628390-203471-203500,OKC,2790.0,12,46.0,-5.0,96.0,95.0,15.0,10.0,191.0,19.0,30.0,1.0,1.0,6.0,18.0,10.0,6.0,5.0,21.0,31.0,58.0,8.0,27.0,12.0,98.0,103.0,6.0,9.0,17.0,42.0,20.0,24.0,21.0,5.0,21.0,8.0,29.0,5.0,14.0,66.0,15.0,25.0,40.0,52.0,10.0,6.0,7.0,4.0,9.0,1.0,16.0,17.0,,1.0,15.0,7.0,4.0,3.0,5.0,3.0,91.0,17.0,15.0,0.6774193548387096,0.7,1.0,0.2962962962962963,0.2962962962962963,0.5344827586206896,0.6666666666666666,0.5058823529411764,0.625,0.532608695652174,0.6538461538461539,0.3176470588235294,0.4375,0.8333333333333334,0.625,0.7407407407407407,0.8,0.8888888888888888,0.65,98.58064516129032,0.6,13.65625,15.56842105263158,13.020833333333334,14.852631578947369,0.35294117647058826,0.6333333333333333,0.6785714285714286,0.7368421052631579,0.21176470588235294,0.3333333333333333,0.375,0.11764705882352941,0.07058823529411765,0.24705882352941178,0.23809523809523808,0.23809523809523808,1.0,0.08333333333333333,1.0,0.6705882352941176,0.23809523809523808,0.5103458823529412,0.40767083333333337,0.07692307692307693,0.109375,0.17346938775510204,6.751724137931034,25.133333333333333,0.15625,10.0,3.0,,1.0,,,,1.0,7.0,1.0,3.0,2.0,3.0,11.0,21.0,,,0.3333333333333333,0.3333333333333333,0.35,0.5,0.5,0.5,1.0,0.1111111111111111,,,,,0.50309375,0.07142857142857142,6.0,4.0,3.0,,1.0,0.6,0.6,0.6666666666666666,2.0,5.0,,,1.0,3.0,3.0,8.0,,,4.0,8.0,12.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,0.375,0.2962962962962963,0.21052631578947367,0.2608695652173913,0.16666666666666666,0.1875,0.8181818181818182,0.047619047619047616,0.5555555555555556,0.4,0.5,,,,0.25,0.3333333333333333,3.0,0.5,,,3.0,1.0,,,,0.3333333333333333,,,1.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.06896551724137931,0.06666666666666667,0.1111111111111111,0.5454545454545454,,,,,,,,,,,,,,,1610612760,2020,2019-20,False
101108-1627846-1628977-1628987-1629647,1610612760,"Chris Paul, Abdel Nader, Hamidou Diallo, Kevin Hervey, Darius Bazley","Paul, Nader, Diallo, Hervey, Bazley",101108-1627846-1628977-1628987-1629647,OKC,16.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2020,2019-20,False
