EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,FG3M,PtsAssisted3s,PtsUnassisted3s,Fg2aBlocked,ThreePtAssists,Corner3Assists,Fouls,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,AtRimAssists,FTDefRebounds,Steals,BadPassSteals,Loose Ball Fouls,Loose Ball Fouls Drawn,DefFTReboundPct,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShootingFouls,SecondChanceFtPoints,OffShortMidRangeReboundPct,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,LostBallSteals,OffLongMidRangeReboundPct,SecondChanceArc3Frequency,PenaltyCorner3Frequency,LostBallTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtRebounds,SecondChanceTurnovers,Offensive Fouls,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,BadPassOutOfBoundsTurnovers,ShortMidRangePctBlocked,3SecondViolations,Charge Fouls,Charge Fouls Drawn,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Fg3aBlocked,LostBallOutOfBoundsTurnovers,FG3APctBlocked,Corner3PctBlocked,BlockedShortMidRange,SelfOReb,SelfORebPct,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,3pt And 1 Free Throw Trips,DefensiveGoaltends,OffensiveGoaltends,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,Blocked3s,BlockedArc3,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,team_id,year,season,team_vs
101107-101141-1626192-1628978-201588,1610612749,"Marvin Williams, Ersan Ilyasova, Pat Connaughton, Donte DiVincenzo, George Hill","Williams, Ilyasova, Connaughton, DiVincenzo, Hill",101107-101141-1626192-1628978-201588,MIL,309.0,2,5.0,3.0,12.0,11.0,4.0,3.0,1.0,23.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,6.0,4.0,3.0,13.0,10.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,11.0,4.0,4.0,0.4,0.5,0.8333333333333334,1.0,1.0,0.5,1.0,0.5,0.5909090909090909,1.0,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,107.18446601941747,14.0,12.818181818181818,13.916666666666666,12.636363636363637,0.3,0.6666666666666666,0.6666666666666666,0.1,1.0,1.0,1.0,0.2,1.0,1.0,0.5,0.2,0.2,1.0,1.0,0.5,1.0,0.5,0.7,0.52171,0.5622,0.54825,0.18181818181818182,0.2857142857142857,0.15384615384615385,0.3076923076923077,8.233333333333333,24.825,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2020,2019-20,True
101107-101141-1628978-201588-203114,1610612749,"Marvin Williams, Ersan Ilyasova, Donte DiVincenzo, George Hill, Khris Middleton","Williams, Ilyasova, DiVincenzo, Hill, Middleton",101107-101141-1628978-201588-203114,MIL,299.0,2,5.0,-1.0,10.0,10.0,,7.0,,20.0,1.0,3.0,,,,,,3.0,,1.0,2.0,1.0,,1.0,7.0,3.0,,8.0,9.0,,,,,,,,,,2.0,,1.0,,1.0,,,3.0,,4.0,2.0,6.0,,6.0,,,,,,,1.0,,,,8.0,,,,,0.14285714285714285,,,0.4,,,0.4,,,0.3,,0.6666666666666666,,0.8,0.75,,,0.5,,0.75,96.3210702341137,12.9,17.0,12.9,17.0,0.3,0.3333333333333333,0.5,0.3,,,,0.1,,,,0.2,0.1,,,,,,0.6,0.5089699999999999,,,,,,,5.471428571428571,23.5,,2.0,2.0,3.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2020,2019-20,True
101107-1626192-1628412-1628978-203114,1610612749,"Marvin Williams, Pat Connaughton, Frank Mason, Donte DiVincenzo, Khris Middleton","Williams, Connaughton, Mason, DiVincenzo, Middleton",101107-1626192-1628412-1628978-203114,MIL,95.0,1,2.0,-2.0,4.0,3.0,4.0,,,7.0,1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,,,,1.0,2.0,1.0,1.0,3.0,,2.0,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,2.0,,1.0,3.0,3.0,4.0,,,0.5,,0.5,0.3333333333333333,,0.3333333333333333,0.375,,0.375,0.3333333333333333,,1.0,,,1.0,,,,,,106.10526315789474,15.5,11.0,15.5,11.0,0.3333333333333333,1.0,1.0,,,,,0.3333333333333333,,,,,0.3333333333333333,,,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.5230166666666667,,0.5230166666666667,0.25,0.3333333333333333,,1.0,12.0,25.5,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2020,2019-20,True
101107-1626192-1628412-201572-203114,1610612749,"Marvin Williams, Pat Connaughton, Frank Mason, Brook Lopez, Khris Middleton","Williams, Connaughton, Mason, Lopez, Middleton",101107-1626192-1628412-201572-203114,MIL,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2020,2019-20,True
101107-1626192-1628978-201572-201588,1610612749,"Marvin Williams, Pat Connaughton, Donte DiVincenzo, Brook Lopez, George Hill","Williams, Connaughton, DiVincenzo, Lopez, Hill",101107-1626192-1628978-201572-201588,MIL,225.0,2,4.0,,7.0,9.0,2.0,6.0,1.0,16.0,1.0,2.0,,,,,2.0,3.0,,,,2.0,,3.0,5.0,2.0,,9.0,9.0,1.0,1.0,2.0,1.0,2.0,,,2.0,4.0,2.0,,2.0,2.0,3.0,1.0,,7.0,1.0,1.0,2.0,4.0,1.0,5.0,,,1.0,1.0,1.0,,1.0,,,,7.0,2.0,2.0,0.6666666666666666,0.6666666666666666,0.6,1.0,0.5,0.6428571428571429,1.0,0.5,0.6428571428571429,1.0,0.5,0.2857142857142857,,1.0,0.5,0.5,0.75,0.3333333333333333,1.0,,,0.5,102.4,13.285714285714286,14.666666666666666,12.142857142857142,14.666666666666666,0.2857142857142857,0.5,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,,,,,,0.2857142857142857,,,,,,0.5714285714285714,0.5301785714285715,0.4247,0.41985,,,0.2222222222222222,0.2222222222222222,6.7,25.75,0.2857142857142857,,1.0,3.0,,1.0,1.0,,4.0,,1.0,1.0,1.0,1.0,3.0,1.0,0.5,0.5,0.2,0.5,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2020,2019-20,True
101107-1626192-1628978-201572-202083,1610612749,"Marvin Williams, Pat Connaughton, Donte DiVincenzo, Brook Lopez, Wesley Matthews","Williams, Connaughton, DiVincenzo, Lopez, Matthews",101107-1626192-1628978-201572-202083,MIL,25.0,1,,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,2.0,1.0,,,,1.0,1.0,,,2.0,2.0,,,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,115.19999999999999,13.0,12.0,13.0,12.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,0.406,,0.406,,,,1.0,18.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2020,2019-20,True
101107-1626192-1628978-201572-203114,1610612749,"Marvin Williams, Pat Connaughton, Donte DiVincenzo, Brook Lopez, Khris Middleton","Williams, Connaughton, DiVincenzo, Lopez, Middleton",101107-1626192-1628978-201572-203114,MIL,38.0,1,1.0,,2.0,1.0,,1.0,1.0,3.0,,1.0,,1.0,,,,1.0,,,,1.0,,,2.0,1.0,2.0,2.0,2.0,,1.0,2.0,,,,,,,,,1.0,,,,,,2.0,,,,2.0,2.0,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,0.25,0.5,,0.3333333333333333,,,1.0,,,0.6666666666666666,1.0,,,,113.6842105263158,13.0,12.0,13.0,12.0,0.3333333333333333,,,0.3333333333333333,,,,,,,,,0.3333333333333333,1.0,,,,,0.6666666666666666,0.5131,0.5646,,0.25,0.3333333333333333,1.0,,6.35,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2020,2019-20,True
101107-1626192-1628978-201572-2594,1610612749,"Marvin Williams, Pat Connaughton, Donte DiVincenzo, Brook Lopez, Kyle Korver","Williams, Connaughton, DiVincenzo, Lopez, Korver",101107-1626192-1628978-201572-2594,MIL,97.0,1,2.0,-1.0,3.0,4.0,3.0,4.0,1.0,7.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,2.0,3.0,,,,1.0,2.0,2.0,,2.0,2.0,,,1.0,1.0,1.0,,,2.0,1.0,,,1.0,1.0,2.0,,,,,,,,,,,2.0,2.0,3.0,1.0,1.0,0.5,,0.5,0.25,,0.25,0.25,,0.25,0.5,,,1.0,,,0.3333333333333333,,,,,103.91752577319588,15.0,13.0,12.0,12.75,0.25,1.0,1.0,,,,,0.25,,,,0.25,0.25,,,0.25,1.0,0.25,0.75,0.5930875,0.57645,0.5930875,,,,1.0,8.4,24.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2020,2019-20,True
101107-1626192-1628978-201577-201588,1610612749,"Marvin Williams, Pat Connaughton, Donte DiVincenzo, Robin Lopez, George Hill","Williams, Connaughton, DiVincenzo, Lopez, Hill",101107-1626192-1628978-201577-201588,MIL,596.0,3,10.0,-4.0,22.0,18.0,10.0,,,40.0,1.0,2.0,,,,1.0,1.0,4.0,2.0,4.0,,6.0,3.0,4.0,10.0,6.0,7.0,15.0,19.0,,,,,3.0,3.0,3.0,3.0,2.0,6.0,,6.0,1.0,1.0,1.0,,2.0,,1.0,6.0,7.0,,7.0,2.0,1.0,,,2.0,2.0,6.0,8.0,,3.0,15.0,3.0,10.0,0.25,0.25,0.4,,,0.25,,,0.375,,0.1875,0.375,1.0,0.75,,0.5,0.7,,,1.0,0.6666666666666666,0.5,96.64429530201342,13.818181818181818,16.22222222222222,13.818181818181818,15.61111111111111,0.125,0.5,1.0,0.25,0.25,0.25,1.0,0.25,0.5,0.5,,,0.375,,,0.16666666666666666,,0.5,0.5,0.4924625,,0.521525,0.15789473684210525,0.23076923076923078,,0.2,11.59,26.7,0.45454545454545453,,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,0.1,0.5,0.75,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2020,2019-20,True
101107-1626192-1628978-201577-202083,1610612749,"Marvin Williams, Pat Connaughton, Donte DiVincenzo, Robin Lopez, Wesley Matthews","Williams, Connaughton, DiVincenzo, Lopez, Matthews",101107-1626192-1628978-201577-202083,MIL,19.0,1,,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,2.0,2.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,75.78947368421053,19.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2020,2019-20,True
