EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyDefPoss,DeadBallTurnovers,ShootingFouls,Offensive Fouls,DefShortMidRangeReboundPct,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,FTDefRebounds,LostBallOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,DefFTReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,PenaltyTurnovers,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,LostBallTurnovers,SecondChanceArc3FGM,SecondChanceFG3M,OffTwoPtRebounds,SecondChanceTurnovers,BlockedShortMidRange,RecoveredBlocks,SecondChanceFg3Pct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,BadPassOutOfBoundsTurnovers,OffFTReboundPct,Loose Ball Fouls Drawn,Technical Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,2pt And 1 Free Throw Trips,SecondChanceAtRimPctAssisted,SelfOReb,DefensiveGoaltends,ShortMidRangePctBlocked,SelfORebPct,SecondChanceFtPoints,Charge Fouls,Charge Fouls Drawn,HeaveAttempts,3SecondViolations,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,Fg3aBlocked,ThreePtShootingFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,ThreePtShootingFoulsDrawnPct,Travels,HeaveMakes,BlockedCorner3,BlockedLongMidRange,Arc3PctBlocked,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,OffensiveGoaltends,team_id,year,season,team_vs
101107-1626179-1626195-1628370-1628407,1610612766,"Marvin Williams, Terry Rozier, Willy Hernangomez, Malik Monk, Dwayne Bacon","Williams, Rozier, Hernangomez, Monk, Bacon",101107-1626179-1626195-1628370-1628407,CHA,119.0,1,2.0,4.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,6.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,84.70588235294117,10.5,25.666666666666668,10.5,23.666666666666668,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5536,0.3333333333333333,0.3333333333333333,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2020,2019-20,True
101107-1626179-1626195-1628370-1628970,1610612766,"Marvin Williams, Terry Rozier, Willy Hernangomez, Malik Monk, Miles Bridges","Williams, Rozier, Hernangomez, Monk, Bridges",101107-1626179-1626195-1628370-1628970,CHA,54.0,1,1.0,-1.0,1.0,2.0,3.0,,,,,,,1.0,1.0,2.0,,,,,,,1.0,1.0,1.0,,,1.0,2.0,,1.0,,2.0,1.0,1.0,,,,,0.5,,1.0,1.0,,80.0,17.0,18.5,17.0,18.5,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2020,2019-20,True
101107-1626179-1626195-1628370-1628984,1610612766,"Marvin Williams, Terry Rozier, Willy Hernangomez, Malik Monk, Devonte' Graham","Williams, Rozier, Hernangomez, Monk, Graham",101107-1626179-1626195-1628370-1628984,CHA,199.0,3,3.0,-4.0,8.0,7.0,15.0,1.0,1.0,,,2.0,4.0,,7.0,11.0,,4.0,,1.0,,3.0,,1.0,1.0,,,1.0,5.0,1.0,,,,,7.0,,,0.5,0.5833333333333334,0.5833333333333334,,,,,108.54271356783919,16.125,10.0,16.125,10.0,0.16666666666666666,1.0,1.0,,,,,0.5,0.4812666666666667,,,6.4,7.0,1.0,2.0,,,1.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.5,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2020,2019-20,True
101107-1626179-1626195-1628370-1628998,1610612766,"Marvin Williams, Terry Rozier, Willy Hernangomez, Malik Monk, Cody Martin","Williams, Rozier, Hernangomez, Monk, Martin",101107-1626179-1626195-1628370-1628998,CHA,814.0,4,14.0,12.0,29.0,26.0,55.0,3.0,6.0,2.0,3.0,8.0,12.0,7.0,38.0,26.0,10.0,6.0,5.0,9.0,2.0,22.0,6.0,10.0,12.0,2.0,2.0,3.0,3.0,1.0,6.0,,10.0,4.0,36.0,0.625,0.7142857142857143,0.6666666666666666,0.6739130434782609,0.6785714285714286,0.6666666666666666,0.75,0.8333333333333334,0.5,97.2972972972973,13.275862068965518,16.5,12.482758620689655,16.46153846153846,0.2608695652173913,0.5,0.6,0.6666666666666666,0.13043478260869565,0.6666666666666666,0.6666666666666666,0.7391304347826086,0.5383847826086956,0.14814814814814814,0.25,8.025,12.0,1.0,2.0,,1.0,3.0,3.0,4.0,8.0,5.0,11.0,12.0,8.0,4.0,4.0,3.0,,,,0.8,0.45454545454545453,0.45454545454545453,0.4782608695652174,,0.13043478260869565,1.0,1.0,0.34782608695652173,0.5,0.5,0.75,0.5,25.172727272727272,10.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,4.0,4.0,12.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,10.0,1.0,0.5,0.5,0.25,0.3333333333333333,0.5,0.3333333333333333,0.6,0.08333333333333333,0.16666666666666666,1.0,0.3333333333333333,0.2,0.25,0.5,1.0,1.0,0.3333333333333333,1.0,0.13043478260869565,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.5,0.3333333333333333,0.375,0.3333333333333333,0.125,0.375,0.6666666666666666,0.55395,0.56475,0.05263157894736842,0.3157894736842105,0.3448275862068966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2020,2019-20,True
101107-1626179-1626195-1628407-201587,1610612766,"Marvin Williams, Terry Rozier, Willy Hernangomez, Dwayne Bacon, Nicolas Batum","Williams, Rozier, Hernangomez, Bacon, Batum",101107-1626179-1626195-1628407-201587,CHA,107.0,1,2.0,3.0,4.0,3.0,7.0,1.0,1.0,,,1.0,1.0,2.0,7.0,4.0,,2.0,,1.0,,3.0,1.0,1.0,1.0,,,,,,1.0,,2.0,1.0,7.0,,,1.0,0.8333333333333334,0.875,,0.5,0.5,0.5,94.2056074766355,15.5,15.0,15.5,15.0,0.3333333333333333,1.0,1.0,,,,,1.0,0.5596166666666667,0.25,0.5,1.7,3.0,,,,,,,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,,,,1.0,0.5,0.5,0.6666666666666666,,,,,0.6666666666666666,0.5,0.5,1.0,0.5,25.1,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.52395,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2020,2019-20,True
101107-1626179-1626195-1628970-201587,1610612766,"Marvin Williams, Terry Rozier, Willy Hernangomez, Miles Bridges, Nicolas Batum","Williams, Rozier, Hernangomez, Bridges, Batum",101107-1626179-1626195-1628970-201587,CHA,122.0,1,2.0,-1.0,4.0,4.0,8.0,1.0,3.0,,,1.0,3.0,2.0,4.0,5.0,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,,,1.0,,3.0,1.0,2.0,1.0,4.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,,,0.5,,94.42622950819673,16.25,14.25,16.25,14.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,1.0,0.5344666666666666,0.25,0.25,2.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2020,2019-20,True
101107-1626179-1628370-1628407-1628970,1610612766,"Marvin Williams, Terry Rozier, Malik Monk, Dwayne Bacon, Miles Bridges","Williams, Rozier, Monk, Bacon, Bridges",101107-1626179-1628370-1628407-1628970,CHA,80.0,1,1.0,-4.0,3.0,4.0,7.0,,1.0,,,,1.0,,,4.0,,,,,,,2.0,2.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,126.0,14.333333333333334,9.25,14.333333333333334,9.25,0.5,,,,,,,1.0,0.60025,,,1.1,,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,0.5,,,,,0.5,,,,,25.9,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2020,2019-20,True
101107-1626179-1628370-1628407-1628984,1610612766,"Marvin Williams, Terry Rozier, Malik Monk, Dwayne Bacon, Devonte' Graham","Williams, Rozier, Monk, Bacon, Graham",101107-1626179-1628370-1628407-1628984,CHA,28.0,1,,-3.0,,1.0,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.42857142857143,,26.0,,26.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2020,2019-20,True
101107-1626179-1628370-1628407-1629023,1610612766,"Marvin Williams, Terry Rozier, Malik Monk, Dwayne Bacon, P.J. Washington","Williams, Rozier, Monk, Bacon, Washington",101107-1626179-1628370-1628407-1629023,CHA,765.0,7,13.0,8.0,25.0,24.0,49.0,7.0,12.0,1.0,4.0,10.0,22.0,2.0,28.0,20.0,2.0,18.0,1.0,3.0,1.0,8.0,7.0,12.0,18.0,1.0,1.0,2.0,6.0,1.0,3.0,,2.0,1.0,17.0,0.1,0.125,0.45454545454545453,0.48148148148148145,0.5,0.5,0.5833333333333334,0.6666666666666666,0.8,92.23529411764706,15.6,15.625,14.56,15.125,0.4444444444444444,0.5833333333333334,0.7,0.14285714285714285,0.14814814814814814,0.25,0.25,0.6296296296296297,0.5295425925925926,0.03571428571428571,0.043478260869565216,6.2272727272727275,,1.0,3.0,1.0,0.4,2.0,6.0,2.0,5.0,2.0,5.0,6.0,5.0,2.0,2.0,2.0,,,,1.0,0.4,0.4,0.18518518518518517,,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.18518518518518517,0.4,0.4,1.0,0.4,25.74,,6.0,3.0,3.0,,,,,,1.0,,,4.0,4.0,1.0,11.0,,,,,,,,4.0,2.0,,,,1.0,5.0,6.0,2.0,1.0,1.0,,,3.0,1.0,3.0,,,,,1.0,,1.1,,1.1,,0.09090909090909091,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.4,0.3333333333333333,,0.8333333333333334,,,,,,,,0.6,1.0,0.2,,,,,,0.5947125,,0.39285714285714285,,,,1.0,1.0,5.0,1.0,2.0,1.0,1.0,0.4166666666666667,0.4,0.25,0.6666666666666666,0.5,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2020,2019-20,True
101107-1626179-1628370-1628407-202687,1610612766,"Marvin Williams, Terry Rozier, Malik Monk, Dwayne Bacon, Bismack Biyombo","Williams, Rozier, Monk, Bacon, Biyombo",101107-1626179-1628370-1628407-202687,CHA,314.0,3,5.0,4.0,12.0,11.0,23.0,1.0,2.0,,,3.0,4.0,3.0,12.0,8.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,6.0,7.0,1.0,1.0,3.0,4.0,1.0,3.0,,4.0,1.0,12.0,0.6666666666666666,0.6666666666666666,0.75,0.6428571428571429,0.6666666666666666,0.3333333333333333,1.0,0.8333333333333334,,105.47770700636943,12.5,14.909090909090908,12.0,14.363636363636363,0.2857142857142857,0.5,0.5,1.0,,,,0.7142857142857143,0.5401642857142857,0.125,0.2,4.675,2.0,2.0,3.0,,1.0,2.0,2.0,1.0,2.0,1.0,3.0,,2.0,1.0,,,1.0,,,,0.3333333333333333,0.3333333333333333,0.42857142857142855,1.0,0.2857142857142857,1.0,1.0,0.2857142857142857,0.5,0.5,,0.5,25.599999999999998,3.0,1.0,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,2.0,1.0,1.0,3.0,,,,1.0,,,3.0,1.0,1.0,1.0,,,1.0,,,,1.0,3.0,1.0,,,,,,,0.16666666666666666,,,0.75,,,,,0.6666666666666666,1.0,0.5,,0.14285714285714285,,,,,,1.0,,,0.5,0.5,,0.5304,0.569775,,0.08333333333333333,0.25,,,,,,,,,,,,,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2020,2019-20,True
