EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,SecondChanceArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,AtRimAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,LongMidRangeFGA,LongMidRangeFrequency,LongMidRangeFGM,LongMidRangeAssists,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Fg3aBlocked,NonShootingFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,OffArc3ReboundPct,ShortMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,PenaltyFtPoints,Corner3Assists,ShortMidRangeAssists,BlockedShortMidRange,SecondChanceFg3Pct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,BlockingFouls,LiveBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,LiveBallTurnoverPct,DefCorner3ReboundPct,LostBallSteals,BadPassTurnovers,AtRimPctBlocked,OffAtRimReboundPct,SecondChanceArc3FGM,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,3SecondViolations,OffLongMidRangeReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Offensive Fouls,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,SecondChanceAtRimPctAssisted,NonShootingPenaltyNonTakeFouls,Charge Fouls,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Arc3PctBlocked,FTOffRebounds,Blocked3s,BlockedArc3,OffFTReboundPct,DefensiveGoaltends,Technical Free Throw Trips,HeaveAttempts,NonShootingPenaltyNonTakeFoulsDrawn,Defensive 3 Seconds Violations,BlockedLongMidRange,OffensiveGoaltends,LongMidRangePctBlocked,Clear Path Fouls,HeaveMakes,team_id,year,season,team_vs
101112-201567-202681-202697-203521,1610612739,"Channing Frye, Kevin Love, Kyrie Irving, Iman Shumpert, Matthew Dellavedova","Frye, Love, Irving, Shumpert, Dellavedova",101112-201567-202681-202697-203521,CLE,109.0,1,2.0,4.0,4.0,4.0,4.0,4.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,8.0,4.0,1.0,1.0,2.0,2.0,8.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,8.0,4.0,0.5,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.5,105.68807339449542,11.0,16.25,11.0,16.25,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,0.39701666666666663,0.39701666666666663,1.0,3.6,27.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
101112-201567-202681-203521-2210,1610612739,"Channing Frye, Kevin Love, Kyrie Irving, Matthew Dellavedova, Richard Jefferson","Frye, Love, Irving, Dellavedova, Jefferson",101112-201567-202681-203521-2210,CLE,326.0,2,5.0,16.0,10.0,11.0,,,21.0,4.0,4.0,,,2.0,4.0,,,4.0,7.0,2.0,6.0,17.0,1.0,,,,,,4.0,6.0,,4.0,2.0,2.0,4.0,2.0,10.0,6.0,10.0,14.0,,,,,13.0,,,1.0,0.3333333333333333,,0.3333333333333333,0.5714285714285714,,0.5384615384615384,,0.6071428571428571,,0.46153846153846156,0.8571428571428571,0.9,1.0,1.0,92.76073619631902,15.2,15.818181818181818,13.7,14.727272727272727,0.3076923076923077,1.0,1.0,0.3076923076923077,0.5,0.5,1.0,,,,,0.7692307692307693,0.5,0.5147653846153847,,,3.2857142857142856,24.433333333333334,,4.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5,0.14285714285714285,0.3333333333333333,1.0,1.0,1.0,0.25,0.5714285714285714,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.5,0.23076923076923078,0.15384615384615385,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.5078666666666667,0.14285714285714285,0.25,0.23529411764705882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
101112-201567-202681-203521-2544,1610612739,"Channing Frye, Kevin Love, Kyrie Irving, Matthew Dellavedova, LeBron James","Frye, Love, Irving, Dellavedova, James",101112-201567-202681-203521-2544,CLE,64.0,1,1.0,-4.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,,,1.0,,,,4.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,90.0,15.0,17.0,15.0,17.0,,,,,,,,,,,,,,0.4229,0.4229,,19.1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
101112-201567-202681-203521-2747,1610612739,"Channing Frye, Kevin Love, Kyrie Irving, Matthew Dellavedova, JR Smith","Frye, Love, Irving, Dellavedova, Smith",101112-201567-202681-203521-2747,CLE,18.0,1,,-3.0,,1.0,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,18.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
101112-201567-202681-2210-2544,1610612739,"Channing Frye, Kevin Love, Kyrie Irving, Richard Jefferson, LeBron James","Frye, Love, Irving, Jefferson, James",101112-201567-202681-2210-2544,CLE,283.0,1,5.0,,8.0,9.0,,,17.0,4.0,4.0,,,1.0,2.0,,,5.0,5.0,1.0,3.0,13.0,13.0,,,,,,4.0,3.0,,2.0,1.0,1.0,4.0,1.0,9.0,2.0,2.0,2.0,,,,,13.0,,,1.0,0.3333333333333333,,0.3333333333333333,1.0,,0.8125,,0.8125,,0.375,0.6666666666666666,0.6666666666666666,,,86.5017667844523,16.0,17.22222222222222,16.0,15.0,0.5,1.0,1.0,0.25,0.5,0.5,1.0,,,,,0.875,0.5,0.6237875,,,4.74,24.266666666666666,,,,,,1.0,,,,,,,,,6.0,,,3.0,2.0,,,,,,,2.0,2.0,,,1.0,,,,,,,,,0.6,0.6,,,,,,,,,,,,,0.6666666666666666,,,,0.5,,0.125,,,,,,,,,1.0,0.125,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
101112-201567-202681-2544-2747,1610612739,"Channing Frye, Kevin Love, Kyrie Irving, LeBron James, JR Smith","Frye, Love, Irving, James, Smith",101112-201567-202681-2544-2747,CLE,176.0,1,3.0,-1.0,4.0,5.0,,,9.0,2.0,2.0,,,,1.0,,,2.0,3.0,,2.0,5.0,6.0,,,,,,2.0,,,1.0,,,1.0,,2.0,,1.0,2.0,,,,,5.0,,,,,,,0.6666666666666666,,0.4,,0.4166666666666667,,0.4,,0.5,,,73.63636363636364,18.0,20.8,16.75,20.8,0.4,1.0,1.0,0.2,,,,,,,,0.8,,0.52129,,,6.333333333333333,23.7,,1.0,,,,1.0,,,1.0,,1.0,,,,2.0,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,,2.0,,,,,,,0.5,0.5,,,,,,,,1.0,0.5,0.3333333333333333,,,,1.0,,,0.5,,0.2,,,,,,,,,1.0,0.2,,,,,,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
101112-201567-202697-203521-2544,1610612739,"Channing Frye, Kevin Love, Iman Shumpert, Matthew Dellavedova, LeBron James","Frye, Love, Shumpert, Dellavedova, James",101112-201567-202697-203521-2544,CLE,227.0,1,4.0,5.0,7.0,7.0,5.0,,14.0,,,,,1.0,2.0,1.0,2.0,1.0,3.0,2.0,4.0,9.0,4.0,,1.0,2.0,4.0,7.0,,6.0,,2.0,1.0,2.0,3.0,1.0,8.0,4.0,5.0,6.0,,,,,6.0,7.0,5.0,1.0,0.5,0.5,0.5,0.3333333333333333,,0.5714285714285714,0.6,0.5625,0.5833333333333334,0.5714285714285714,1.0,1.0,,1.0,88.81057268722468,18.428571428571427,14.0,16.571428571428573,14.0,,,,0.2857142857142857,0.5,0.5,1.0,,,0.4,0.5,0.5714285714285714,0.5,0.4511857142857143,0.48263999999999996,0.7777777777777778,9.6,23.875,0.7142857142857143,1.0,,,2.0,2.0,1.0,,1.0,,,1.0,,3.0,2.0,,,1.0,,1.0,,1.0,,1.0,,,,,,3.0,,2.0,,1.0,2.0,,2.0,2.0,1.0,1.0,,1.5,1.5,,,,,1.0,0.5,0.25,,1.0,1.0,1.0,,1.0,,0.2857142857142857,0.2857142857142857,,,1.0,,0.5661,0.125,0.25,0.3333333333333333,1.0,0.14285714285714285,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
101112-201567-203521-2210-2747,1610612739,"Channing Frye, Kevin Love, Matthew Dellavedova, Richard Jefferson, JR Smith","Frye, Love, Dellavedova, Jefferson, Smith",101112-201567-203521-2210-2747,CLE,132.0,1,2.0,,5.0,5.0,1.0,,10.0,1.0,1.0,,,1.0,2.0,,1.0,2.0,3.0,1.0,2.0,7.0,7.0,,,,1.0,,4.0,3.0,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,,,,,7.0,,1.0,1.0,0.5,,0.5,0.6666666666666666,,0.7,,0.7,,0.4,1.0,1.0,,1.0,109.09090909090908,9.8,16.6,9.8,16.6,0.2,1.0,1.0,0.4,0.5,0.5,1.0,,,1.0,,0.6,0.5,0.47920999999999997,0.3723,,10.166666666666666,25.15,0.2,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,2.0,0.4,1.0,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
101112-201567-203521-2544-2747,1610612739,"Channing Frye, Kevin Love, Matthew Dellavedova, LeBron James, JR Smith","Frye, Love, Dellavedova, James, Smith",101112-201567-203521-2544-2747,CLE,418.0,4,7.0,-3.0,15.0,14.0,5.0,4.0,29.0,4.0,4.0,,,1.0,3.0,,1.0,5.0,6.0,2.0,6.0,17.0,20.0,,,,3.0,,4.0,6.0,,3.0,1.0,2.0,5.0,1.0,12.0,1.0,5.0,5.0,1.0,,3.0,2.0,17.0,,5.0,1.0,0.3333333333333333,,0.3333333333333333,0.8333333333333334,,0.6666666666666666,,0.7083333333333334,,0.5,0.5,0.8333333333333334,,1.0,99.90430622009569,12.8,16.142857142857142,12.8,14.785714285714286,0.3333333333333333,1.0,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,,,0.3333333333333333,,0.8333333333333334,0.3333333333333333,0.5892375,0.44815,,3.6999999999999997,24.05,0.3333333333333333,,,,2.0,3.0,,,1.0,,,,,,6.0,,,3.0,2.0,,,4.0,,,,1.0,1.0,1.0,4.0,2.0,,1.0,1.0,1.0,,,,,0.6,0.6,,,,,,,,1.0,,,,,,1.0,,,0.5,0.16666666666666666,0.25,,,,,,0.08333333333333333,0.16666666666666666,,,,,,,,,,,,,,1.0,1.0,,,2.0,,,1.0,1.0,,,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,,,0.6666666666666666,,,2.0,1.0,2.0,1.0,1.0,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
101112-201619-203895-2563-2592,1610612739,"Channing Frye, Sasha Kaun, Jordan McRae, Dahntay Jones, James Jones","Frye, Kaun, McRae, Jones, Jones",101112-201619-203895-2563-2592,CLE,571.0,1,10.0,3.0,19.0,18.0,,2.0,37.0,3.0,5.0,,,1.0,5.0,,,6.0,17.0,1.0,5.0,19.0,16.0,,,,,,10.0,3.0,,5.0,1.0,1.0,2.0,1.0,5.0,5.0,5.0,10.0,,,1.0,,15.0,,,1.0,0.2,,0.2,0.35294117647058826,,0.3409090909090909,,0.41304347826086957,,0.22727272727272727,0.625,0.5555555555555556,0.25,1.0,93.30998248686514,17.263157894736842,13.5,15.157894736842104,12.444444444444445,0.22727272727272727,0.6,1.0,0.22727272727272727,0.2,0.2,1.0,,,,,0.45454545454545453,0.2,0.4524545454545455,,,9.058823529411764,25.76,,5.0,1.0,1.0,8.0,,,2.0,4.0,2.0,3.0,2.0,,4.0,2.0,2.0,4.0,1.0,,,5.0,,,5.0,,3.0,1.0,4.0,5.0,6.0,,4.0,2.0,3.0,3.0,3.0,3.0,,0.16666666666666666,0.2,0.6666666666666666,0.4,0.4,0.23529411764705882,0.25,,0.45454545454545453,,,0.3333333333333333,0.5,,1.0,,,,,0.36363636363636365,,0.2,1.0,,0.4,0.47335000000000005,0.13043478260869565,0.16666666666666666,0.21052631578947367,4.0,0.18181818181818182,1.0,,0.25,0.25,,,,,,,2.0,,,,,,,,1.0,,,0.25,0.3333333333333333,0.5,,,,,,,,,1.0,,,,,1.0,,2.0,1.0,0.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
