EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyArc3FGA,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,OffTwoPtRebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,PenaltyArc3Frequency,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGA,Corner3FGA,Fg2aBlocked,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Travels,ShootingFouls,Fouls,Loose Ball Fouls Drawn,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceFtPoints,LostBallSteals,LongMidRangeFGM,Corner3FGM,FG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFGM,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,PtsPutbacks,NonHeaveArc3FGM,Arc3Assists,LongMidRangeAssists,FTOffRebounds,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,BlockedAtRim,SecondChanceFg3Pct,PenaltyFg3Pct,LongMidRangePctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFtPoints,LostBallOutOfBoundsTurnovers,LostBallTurnovers,BlockingFouls,Charge Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,StepOutOfBoundsTurnovers,PtsUnassisted3s,Fg3aBlocked,Loose Ball Fouls,BlockedShortMidRange,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,OffensiveGoaltends,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,DefensiveGoaltends,3SecondViolations,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
101133-101139-101145-201155-202331,1610612754,"Ian Mahinmi, CJ Miles, Monta Ellis, Rodney Stuckey, Paul George","Mahinmi, Miles, Ellis, Stuckey, George",101133-101139-101145-201155-202331,IND,213.0,1,4.0,-5.0,8.0,7.0,2.0,15,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,5.0,2.0,1.0,5.0,10.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.4,0.2857142857142857,0.3125,0.2857142857142857,0.6666666666666666,1.0,0.5,0.75,0.2,0.5,0.6666666666666666,1.0,101.40845070422536,15.0,13.285714285714286,13.125,12.571428571428571,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.42857142857142855,0.2857142857142857,0.5,0.42857142857142855,0.4483428571428571,0.3961,0.125,0.16666666666666666,13.419999999999998,25.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,True
101133-101139-101145-201155-203524,1610612754,"Ian Mahinmi, CJ Miles, Monta Ellis, Rodney Stuckey, Solomon Hill","Mahinmi, Miles, Ellis, Stuckey, Hill",101133-101139-101145-201155-203524,IND,43.0,1,1.0,-1.0,2.0,1.0,1.0,3,,,1.0,2.0,,1.0,,1.0,2.0,1.0,,2.0,3.0,2.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,1.0,,,,100.46511627906976,18.0,7.0,1.5,7.0,,,,,0.6666666666666666,0.5,0.5,,,0.3333333333333333,,0.3333333333333333,0.32021666666666665,0.3391,,,6.2,27.7,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.5,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,0.32021666666666665,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,True
101133-101139-101145-201588-202331,1610612754,"Ian Mahinmi, CJ Miles, Monta Ellis, George Hill, Paul George","Mahinmi, Miles, Ellis, Hill, George",101133-101139-101145-201588-202331,IND,350.0,3,6.0,-6.0,10.0,12.0,2.0,22,2.0,5.0,1.0,3.0,2.0,2.0,,3.0,10.0,3.0,1.0,7.0,13.0,5.0,,2.0,2.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,5.0,6.0,11.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,0.3333333333333333,0.3333333333333333,0.3,0.23076923076923078,0.25,0.23076923076923078,1.0,1.0,0.6666666666666666,1.0,0.6,0.5,1.0,1.0,90.51428571428572,22.6,10.333333333333334,18.9,10.333333333333334,0.38461538461538464,0.4,0.5,0.5,0.23076923076923078,0.3333333333333333,0.3333333333333333,,0.15384615384615385,0.15384615384615385,,0.6153846153846154,0.47189230769230767,0.430325,0.07142857142857142,0.09090909090909091,6.909999999999999,25.566666666666666,,4.0,,,,,,,,4.0,4.0,,,,,,,,,0.5714285714285714,1.0,,,,,,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,0.1,0.2,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,0.07692307692307693,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,True
101133-101139-201155-201588-202331,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, George Hill, Paul George","Mahinmi, Miles, Stuckey, Hill, George",101133-101139-201155-201588-202331,IND,284.0,4,5.0,-4.0,8.0,8.0,1.0,16,3.0,3.0,,2.0,,2.0,,3.0,5.0,3.0,2.0,8.0,12.0,1.0,,,2.0,,,,,,1.0,,,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,6.0,,,0.6,0.375,0.4444444444444444,0.375,,,0.3333333333333333,,0.4,0.5,,,81.12676056338029,18.875,16.625,17.25,15.75,0.375,1.0,1.0,,0.25,,,,,0.25,,0.75,0.4681375,0.3382,0.1111111111111111,0.16666666666666666,3.5,25.166666666666668,,1.0,,,2.0,,,,,6.0,1.0,,,,,,,0.5,,0.5,0.5,,,0.25,,,,1.0,,1.0,,1.0,,,,,1.0,2.0,,,,,,1.0,,,,,,0.125,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,True
101133-101139-201155-201951-202331,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, Ty Lawson, Paul George","Mahinmi, Miles, Stuckey, Lawson, George",101133-101139-201155-201951-202331,IND,254.0,1,4.0,1.0,7.0,7.0,1.0,14,1.0,3.0,,1.0,1.0,,,2.0,5.0,3.0,,10.0,9.0,1.0,,2.0,,1.0,3.0,1.0,,8.0,,,2.0,2.0,2.0,4.0,,,1.0,2.0,1.0,1.0,1.0,1.0,10.0,0.5,0.5,0.4,0.625,0.5555555555555556,0.375,1.0,,,1.0,0.5,,1.0,,79.37007874015748,18.142857142857142,18.142857142857142,17.714285714285715,18.142857142857142,0.375,0.3333333333333333,0.3333333333333333,1.0,0.125,,,,0.125,,,0.75,0.563775,0.3314,0.1111111111111111,0.16666666666666666,5.54,22.866666666666664,,,,,,,,,,2.0,2.0,,,,,,,,,0.6666666666666666,1.0,,,,,,1.0,3.0,,,1.0,,,,,,1.0,1.0,,1.0,,,,,0.5,,,0.25,1.0,0.375,1.0,,,1.0,2.0,2.0,6.0,2.0,2.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,True
101133-101139-201155-201951-203524,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, Ty Lawson, Solomon Hill","Mahinmi, Miles, Stuckey, Lawson, Hill",101133-101139-201155-201951-203524,IND,1339.0,4,22.0,20.0,42.0,41.0,8.0,83,5.0,7.0,4.0,8.0,8.0,10.0,2.0,12.0,23.0,15.0,10.0,46.0,26.0,5.0,2.0,6.0,10.0,3.0,7.0,2.0,,18.0,6.0,6.0,16.0,24.0,10.0,34.0,4.0,6.0,12.0,17.0,9.0,2.0,,2.0,34.0,0.25,0.375,0.5217391304347826,0.47368421052631576,0.5,0.39473684210526316,0.7619047619047619,0.8571428571428571,0.5454545454545454,0.7857142857142857,0.4090909090909091,0.42857142857142855,0.75,1.0,89.26064227035101,15.428571428571429,16.853658536585368,14.738095238095237,16.146341463414632,0.18421052631578946,0.7142857142857143,0.7142857142857143,0.4,0.21052631578947367,0.5,0.5,,0.21052631578947367,0.2631578947368421,0.2857142857142857,0.5789473684210527,0.501828947368421,0.4397,0.1956521739130435,0.2903225806451613,8.98695652173913,24.833333333333332,2.0,1.0,1.0,4.0,12.0,,,1.0,3.0,18.0,3.0,3.0,2.0,0.8,,0.7857142857142857,1.5,0.75,1.5,0.2727272727272727,0.25,1.0,0.50385,0.2608695652173913,0.06521739130434782,0.047619047619047616,2.0,5.0,1.0,2.0,,6.0,1.0,2.0,2.0,1.0,5.0,7.0,1.0,1.0,0.043478260869565216,,0.3333333333333333,1.0,0.5,0.75,0.8,,0.5,0.13157894736842105,0.2857142857142857,1.0,5.0,3.0,1.0,4.0,12.0,4.0,1.0,1.0,0.26666666666666666,0.26666666666666666,0.6363636363636364,0.375,0.42857142857142855,0.2,0.2,1.0,2.0,3.0,1.0,1.0,1.0,1.0,8.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.125,0.3333333333333333,0.2,1.0,0.3333333333333333,0.3,0.3,1.0,1.0,0.5,1.0,1.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,True
101133-101139-201588-201951-202331,1610612754,"Ian Mahinmi, CJ Miles, George Hill, Ty Lawson, Paul George","Mahinmi, Miles, Hill, Lawson, George",101133-101139-201588-201951-202331,IND,103.0,1,2.0,-4.0,4.0,3.0,,7,,,,,1.0,1.0,,1.0,1.0,1.0,,2.0,6.0,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,2.0,,,1.0,0.5,0.5,0.5,,,,,,,,,97.86407766990291,20.25,7.333333333333333,20.25,7.333333333333333,,,,,,,,,0.5,0.5,,0.5,0.380575,,,,21.4,26.2,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,True
101133-101145-1626167-201588-202331,1610612754,"Ian Mahinmi, Monta Ellis, Myles Turner, George Hill, Paul George","Mahinmi, Ellis, Turner, Hill, George",101133-101145-1626167-201588-202331,IND,3417.0,5,57.0,-1.0,107.0,108.0,16.0,215,14.0,23.0,5.0,17.0,19.0,20.0,2.0,26.0,59.0,34.0,21.0,103.0,104.0,12.0,3.0,16.0,20.0,8.0,18.0,4.0,1.0,46.0,7.0,12.0,26.0,38.0,18.0,56.0,7.0,21.0,26.0,29.0,13.0,3.0,,3.0,83.0,0.3076923076923077,0.38095238095238093,0.4406779661016949,0.44086021505376344,0.4811320754716981,0.3655913978494624,0.8387096774193549,0.631578947368421,0.2916666666666667,0.76,0.32142857142857145,0.4117647058823529,1.0,0.5,90.60579455662862,16.869158878504674,14.925925925925926,15.85981308411215,14.37962962962963,0.24731182795698925,0.6086956521739131,0.7777777777777778,0.2857142857142857,0.1827956989247312,0.29411764705882354,0.35714285714285715,0.2,0.20430107526881722,0.21505376344086022,0.13333333333333333,0.6129032258064516,0.5103279569892474,0.52019,0.12380952380952381,0.18309859154929578,8.854237288135593,24.791176470588233,9.0,24.0,3.0,5.0,20.0,,2.0,4.0,9.0,36.0,11.0,9.0,9.0,0.4166666666666667,,0.5333333333333333,0.25,0.59375,0.45,0.34375,0.4166666666666667,0.5,0.4937416666666667,0.1941747572815534,0.08737864077669903,0.08411214953271028,8.0,14.0,8.0,,1.0,12.0,8.0,14.0,6.0,1.0,11.0,22.0,2.0,1.0,0.13559322033898305,0.21739130434782608,0.6666666666666666,,0.5,,0.7272727272727273,0.02040816326530612,0.3333333333333333,0.15053763440860216,0.5333333333333333,4.0,4.0,7.0,7.0,10.0,30.0,10.0,7.0,1.0,0.29411764705882354,0.29411764705882354,0.7692307692307693,0.3684210526315789,0.3684210526315789,0.5,0.5,1.0,4.0,3.0,1.0,,2.0,1.0,10.0,3.0,3.0,3.0,,,2.0,2.0,1.0,1.0,3.0,0.6666666666666666,0.25,,,0.16666666666666666,0.7777777777777778,0.42857142857142855,0.15,0.15,1.0,0.5,0.5,1.0,,0.15,1.0,1.0,1.0,1.0,6.0,1.0,8.0,8.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.17647058823529413,0.06666666666666667,1.0,1.0,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,True
101133-101145-201155-201588-203524,1610612754,"Ian Mahinmi, Monta Ellis, Rodney Stuckey, George Hill, Solomon Hill","Mahinmi, Ellis, Stuckey, Hill, Hill",101133-101145-201155-201588-203524,IND,61.0,1,1.0,4.0,3.0,2.0,,5,2.0,2.0,,,,,,2.0,2.0,,,4.0,,,,4.0,,2.0,2.0,2.0,,4.0,,1.0,1.0,2.0,,2.0,,,,,,,,,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,118.03278688524591,8.333333333333334,18.0,8.333333333333334,18.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.77815,,,,0.7,,3.0,2.0,,,,2.0,2.0,,4.0,,,4.0,3.0,,1.0,,1.0,,1.0,,,,0.77815,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,1610612754,2016,2015-16,True
101133-101145-201155-202331-202730,1610612754,"Ian Mahinmi, Monta Ellis, Rodney Stuckey, Paul George, Lavoy Allen","Mahinmi, Ellis, Stuckey, George, Allen",101133-101145-201155-202331-202730,IND,47.0,1,1.0,,2.0,1.0,,3,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,91.91489361702128,18.5,10.0,18.5,10.0,,,,,,,,,,1.0,,1.0,0.43305,,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1610612754,2016,2015-16,True
