EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,Corner3FGM,Corner3FGA,Arc3FGA,FG3M,FG3A,Points,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,Fouls,FoulsDrawn,Charge Fouls Drawn,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,OpponentPoints,PenaltyFG2A,PtsAssisted2s,TwoPtAssists,AtRimAssists,DefTwoPtRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGA,PenaltyFG3A,PenaltyCorner3Frequency,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,PenaltyPointsExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,ShortMidRangeFGA,SecondChanceTurnovers,Offensive Fouls,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShortMidRangeFGM,Fg2aBlocked,BlockingFouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyArc3FGA,SecondChanceFtPoints,OffThreePtRebounds,LostBallSteals,OffThreePtReboundPct,OffCorner3ReboundPct,PenaltyArc3Frequency,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,LongMidRangeAssists,PenaltyFg3Pct,LongMidRangePctAssisted,PenaltyArc3Accuracy,LostBallOutOfBoundsTurnovers,Charge Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,OffLongMidRangeReboundPct,OffArc3ReboundPct,ShortMidRangeAssists,ThreePtShootingFoulsDrawn,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGA,SecondChanceFG3A,3SecondViolations,SecondChanceArc3Frequency,HeaveAttempts,Travels,Technical Free Throw Trips,Defensive 3 Seconds Violations,FTOffRebounds,Loose Ball Fouls Drawn,ShortMidRangePctBlocked,OffFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,DefensiveGoaltends,StepOutOfBoundsTurnovers,BlockedLongMidRange,OffensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedCorner3,Clear Path Fouls,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,Corner3PctBlocked,team_id,year,season,team_vs
101236-1891-201147-201935-201976,1610612745,"Chuck Hayes, Jason Terry, Corey Brewer, James Harden, Patrick Beverley","Hayes, Terry, Brewer, Harden, Beverley",101236-1891-201147-201935-201976,HOU,98.0,1,2.0,3.0,3.0,3.0,6.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,1.0,88.16326530612245,16.0,16.666666666666668,16.0,16.666666666666668,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,1.0,0.5942999999999999,24.099999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
101236-1891-201147-201935-2772,1610612745,"Chuck Hayes, Jason Terry, Corey Brewer, James Harden, Trevor Ariza","Hayes, Terry, Brewer, Harden, Ariza",101236-1891-201147-201935-2772,HOU,221.0,1,4.0,-7.0,8.0,7.0,15.0,,,1.0,,1.0,4.0,,1.0,,1.0,,2.0,1.0,2.0,2.0,,,3.0,1.0,,4.0,,,,0.3333333333333333,0.5,0.3333333333333333,0.5,0.4,,97.73755656108598,12.375,17.428571428571427,12.375,15.428571428571429,,,,,0.3333333333333333,0.6666666666666666,0.49323333333333336,25.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,11.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.4202,0.25,0.3333333333333333,11.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
101236-1891-201147-201951-2772,1610612745,"Chuck Hayes, Jason Terry, Corey Brewer, Ty Lawson, Trevor Ariza","Hayes, Terry, Brewer, Lawson, Ariza",101236-1891-201147-201951-2772,HOU,32.0,1,1.0,-3.0,1.0,2.0,3.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,135.0,21.0,5.5,21.0,5.5,1.0,,,,,1.0,0.6198,23.8,1.0,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,0.6198,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
101236-1891-201935-201977-2772,1610612745,"Chuck Hayes, Jason Terry, James Harden, Marcus Thornton, Trevor Ariza","Hayes, Terry, Harden, Thornton, Ariza",101236-1891-201935-201977-2772,HOU,298.0,2,5.0,,11.0,10.0,21.0,1.0,2.0,2.0,1.0,4.0,10.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,5.0,1.0,1.0,2.0,3.0,,8.0,1.0,0.25,0.25,0.4375,0.5,0.5,0.5,0.42857142857142855,0.5,101.47651006711409,12.454545454545455,16.1,12.363636363636363,15.6,0.25,0.5,0.5,1.0,0.25,0.875,0.5167375,24.25,4.0,,1.0,3.0,1.0,2.0,4.0,3.0,10.0,2.0,,,,2.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,4.0,2.0,4.0,,,,0.5,1.0,0.4,,,0.375,0.3333333333333333,0.3333333333333333,,0.125,0.50655,0.2,0.3333333333333333,6.9,0.36363636363636365,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,0.5,1.0,0.3333333333333333,1.0,0.375,1.0,0.5,0.2,0.5,1.0,0.2,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.3665,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
101236-201147-201935-201951-201977,1610612745,"Chuck Hayes, Corey Brewer, James Harden, Ty Lawson, Marcus Thornton","Hayes, Brewer, Harden, Lawson, Thornton",101236-201147-201935-201951-201977,HOU,71.0,1,1.0,,3.0,2.0,5.0,,,,,,2.0,,,,1.0,,2.0,,1.0,2.0,,,2.0,,,2.0,,,,0.5,0.5,,,1.0,,101.40845070422534,14.666666666666666,13.5,12.0,13.5,,,,,,0.5,0.4825,,,,1.0,1.0,,1.0,2.0,,2.0,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,2.0,,1.0,,,,,,,1.0,1.0,0.5,0.5,1.0,,,0.5,1.0,1.0,1.0,,,,,5.15,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
101236-201147-201935-201951-2772,1610612745,"Chuck Hayes, Corey Brewer, James Harden, Ty Lawson, Trevor Ariza","Hayes, Brewer, Harden, Lawson, Ariza",101236-201147-201935-201951-2772,HOU,57.0,2,1.0,-5.0,2.0,3.0,5.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,126.31578947368422,17.5,7.333333333333333,17.5,7.0,,,,,,,0.3959,,,2.0,,,,,1.0,,5.0,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
101236-201147-201951-201976-2772,1610612745,"Chuck Hayes, Corey Brewer, Ty Lawson, Patrick Beverley, Trevor Ariza","Hayes, Brewer, Lawson, Beverley, Ariza",101236-201147-201951-201976-2772,HOU,43.0,1,1.0,3.0,2.0,2.0,4.0,,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,,3.0,,1.0,1.0,1.0,1.0,,,,3.0,1.0,0.5,0.5,0.75,0.75,1.0,,1.0,,133.95348837209303,13.0,8.5,13.0,8.5,0.5,,,,0.5,1.0,0.57465,24.35,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
101236-201935-201951-201977-2772,1610612745,"Chuck Hayes, James Harden, Ty Lawson, Marcus Thornton, Trevor Ariza","Hayes, Harden, Lawson, Thornton, Ariza",101236-201935-201951-201977-2772,HOU,610.0,2,10.0,6.0,21.0,22.0,43.0,1.0,3.0,6.0,3.0,9.0,23.0,9.0,6.0,3.0,4.0,1.0,11.0,3.0,12.0,12.0,1.0,1.0,3.0,3.0,,23.0,1.0,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.6388888888888888,0.5,0.6,0.8,,101.50819672131148,13.095238095238095,15.227272727272727,13.095238095238095,14.545454545454545,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.49361388888888885,24.6,,5.0,1.0,3.0,2.0,6.0,9.0,2.0,17.0,,2.0,1.0,1.0,9.0,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,,,2.0,2.0,,1.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.9,1.0,0.6,0.16666666666666666,0.3333333333333333,0.5,1.0,0.1111111111111111,,0.1111111111111111,0.2222222222222222,8.011111111111111,,,,,,,,,,1.0,,,,,,,10.0,,,,,,,,,,,,,,,,,0.8,,0.5,0.5,,,,,,,,4.0,,,,1.0,0.2222222222222222,2.0,2.0,2.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
1626149-1891-201147-201935-201977,1610612745,"Montrezl Harrell, Jason Terry, Corey Brewer, James Harden, Marcus Thornton","Harrell, Terry, Brewer, Harden, Thornton",1626149-1891-201147-201935-201977,HOU,297.0,3,5.0,-1.0,12.0,11.0,23.0,,2.0,2.0,,4.0,10.0,,2.0,,2.0,,4.0,3.0,4.0,8.0,2.0,1.0,2.0,4.0,,7.0,,,,0.25,0.4166666666666667,0.5,1.0,1.0,1.0,111.51515151515152,14.083333333333334,11.636363636363637,11.916666666666666,11.636363636363637,0.25,,,,0.25,0.75,0.55335,24.1,7.0,11.0,2.0,2.0,,2.0,4.0,6.0,11.0,3.0,4.0,2.0,2.0,1.0,3.0,,2.0,1.0,1.0,4.0,2.0,2.0,,,8.0,4.0,7.0,,1.0,1.0,0.5,0.75,1.0,,1.0,0.25,1.0,1.0,1.0,,0.4960333333333333,0.3333333333333333,0.5,3.1,0.5833333333333334,1.0,3.0,0.16666666666666666,3.0,,,1.0,1.0,,,1.0,3.0,1.0,3.0,5.0,,,2.0,,4.0,1.0,5.0,,0.3333333333333333,,0.16666666666666666,0.5,0.3125,,1.0,0.6666666666666666,,,0.16666666666666666,,,,,0.16666666666666666,1.0,0.4299,0.3,0.5,2.0,1.0,,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,1.0,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
1626149-1891-201147-201935-203093,1610612745,"Montrezl Harrell, Jason Terry, Corey Brewer, James Harden, Terrence Jones","Harrell, Terry, Brewer, Harden, Jones",1626149-1891-201147-201935-203093,HOU,291.0,2,5.0,-5.0,8.0,10.0,18.0,,,1.0,1.0,1.0,12.0,,1.0,,1.0,,2.0,2.0,3.0,5.0,1.0,,3.0,1.0,,8.0,,1.0,1.0,0.6111111111111112,0.6,0.1111111111111111,1.0,0.6,1.0,89.07216494845362,15.0,17.1,14.875,14.4,,,,,0.1111111111111111,0.5555555555555556,0.4786444444444445,24.2,3.0,,2.0,4.0,1.0,4.0,8.0,1.0,17.0,2.0,2.0,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,2.0,1.0,3.0,,0.25,0.5,0.5,1.0,0.3333333333333333,,1.0,0.4444444444444444,0.5,0.5,,0.1111111111111111,0.46849999999999997,0.1,0.1111111111111111,6.4125,0.375,,1.0,,2.0,2.0,2.0,,,1.0,2.0,2.0,4.0,1.0,,5.0,6.0,4.0,2.0,,2.0,,5.0,1.0,0.5,1.0,0.8333333333333334,1.0,0.8333333333333334,,0.5,0.5,0.5,,,1.0,1.0,1.0,1.0,,,0.59735,0.3333333333333333,0.4166666666666667,3.0,,,0.5,1.0,0.3333333333333333,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,,,1.0,,,0.3333333333333333,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
