EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,OffRebounds,Rebounds,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG3A,FtPoints,SecondChanceFG3A,NonHeaveArc3FGA,Fg2aBlocked,DefThreePtRebounds,DefRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,BlockingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,Arc3Frequency,SecondChanceArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,LongMidRangeFGM,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,DefTwoPtReboundPct,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimAssists,2pt And 1 Free Throw Trips,AtRimPctAssisted,Corner3FGM,Corner3FGA,Arc3FGM,SecondChanceArc3FGM,FG3M,SecondChanceFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,DeadBallTurnovers,Technical Free Throw Trips,Blocked3s,BlockedCorner3,RecoveredBlocks,BlocksRecoveredPct,ShortMidRangePctBlocked,DefShortMidRangeReboundPct,PtsUnassisted3s,BlockingFoulsDrawn,PenaltyArc3FGA,PenaltyFG3A,Steals,LostBallSteals,PenaltyTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,PenaltyArc3Frequency,SecondChanceFtPoints,HeaveAttempts,OffThreePtRebounds,BadPassSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,BlockedAtRim,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,SelfOReb,Travels,NonShootingFoulsDrawn,DefAtRimReboundPct,SelfORebPct,FTOffRebounds,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,OffFTReboundPct,Offensive Fouls,SecondChanceCorner3FGM,SecondChanceCorner3FGA,3SecondViolations,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyFtPoints,NonShootingPenaltyNonTakeFoulsDrawn,FTDefRebounds,Charge Fouls Drawn,DefFTReboundPct,Charge Fouls,OffCorner3ReboundPct,PenaltyCorner3FGM,PenaltyCorner3FGA,ThreePtShootingFoulsDrawn,BlockedArc3,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,Defensive 3 Seconds Violations,BlockedLongMidRange,LongMidRangePctBlocked,OffensiveGoaltends,Clear Path Fouls,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101112-201567-202681-202697-203521,1610612739,"Channing Frye, Kevin Love, Kyrie Irving, Iman Shumpert, Matthew Dellavedova","Frye, Love, Irving, Shumpert, Dellavedova",101112-201567-202681-202697-203521,CLE,109.0,1,2.0,-4.0,4.0,4.0,4.0,4.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,5.0,4.0,8.0,1.0,1.0,2.0,2.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,0.4,1.0,0.4,0.4,1.0,0.4,0.4,1.0,0.4,0.3333333333333333,0.3333333333333333,0.5,105.68807339449542,16.25,11.0,16.25,11.0,0.4,0.5,0.5,0.6,0.3333333333333333,0.3333333333333333,1.0,1.0,0.4,0.5,0.4,0.49806,0.6309,0.49806,0.5,1.0,4.16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,True
101112-201567-202681-203521-2210,1610612739,"Channing Frye, Kevin Love, Kyrie Irving, Matthew Dellavedova, Richard Jefferson","Frye, Love, Irving, Dellavedova, Jefferson",101112-201567-202681-203521-2210,CLE,326.0,2,5.0,-16.0,11.0,10.0,,,1.0,21.0,,2.0,,,,,,2.0,,7.0,1.0,17.0,,,,,,,,,1.0,1.0,4.0,1.0,,,,,,,,,0.045454545454545456,,,0.14285714285714285,0.1,,92.76073619631902,15.818181818181818,15.2,14.727272727272727,13.7,0.2,,,0.2,,,,,,,0.5,0.46832,0.5466,,,,10.728571428571428,,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.3,0.14285714285714285,0.5,1.0,0.75,0.42857142857142855,0.3333333333333333,1.0,0.5,0.3,0.3,1.0,0.09090909090909091,0.125,25.333333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,True
101112-201567-202681-203521-2544,1610612739,"Channing Frye, Kevin Love, Kyrie Irving, Matthew Dellavedova, LeBron James","Frye, Love, Irving, Dellavedova, James",101112-201567-202681-203521-2544,CLE,64.0,1,1.0,4.0,2.0,2.0,2.0,2.0,,4.0,,,,,,,1.0,1.0,2.0,2.0,4.0,,,,,2.0,2.0,4.0,2.0,,,,1.0,4.0,4.0,2.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,90.0,17.0,15.0,17.0,15.0,,,,0.5,1.0,1.0,,,,,,0.3992,,0.3992,,1.0,11.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,0.5,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,True
101112-201567-202681-203521-2747,1610612739,"Channing Frye, Kevin Love, Kyrie Irving, Matthew Dellavedova, JR Smith","Frye, Love, Irving, Dellavedova, Smith",101112-201567-202681-203521-2747,CLE,18.0,1,,3.0,1.0,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,3.0,,,,,,,,,,,,,3.0,,,1.0,,,1.0,,,1.5,,,,,,80.0,18.0,,18.0,,1.0,1.0,1.0,,,,,,,,1.0,0.3482,,,,,3.8,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,1.0,1.0,,2.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,True
101112-201567-202681-2210-2544,1610612739,"Channing Frye, Kevin Love, Kyrie Irving, Richard Jefferson, LeBron James","Frye, Love, Irving, Jefferson, James",101112-201567-202681-2210-2544,CLE,283.0,1,5.0,,9.0,8.0,,,2.0,17.0,1.0,1.0,,,,,1.0,1.0,2.0,5.0,13.0,13.0,,1.0,3.0,,,,,,1.0,1.0,3.0,10.0,,,0.4,,,0.8125,0.75,,0.8125,0.75,,0.3333333333333333,0.3333333333333333,,86.5017667844523,17.22222222222222,16.0,15.0,16.0,0.125,1.0,1.0,0.125,1.0,1.0,,,,,0.5,0.49109375,0.435875,,0.23076923076923078,,12.9,,3.0,1.0,1.0,3.0,,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,,,1.0,,,,,,,0.375,,,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.375,0.125,0.5,,,24.066666666666666,,4.0,2.0,5.0,,13.0,,1.0,1.0,,,,,,1.0,,1.0,2.0,2.0,1.0,1.0,3.0,1.0,9.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,True
101112-201567-202681-2544-2747,1610612739,"Channing Frye, Kevin Love, Kyrie Irving, LeBron James, JR Smith","Frye, Love, Irving, James, Smith",101112-201567-202681-2544-2747,CLE,176.0,1,3.0,1.0,5.0,4.0,,,,9.0,1.0,1.0,,,,,,1.0,1.0,2.0,6.0,5.0,,,,,,,2.0,,1.0,1.0,3.0,6.0,,,0.5,,,0.625,,,0.625,,,1.0,0.5,1.0,73.63636363636364,20.8,18.0,20.8,16.75,0.25,1.0,1.0,0.25,,,,,,,0.75,0.5337,,,,,4.6,,,1.0,,2.0,1.0,,1.0,,1.0,2.0,1.0,1.0,2.0,,,1.0,,1.0,,,,1.0,0.5,,,0.5,0.5,0.6666666666666666,,,1.0,,0.25,,,,23.9,,,,1.0,,3.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,,3.0,,1.0,,1.0,,1.0,0.5,,0.5,,0.25,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,True
101112-201567-202697-203521-2544,1610612739,"Channing Frye, Kevin Love, Iman Shumpert, Matthew Dellavedova, LeBron James","Frye, Love, Shumpert, Dellavedova, James",101112-201567-202697-203521-2544,CLE,227.0,1,4.0,-5.0,7.0,7.0,,5.0,,14.0,1.0,1.0,,,,,1.0,3.0,2.0,6.0,4.0,9.0,,,,,,,2.0,,,,3.0,4.0,,,0.3333333333333333,,,0.2857142857142857,,,0.2857142857142857,,,,,,88.81057268722468,14.0,18.428571428571427,14.0,16.571428571428573,0.14285714285714285,1.0,1.0,0.42857142857142855,0.3333333333333333,1.0,,,,,0.2857142857142857,0.48285,,,,,9.416666666666666,,2.0,1.0,,1.0,,,1.0,2.0,1.0,3.0,,,,1.0,,3.0,,,,,,,0.14285714285714285,0.3333333333333333,,,0.5,0.75,,1.0,,0.2857142857142857,0.14285714285714285,,,,24.5,,2.0,1.0,1.0,,2.0,2.0,0.5,0.5,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,True
101112-201567-203521-2210-2747,1610612739,"Channing Frye, Kevin Love, Matthew Dellavedova, Richard Jefferson, JR Smith","Frye, Love, Dellavedova, Jefferson, Smith",101112-201567-203521-2210-2747,CLE,132.0,1,2.0,,5.0,5.0,,1.0,,10.0,,,,,,,,1.0,,1.0,7.0,7.0,,,,,,,,,,,1.0,7.0,,,,,,0.75,,,0.7,,,,,,109.09090909090908,16.6,9.8,16.6,9.8,,,,0.25,,,,,,,0.75,0.48255,,,,,9.3,,,3.0,,3.0,1.0,,3.0,,,1.0,,,,,,2.0,1.0,2.0,1.0,,,,0.75,,,,,1.0,,,,,0.75,,0.2,0.5,25.03333333333333,,,,1.0,,3.0,1.0,,,1.0,1.0,,,,,,,,,2.0,,2.0,,3.0,2.0,1.0,1.0,,,0.5,0.6666666666666666,,0.6666666666666666,,,,,,0.6666666666666666,0.6666666666666666,0.5,,,0.6666666666666666,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,True
101112-201567-203521-2544-2747,1610612739,"Channing Frye, Kevin Love, Matthew Dellavedova, LeBron James, JR Smith","Frye, Love, Dellavedova, James, Smith",101112-201567-203521-2544-2747,CLE,418.0,4,7.0,3.0,14.0,15.0,4.0,5.0,2.0,29.0,4.0,4.0,,,2.0,2.0,1.0,2.0,6.0,8.0,20.0,17.0,,,3.0,2.0,3.0,4.0,4.0,,1.0,1.0,5.0,17.0,4.0,4.0,0.75,,0.6666666666666666,0.6428571428571429,0.75,0.5,0.6785714285714286,0.75,0.5,0.5,0.16666666666666666,,99.90430622009569,16.142857142857142,12.8,14.785714285714286,12.8,0.2857142857142857,1.0,1.0,0.14285714285714285,0.5,0.5,,,0.5,1.0,0.7142857142857143,0.5236107142857143,0.538725,0.4922625,0.15,0.2,7.6375,0.2857142857142857,2.0,4.0,2.0,6.0,2.0,2.0,4.0,,3.0,4.0,1.0,1.0,1.0,1.0,,2.0,4.0,2.0,1.0,,,,0.42857142857142855,,,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.2857142857142857,1.0,0.07142857142857142,0.125,24.71666666666667,1.0,8.0,4.0,5.0,,11.0,1.0,0.6666666666666666,0.6666666666666666,1.0,,0.5,0.5,,3.0,1.0,0.75,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,,1.0,1.0,0.5,0.3333333333333333,0.5,0.3333333333333333,1.0,0.14285714285714285,0.5,0.5,1.0,0.25,0.25,,0.5,,0.25,,1.0,,,,,,1.0,3.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,True
101112-201619-203895-2563-2592,1610612739,"Channing Frye, Sasha Kaun, Jordan McRae, Dahntay Jones, James Jones","Frye, Kaun, McRae, Jones, Jones",101112-201619-203895-2563-2592,CLE,571.0,1,10.0,-3.0,18.0,19.0,2.0,,3.0,37.0,2.0,6.0,1.0,2.0,,1.0,1.0,4.0,5.0,13.0,16.0,19.0,1.0,2.0,4.0,,1.0,,2.0,,3.0,4.0,14.0,12.0,,2.0,0.38461538461538464,0.5,,0.3333333333333333,0.5,,0.42105263157894735,0.6666666666666666,,0.375,0.4444444444444444,,93.30998248686514,13.5,17.263157894736842,12.444444444444445,15.157894736842104,0.4,0.3333333333333333,0.6666666666666666,0.26666666666666666,0.25,0.25,1.0,0.5,0.5,,0.5333333333333333,0.5332428571428571,0.7171,0.6683,0.25,,7.3307692307692305,0.1111111111111111,3.0,2.0,,2.0,6.0,,1.0,3.0,4.0,10.0,3.0,1.0,4.0,3.0,,6.0,5.0,8.0,4.0,4.0,2.0,4.0,0.13333333333333333,0.23076923076923078,0.5,0.75,1.0,0.6666666666666666,,1.0,,0.2,0.13333333333333333,,0.21052631578947367,0.23529411764705882,42.15,2.0,8.0,4.0,4.0,1.0,8.0,6.0,0.8,0.8,0.5454545454545454,1.0,0.6666666666666666,0.6666666666666666,0.5,2.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,0.25,,0.5,,,1.0,1.0,1.0,,1.0,,,0.5,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.75,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,True
