EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG3A,PtsUnassisted2s,NonHeaveArc3FGA,DefThreePtRebounds,DefRebounds,Rebounds,FoulsDrawn,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Fg2Pct,EfgPct,TsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,Arc3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,ShortMidRangeFGA,SecondChanceFG2A,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceCorner3FGA,ShootingFouls,Fouls,SecondChanceCorner3Frequency,PenaltyArc3FGA,FtPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,FTDefRebounds,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,DefFTReboundPct,AtRimPctAssisted,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyDefPoss,LongMidRangeFGM,LongMidRangeFGA,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,LongMidRangeAssists,BlockedShortMidRange,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyTsPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyPointsPct,ShortMidRangeFGM,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG2M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,SelfOReb,Steals,BadPassSteals,LostBallTurnovers,Loose Ball Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Loose Ball Fouls Drawn,PenaltyAtRimFGA,SecondChanceFtPoints,ShortMidRangePctBlocked,OffCorner3ReboundPct,PenaltyAtRimFrequency,Corner3FGM,Corner3Assists,DeadBallTurnovers,SecondChanceTurnovers,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Offensive Fouls,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,LostBallSteals,PenaltyAtRimFGM,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,Charge Fouls,SecondChanceFg3Pct,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,PenaltyCorner3FGM,Travels,PenaltyCorner3Accuracy,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,Fg3aBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,OffLongMidRangeReboundPct,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
1626220-1627777-1628378-200757-202324,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Thabo Sefolosha, Derrick Favors","O'Neale, Niang, Mitchell, Sefolosha, Favors",1626220-1627777-1628378-200757-202324,UTA,114.0,1,2.0,-3.0,4.0,4.0,1.0,1.0,8,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.25,0.25,0.75,1.0,0.5,1.0,101.05263157894737,17.0,11.5,13.25,11.0,0.25,1.0,1.0,0.25,0.5,1.0,1.0,1.0,0.5546875,0.42855,0.51855,1.7,25.8,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,False
1626220-1627777-1628378-200757-203497,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Thabo Sefolosha, Rudy Gobert","O'Neale, Niang, Mitchell, Sefolosha, Gobert",1626220-1627777-1628378-200757-203497,UTA,34.0,1,1.0,,,1.0,,,1,,1.0,,,,,,2.0,,,,,,,,,1.0,3.0,,,,,,,,,,,,,1.0,,42.35294117647059,,17.0,,17.0,0.5,,,,,,,0.5,0.3866,0.3535,,7.85,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,False
1626220-1627777-1628378-202324-203526,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Derrick Favors, Raul Neto","O'Neale, Niang, Mitchell, Favors, Neto",1626220-1627777-1628378-202324-203526,UTA,68.0,1,1.0,-5.0,3.0,3.0,,1.0,6,,,2.0,,1.0,,,,3.0,,5.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,127.05882352941177,14.333333333333334,8.333333333333334,13.0,8.333333333333334,,,,0.6666666666666666,0.3333333333333333,,,1.0,0.4958,0.41325,,,23.7,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,False
1626220-1627777-1628378-202324-204060,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Derrick Favors, Joe Ingles","O'Neale, Niang, Mitchell, Favors, Ingles",1626220-1627777-1628378-202324-204060,UTA,39.0,1,1.0,3.0,3.0,3.0,1.0,,6,1.0,2.0,,,1.0,,1.0,2.0,1.0,3.0,,,1.0,,1.0,1.0,2.0,2.0,1.0,,,,,3.0,1.0,0.5,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,1.0,221.53846153846152,7.333333333333333,5.666666666666667,7.333333333333333,5.666666666666667,0.6666666666666666,0.5,1.0,,0.3333333333333333,,,1.0,0.4666166666666667,,0.36525,2.55,26.3,0.3333333333333333,,,,1.0,,,,0.5,0.5,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,False
1626220-1627777-1628378-202324-2594,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Derrick Favors, Kyle Korver","O'Neale, Niang, Mitchell, Favors, Korver",1626220-1627777-1628378-202324-2594,UTA,162.0,1,3.0,-5.0,5.0,6.0,1.0,1.0,11,2.0,4.0,1.0,,1.0,,2.0,4.0,2.0,4.0,9.0,,,4.0,1.0,1.0,2.0,4.0,,,,,,2.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,,97.77777777777777,17.8,12.166666666666666,17.8,11.0,0.6666666666666666,0.5,1.0,0.16666666666666666,0.16666666666666666,,,1.0,0.5228166666666666,,,2.175,24.3,0.2,1.0,,1.0,2.0,1.0,1.0,2.0,0.5,0.5,1.0,0.5,0.5,0.5,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,False
1626220-1627777-1628378-203497-2594,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Rudy Gobert, Kyle Korver","O'Neale, Niang, Mitchell, Gobert, Korver",1626220-1627777-1628378-203497-2594,UTA,116.0,1,2.0,4.0,6.0,5.0,4.0,1.0,11,,,1.0,1.0,,,1.0,2.0,1.0,5.0,1.0,,1.0,,,2.0,4.0,4.0,2.0,,2.0,,2.0,3.0,4.0,0.5,0.3333333333333333,0.5,0.3333333333333333,1.0,0.8,1.0,136.55172413793105,6.166666666666667,15.8,6.0,15.8,,,,0.3333333333333333,,,0.5,0.3333333333333333,0.45966666666666667,0.3225,0.52825,19.1,23.2,0.6666666666666666,,,1.0,,,2.0,,,,0.6666666666666666,,,,,1.0,,,,,1.0,,,3.0,2.0,1.0,1.0,,2.0,,4.0,,2.0,1.0,1.0,,,,0.4,0.5,,1.0,2.0,,,,,,,1.0,1.0,1.0,,,,,1.0,,0.4,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.3333333333333333,0.5,0.5,0.6666666666666666,0.5,0.5,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,False
1626220-1627777-201937-202324-204060,1610612762,"Royce O'Neale, Georges Niang, Ricky Rubio, Derrick Favors, Joe Ingles","O'Neale, Niang, Rubio, Favors, Ingles",1626220-1627777-201937-202324-204060,UTA,270.0,2,4.0,2.0,8.0,9.0,4.0,1.0,17,1.0,4.0,,,1.0,,3.0,6.0,1.0,10.0,8.0,,1.0,,1.0,1.0,4.0,6.0,2.0,,,,,10.0,4.0,0.5,0.6428571428571429,0.625,0.14285714285714285,0.5,0.75,0.5,90.66666666666667,14.625,17.0,13.5,16.11111111111111,0.5714285714285714,0.25,0.3333333333333333,,0.14285714285714285,,,0.7142857142857143,0.4660357142857143,0.43095,0.452975,4.1000000000000005,25.8,0.5,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.16666666666666666,0.25,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1.0,0.2857142857142857,1.0,,3.0,6.0,,1.0,1.0,6.0,3.0,4.0,1.0,9.0,1.0,2.0,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,2.0,1.0,2.0,1.0,,,,1.0,,,,,,,1.0,,,1.0,1.0,6.0,,,,6.0,,1.0,1.0,,,,,,0.6,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,False
1626220-1627777-201937-202324-2594,1610612762,"Royce O'Neale, Georges Niang, Ricky Rubio, Derrick Favors, Kyle Korver","O'Neale, Niang, Rubio, Favors, Korver",1626220-1627777-201937-202324-2594,UTA,61.0,2,1.0,-2.0,1.0,3.0,1.0,,4,,1.0,,,,,,1.0,,,2.0,,,,,1.0,1.0,2.0,,,,,,,1.0,,,,,1.0,1.0,1.0,94.42622950819673,33.0,9.333333333333334,33.0,9.333333333333334,1.0,,,,,,,1.0,0.3879,,,3.4,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,False
1626220-1627777-201937-203109-203497,1610612762,"Royce O'Neale, Georges Niang, Ricky Rubio, Jae Crowder, Rudy Gobert","O'Neale, Niang, Rubio, Crowder, Gobert",1626220-1627777-201937-203109-203497,UTA,138.0,1,2.0,8.0,5.0,4.0,,,9,2.0,3.0,,,,,2.0,3.0,,8.0,,,,2.0,,1.0,3.0,3.0,3.0,,,,,8.0,,0.6666666666666666,0.6666666666666666,0.8,,1.0,1.0,1.0,93.91304347826087,15.2,15.5,15.2,15.5,1.0,0.6666666666666666,0.6666666666666666,,,,,1.0,0.4563333333333333,,,2.566666666666667,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,4.0,2.0,1.0,1.0,1.0,2.0,,4.0,,2.0,0.5,0.5,,0.5,,0.4,0.4,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,False
1626220-1627777-202324-204060-2594,1610612762,"Royce O'Neale, Georges Niang, Derrick Favors, Joe Ingles, Kyle Korver","O'Neale, Niang, Favors, Ingles, Korver",1626220-1627777-202324-204060-2594,UTA,90.0,2,2.0,,4.0,3.0,2.0,1.0,7,,1.0,2.0,2.0,1.0,,,2.0,3.0,1.0,1.0,,2.0,,1.0,,2.0,3.0,1.0,,2.0,1.0,2.0,,2.0,,,0.08333333333333333,0.6,,0.5,,112.0,16.0,8.666666666666666,14.25,7.0,0.2,,,0.4,0.2,,0.6666666666666666,0.8,0.54228,0.3815,0.5785333333333333,3.5,24.233333333333334,0.5,,1.0,1.0,1.0,,1.0,1.0,0.5,,0.5,,0.2,,,1.0,0.2,,,,1.0,,,1.0,,,,,,1.0,2.0,,1.0,,,1.0,,,0.16666666666666666,0.3333333333333333,,,1.0,,1.0,,,,,,,0.25,,0.3333333333333333,,,,,1.0,3.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.125,,0.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,False
