EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,DefThreePtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,FoulsDrawn,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,FTA,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,LostBallTurnovers,PenaltyTurnovers,ShootingFouls,Charge Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeAssists,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3FGM,FG3M,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,Offensive Fouls Drawn,Technical Free Throw Trips,LongMidRangeFGM,PenaltyCorner3FGA,PtsAssisted3s,ThreePtAssists,Arc3Assists,LongMidRangeAssists,SelfOReb,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Blocked2s,BlockedShortMidRange,Blocks,Assisted3sPct,DefShortMidRangeReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3PctAssisted,PenaltyCorner3Frequency,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,HeaveAttempts,Corner3Assists,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,BlockedAtRim,RecoveredBlocks,SecondChanceFg3Pct,PenaltyFg3Pct,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Travels,OffCorner3ReboundPct,BlockedLongMidRange,3SecondViolations,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,FTOffRebounds,OffFTReboundPct,OffensiveGoaltends,Defensive 3 Seconds Violations,Clear Path Fouls,LongMidRangePctBlocked,BlockedCorner3,Corner3PctBlocked,team_id,year,season,team_vs
1626156-1626178-1626203-1627747-203925,1610612751,"D'Angelo Russell, Rondae Hollis-Jefferson, Treveon Graham, Caris LeVert, Joe Harris","Russell, Hollis-Jefferson, Graham, LeVert, Harris",1626156-1626178-1626203-1627747-203925,BKN,42.0,1,1.0,-2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,137.14285714285714,13.5,7.5,13.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2019,2018-19,True
1626156-1626178-1626203-1628386-203894,1610612751,"D'Angelo Russell, Rondae Hollis-Jefferson, Treveon Graham, Jarrett Allen, Shabazz Napier","Russell, Hollis-Jefferson, Graham, Allen, Napier",1626156-1626178-1626203-1628386-203894,BKN,9.0,1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2019,2018-19,True
1626156-1626178-1626203-1629066-201162,1610612751,"D'Angelo Russell, Rondae Hollis-Jefferson, Treveon Graham, Rodions Kurucs, Jared Dudley","Russell, Hollis-Jefferson, Graham, Kurucs, Dudley",1626156-1626178-1626203-1629066-201162,BKN,591.0,3,10.0,-16.0,24.0,22.0,22.0,46.0,34.0,2.0,7.0,10.0,5.0,4.0,1.0,6.0,5.0,,7.0,0.8333333333333334,1.0,1.0,1.0,112.08121827411168,16.083333333333332,9.318181818181818,15.625,9.318181818181818,9.0,3.0,0.15789473684210525,0.21428571428571427,10.0,3.0,5.0,6.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,4.0,1.0,5.0,12.0,5.0,8.0,18.0,3.0,3.0,1.0,7.0,2.0,5.0,1.0,5.0,9.0,4.0,6.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,11.0,9.0,10.0,2.0,0.4,0.6666666666666666,0.4166666666666667,1.0,0.4,0.29411764705882354,1.0,0.3333333333333333,0.42857142857142855,1.1666666666666667,0.5,0.29411764705882354,1.0,1.0,0.14285714285714285,0.4,0.25,0.3333333333333333,0.5,1.0,1.0,0.35294117647058826,0.8333333333333334,0.8333333333333334,0.4,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.23529411764705882,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.6470588235294118,0.5133411764705883,0.54315,0.5026583333333333,0.3888888888888889,0.5,6.908333333333334,24.94,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2019,2018-19,True
1626156-1626178-1626203-1629066-203925,1610612751,"D'Angelo Russell, Rondae Hollis-Jefferson, Treveon Graham, Rodions Kurucs, Joe Harris","Russell, Hollis-Jefferson, Graham, Kurucs, Harris",1626156-1626178-1626203-1629066-203925,BKN,55.0,1,1.0,-1.0,3.0,2.0,2.0,5.0,3.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,130.9090909090909,13.333333333333334,7.5,13.333333333333334,7.5,,,,,,,,1.0,,,,,2.0,,,,,1.0,3.0,,,2.0,,,,,,,,,,2.0,,,,1.0,1.0,,2.0,,,,,,,,,,,1.0,,,,,2.0,,,,1.0,1.0,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,,,,,,,,,,0.3333333333333333,,,,0.6666666666666666,,,,,,,,,,0.3333333333333333,0.4916666666666667,,,,,6.3,,,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2019,2018-19,True
1626156-1626178-1626203-201960-203894,1610612751,"D'Angelo Russell, Rondae Hollis-Jefferson, Treveon Graham, DeMarre Carroll, Shabazz Napier","Russell, Hollis-Jefferson, Graham, Carroll, Napier",1626156-1626178-1626203-201960-203894,BKN,209.0,2,3.0,-5.0,7.0,8.0,4.0,15.0,14.0,2.0,2.0,3.0,1.0,,1.0,2.0,2.0,1.0,,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,103.34928229665071,14.0,13.875,14.0,12.25,,,,,4.0,,3.0,4.0,,,2.0,2.0,,,,2.0,1.0,3.0,4.0,2.0,,9.0,,,,,2.0,2.0,1.0,,4.0,2.0,4.0,,2.0,1.0,1.0,1.0,2.0,,1.0,,,1.0,,,,1.0,1.0,,,,,,9.0,4.0,4.0,,0.3333333333333333,0.3333333333333333,0.75,,1.0,0.75,,0.6666666666666666,0.75,,0.6666666666666666,0.3333333333333333,,,1.0,,0.5,,,,,0.6666666666666666,0.75,1.0,0.3333333333333333,,,,0.3333333333333333,,,,0.6666666666666666,1.0,0.3333333333333333,1.0,0.5905833333333333,,0.61925,,0.4444444444444444,1.525,25.25,0.5714285714285714,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,0.25,0.25,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2019,2018-19,True
1626156-1626178-1626203-201960-203925,1610612751,"D'Angelo Russell, Rondae Hollis-Jefferson, Treveon Graham, DeMarre Carroll, Joe Harris","Russell, Hollis-Jefferson, Graham, Carroll, Harris",1626156-1626178-1626203-201960-203925,BKN,28.0,1,,3.0,1.0,1.0,,2.0,,,,,,,,,,,1.0,,,,,102.85714285714286,14.0,14.0,14.0,14.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.4501,,,,,9.9,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2019,2018-19,True
1626156-1626178-1626203-203459-203925,1610612751,"D'Angelo Russell, Rondae Hollis-Jefferson, Treveon Graham, Allen Crabbe, Joe Harris","Russell, Hollis-Jefferson, Graham, Crabbe, Harris",1626156-1626178-1626203-203459-203925,BKN,30.0,1,,,1.0,1.0,,2.0,,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,96.0,5.0,25.0,5.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2019,2018-19,True
1626156-1626178-1627747-1628386-203459,1610612751,"D'Angelo Russell, Rondae Hollis-Jefferson, Caris LeVert, Jarrett Allen, Allen Crabbe","Russell, Hollis-Jefferson, LeVert, Allen, Crabbe",1626156-1626178-1627747-1628386-203459,BKN,721.0,6,12.0,-8.0,24.0,27.0,,51.0,33.0,5.0,11.0,16.0,3.0,2.0,1.0,4.0,5.0,,3.0,0.75,0.8333333333333334,0.6923076923076923,0.8333333333333334,101.85852981969487,14.666666666666666,13.666666666666666,13.875,12.74074074074074,2.0,1.0,0.041666666666666664,0.05,2.0,5.0,4.0,12.0,2.0,3.0,,1.0,3.0,4.0,1.0,3.0,,7.0,19.0,4.0,2.0,25.0,2.0,3.0,2.0,6.0,,1.0,1.0,,,4.0,10.0,2.0,3.0,2.0,5.0,1.0,13.0,,5.0,4.0,2.0,5.0,1.0,,1.0,1.0,,4.0,,,,,19.0,,2.0,,0.2857142857142857,0.3333333333333333,0.3684210526315789,0.6666666666666666,,0.5,0.6666666666666666,,0.5208333333333334,0.75,,0.17391304347826086,1.0,0.5714285714285714,0.4166666666666667,,0.38461538461538464,1.0,,,0.6666666666666666,0.5217391304347826,0.3333333333333333,0.3333333333333333,0.25,0.13043478260869565,0.17391304347826086,0.043478260869565216,0.13043478260869565,1.0,0.6666666666666666,,0.5,,,0.6956521739130435,0.5366652173913043,0.6333,0.5689,0.24,,6.421052631578948,25.15,0.08333333333333333,2.0,,0.6666666666666666,0.6666666666666666,,3.0,3.0,,3.0,,,,0.75,0.75,,,0.5,1.0,1.0,1.0,,,1.0,1.0,9.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.23076923076923078,0.25,0.25,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2019,2018-19,True
1626156-1626178-1627747-1628386-203915,1610612751,"D'Angelo Russell, Rondae Hollis-Jefferson, Caris LeVert, Jarrett Allen, Spencer Dinwiddie","Russell, Hollis-Jefferson, LeVert, Allen, Dinwiddie",1626156-1626178-1627747-1628386-203915,BKN,1680.0,9,28.0,20.0,63.0,61.0,45.0,124.0,60.0,10.0,23.0,36.0,3.0,2.0,5.0,8.0,11.0,2.0,7.0,0.375,1.0,1.0,1.0,106.28571428571429,12.063492063492063,15.081967213114755,11.380952380952381,14.885245901639344,12.0,3.0,0.058823529411764705,0.06976744186046512,26.0,13.0,9.0,20.0,4.0,4.0,3.0,6.0,10.0,10.0,4.0,20.0,6.0,17.0,40.0,24.0,10.0,80.0,5.0,7.0,2.0,24.0,9.0,13.0,8.0,9.0,39.0,14.0,20.0,2.0,18.0,7.0,16.0,5.0,41.0,3.0,10.0,11.0,2.0,13.0,9.0,6.0,3.0,1.0,4.0,7.0,,1.0,,2.0,56.0,39.0,26.0,2.0,0.4117647058823529,0.4375,0.425,0.7142857142857143,0.6923076923076923,0.546875,0.9166666666666666,0.7142857142857143,0.5714285714285714,0.9230769230769231,0.78,0.375,1.0,1.0,0.45454545454545453,0.3333333333333333,0.41935483870967744,0.2857142857142857,0.375,1.0,1.0,0.3125,0.45,0.6428571428571429,0.5555555555555556,0.15625,0.15625,0.0625,0.3125,0.3333333333333333,1.0,0.25,0.2857142857142857,0.5,0.2857142857142857,0.6875,0.5154298387096774,0.5420555555555555,0.49987857142857145,0.3,0.4875,7.922499999999999,26.708333333333332,0.4126984126984127,2.0,,0.2,0.2222222222222222,,9.0,12.0,9.0,9.0,7.0,,1.0,0.5,0.5454545454545454,0.175,0.3,0.5454545454545454,0.45,0.45,0.5,,,6.0,2.0,27.0,9.0,7.0,2.0,2.0,1.0,,4.0,2.0,4.0,0.75,1.0,0.08333333333333333,0.6,0.6,0.3333333333333333,0.7777777777777778,0.09523809523809523,3.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,0.8,0.5,0.1,0.5,1.0,0.75,0.75,0.75,0.6666666666666666,0.08333333333333333,1.0,1.0,0.3333333333333333,0.75,1.0,0.5,0.5,0.04,,,,,,,,,,,,,,,,,,,,,1610612751,2019,2018-19,True
1626156-1626178-1627747-1628386-203925,1610612751,"D'Angelo Russell, Rondae Hollis-Jefferson, Caris LeVert, Jarrett Allen, Joe Harris","Russell, Hollis-Jefferson, LeVert, Allen, Harris",1626156-1626178-1627747-1628386-203925,BKN,1340.0,7,22.0,3.0,48.0,48.0,9.0,96.0,49.0,10.0,20.0,24.0,2.0,1.0,5.0,7.0,11.0,1.0,7.0,0.2857142857142857,0.8333333333333334,0.8181818181818182,0.7777777777777778,103.16417910447761,14.270833333333334,13.645833333333334,14.020833333333334,13.3125,11.0,6.0,0.1276595744680851,0.16666666666666666,17.0,5.0,7.0,12.0,3.0,3.0,3.0,4.0,6.0,13.0,2.0,9.0,4.0,16.0,31.0,11.0,8.0,52.0,4.0,4.0,,11.0,6.0,11.0,5.0,4.0,19.0,20.0,12.0,6.0,9.0,10.0,14.0,4.0,32.0,1.0,3.0,8.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,5.0,,,1.0,,41.0,19.0,17.0,,0.625,0.7692307692307693,0.5161290322580645,1.0,0.5454545454545454,0.5238095238095238,1.1,0.46875,0.5531914893617021,1.1,0.5277777777777778,0.2619047619047619,1.0,0.8,0.21428571428571427,0.14285714285714285,0.19047619047619047,,,0.8,0.5,0.2857142857142857,0.5833333333333334,0.7777777777777778,0.5714285714285714,0.14285714285714285,0.30952380952380953,0.047619047619047616,0.21428571428571427,0.6,1.0,,0.25,0.75,0.25,0.5476190476190477,0.500995238095238,0.512425,0.501975,0.21153846153846154,0.36538461538461536,10.787096774193548,25.681818181818183,0.3541666666666667,3.0,3.0,0.5,0.5,1.0,4.0,4.0,,4.0,3.0,,,0.36363636363636365,0.36363636363636365,0.0967741935483871,0.25,0.25,0.4444444444444444,0.4444444444444444,0.4444444444444444,,,6.0,1.0,12.0,4.0,4.0,3.0,,,,1.0,1.0,1.0,1.0,1.0,,0.46153846153846156,0.46153846153846156,0.5,1.0,0.0625,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,0.2,,0.2857142857142857,1.0,1.0,,,,,,,0.2,1.0,1.0,,0.25,,2.0,0.5,,,,,,,,,,,,,,,,,,,1610612751,2019,2018-19,True
