EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,2pt And 1 Free Throw Trips,BlockedCorner3,AtRimPctBlocked,Corner3FGM,SecondChanceFtPoints,Corner3Assists,FTOffRebounds,StepOutOfBoundsTurnovers,Travels,Defensive 3 Seconds Violations,OffFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGA,NonShootingPenaltyNonTakeFouls,PenaltyCorner3Frequency,OffLongMidRangeReboundPct,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,Technical Free Throw Trips,PenaltyCorner3Accuracy,Fg3aBlocked,OffensiveGoaltends,FG3APctBlocked,Corner3PctBlocked,Transition Take Fouls Drawn,DefensiveGoaltends,Arc3PctBlocked,3pt And 1 Free Throw Trips,BlockedLongMidRange,LongMidRangePctBlocked,Transition Take Fouls,team_id,year,season,team_vs
1628389-1628997-1629130-1629216-1629622,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Gabe Vincent, Max Strus","Adebayo, Martin, Robinson, Vincent, Strus",1628389-1628997-1629130-1629216-1629622,MIA,2639.0,7,44.0,5.0,86.0,83.0,12.0,10.0,10.0,169.0,11.0,15.0,1.0,4.0,1.0,1.0,9.0,18.0,4.0,9.0,5.0,1.0,9.0,32.0,2.0,4.0,3.0,6.0,24.0,42.0,9.0,37.0,15.0,90.0,85.0,1.0,6.0,2.0,5.0,8.0,2.0,4.0,3.0,6.0,2.0,15.0,34.0,14.0,21.0,6.0,2.0,1.0,31.0,9.0,1.0,17.0,7.0,24.0,7.0,9.0,5.0,3.0,55.0,8.0,3.0,17.0,16.0,1.0,34.0,11.0,45.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,8.0,1.0,2.0,12.0,1.0,2.0,9.0,17.0,1.0,1.0,3.0,14.0,2.0,2.0,1.0,17.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,82.0,15.0,12.0,0.7083333333333334,0.7391304347826086,0.7777777777777778,0.24324324324324326,0.4,0.5,0.25,0.5714285714285714,0.16666666666666666,0.5,0.47468354430379744,0.36363636363636365,0.65,0.5232558139534884,0.36363636363636365,0.6818181818181818,0.46835443037974683,0.023809523809523808,0.05555555555555555,0.3333333333333333,0.5,0.8,0.17647058823529413,0.68,0.3076923076923077,0.7333333333333333,0.2558139534883721,0.5,0.125,0.3333333333333333,0.2,1.0,0.6666666666666666,1.0,0.5789473684210527,1.0,0.023255813953488372,92.21674876847291,1.0,14.290697674418604,16.987951807228917,13.511627906976743,16.301204819277107,0.189873417721519,0.7333333333333333,0.7333333333333333,0.8181818181818182,0.22784810126582278,0.5,0.5294117647058824,0.5555555555555556,0.11392405063291139,0.4444444444444444,0.4444444444444444,0.75,0.06329113924050633,0.4050632911392405,0.28125,0.28125,0.7777777777777778,0.36363636363636365,0.25,0.09090909090909091,0.36363636363636365,0.5,1.0,0.1,1.0,0.6,0.5,0.6582278481012658,0.2903225806451613,0.4992121794871795,0.5645625,0.4219555555555556,0.08139534883720931,0.08695652173913043,0.075,0.08888888888888889,0.16666666666666666,7.9714285714285715,27.34864864864865,0.13953488372093023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2023,2022-23,False
1628389-1628997-1629130-1629216-1629639,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Gabe Vincent, Tyler Herro","Adebayo, Martin, Robinson, Vincent, Herro",1628389-1628997-1629130-1629216-1629639,MIA,253.0,1,4.0,4.0,8.0,8.0,,,1.0,16.0,2.0,4.0,1.0,1.0,,,3.0,3.0,,,,,1.0,2.0,,,,,5.0,7.0,1.0,2.0,1.0,14.0,10.0,1.0,1.0,,,2.0,,,,,,,,10.0,3.0,,2.0,,2.0,1.0,1.0,,1.0,1.0,1.0,,,,3.0,,1.0,2.0,,,2.0,1.0,3.0,,2.0,2.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,1.0,,,1.0,,,1.0,1.0,,12.0,,,,,1.0,0.5,,,0.5,0.7142857142857143,1.0,,0.7222222222222222,1.0,,0.7777777777777778,1.0,,0.2222222222222222,0.14285714285714285,,,,,0.5,1.0,,1.0,0.3333333333333333,0.5,,,,,,,1.0,1.0,,91.06719367588933,1.0,15.125,16.5,15.0,14.625,0.4444444444444444,0.5,0.6666666666666666,,0.3333333333333333,1.0,1.0,,,,,,,0.2222222222222222,0.5,0.5,1.0,1.0,1.0,,,,,,,,,0.6666666666666666,0.5,0.556088888888889,0.5296,,0.1111111111111111,0.14285714285714285,,0.14285714285714285,,5.585714285714286,25.35,,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2023,2022-23,False
1628389-1628997-1629130-1629216-200768,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Gabe Vincent, Kyle Lowry","Adebayo, Martin, Robinson, Vincent, Lowry",1628389-1628997-1629130-1629216-200768,MIA,1129.0,5,19.0,7.0,41.0,40.0,9.0,3.0,3.0,81.0,11.0,15.0,1.0,2.0,1.0,1.0,1.0,4.0,,2.0,4.0,,4.0,12.0,1.0,1.0,3.0,5.0,12.0,21.0,6.0,16.0,5.0,47.0,40.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,3.0,5.0,1.0,12.0,12.0,12.0,15.0,3.0,2.0,,12.0,4.0,1.0,6.0,5.0,11.0,3.0,6.0,,,27.0,1.0,2.0,8.0,8.0,,16.0,4.0,20.0,2.0,2.0,2.0,,4.0,,4.0,3.0,,,7.0,,2.0,4.0,7.0,,1.0,1.0,5.0,,,,7.0,5.0,,1.0,1.0,1.0,1.0,2.0,1.0,,41.0,12.0,9.0,0.5,0.5454545454545454,0.8333333333333334,0.375,1.0,0.6,0.375,0.5714285714285714,0.5,0.5,0.5675675675675675,0.8333333333333334,0.7857142857142857,0.6025641025641025,0.75,0.8571428571428571,0.43243243243243246,0.047619047619047616,,0.5714285714285714,,1.0,0.2222222222222222,0.6153846153846154,0.1,0.7619047619047619,0.15789473684210525,0.25,0.3333333333333333,,0.5,1.0,1.0,,0.7272727272727273,,0.1111111111111111,103.31266607617361,0.5,13.439024390243903,14.45,13.146341463414634,13.775,0.40540540540540543,0.7333333333333333,0.7857142857142857,0.5454545454545454,0.10810810810810811,0.25,0.25,,0.05405405405405406,,,,0.10810810810810811,0.32432432432432434,0.3333333333333333,0.3333333333333333,0.75,0.6666666666666666,0.5,,0.3333333333333333,1.0,1.0,0.14285714285714285,1.0,0.7142857142857143,0.6,0.8378378378378378,0.3333333333333333,0.5829743243243243,0.55955,0.5640428571428572,0.1282051282051282,0.21739130434782608,,0.1276595744680851,0.2553191489361702,4.319047619047619,25.69375,0.21951219512195122,3.0,,0.06666666666666667,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2023,2022-23,False
1628389-1628997-1629130-1629216-202710,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Gabe Vincent, Jimmy Butler","Adebayo, Martin, Robinson, Vincent, Butler",1628389-1628997-1629130-1629216-202710,MIA,375.0,6,6.0,-10.0,13.0,12.0,1.0,,,25.0,1.0,1.0,,,,,1.0,2.0,,,2.0,,,3.0,,,,,2.0,3.0,1.0,5.0,2.0,9.0,19.0,,,,,,,,,,1.0,1.0,2.0,2.0,3.0,,,,3.0,,,1.0,1.0,2.0,,1.0,,,5.0,,,1.0,2.0,,3.0,,3.0,,1.0,,1.0,1.0,,1.0,1.0,,,2.0,,,2.0,2.0,,,,3.0,,,,4.0,2.0,,,,,,,,,9.0,1.0,1.0,0.5,0.5,1.0,0.2,,,0.2,0.6666666666666666,,,0.4375,,,0.45,,0.5,0.625,,,0.5,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,1.0,,96.0,,15.76923076923077,14.166666666666666,15.76923076923077,14.166666666666666,0.125,1.0,1.0,1.0,0.25,0.5,0.5,,,,,,0.25,0.375,,,,,,,,,,,,,,0.75,,0.51331875,,,0.2,0.4,,,0.1111111111111111,7.566666666666666,25.139999999999997,0.07692307692307693,,,,1.0,,1.0,,,1.0,,,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2023,2022-23,False
1628389-1628997-1629130-1629312-1629622,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Haywood Highsmith, Max Strus","Adebayo, Martin, Robinson, Highsmith, Strus",1628389-1628997-1629130-1629312-1629622,MIA,156.0,1,3.0,,4.0,4.0,1.0,1.0,,8.0,1.0,2.0,,,1.0,1.0,,,,,,,1.0,2.0,,,,,1.0,2.0,1.0,2.0,,5.0,5.0,,,,,,1.0,1.0,,,,2.0,2.0,,3.0,,,,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,5.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,2.0,3.0,,,,1.0,,,,,,,,,,,,,,5.0,2.0,1.0,1.0,1.0,1.0,0.5,,,0.5,0.5,,1.0,0.625,,1.0,0.625,,1.0,0.5,,,,,,,0.5,,0.3333333333333333,,,,,,,,,0.5,,,73.84615384615384,,20.75,18.25,20.75,15.25,0.5,0.5,0.5,1.0,,,,,,,,,,0.5,0.5,0.5,1.0,,,,,,,1.0,1.0,,,1.0,0.5,0.5304375,,0.6448,,,,,0.4,2.6,25.65,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2023,2022-23,False
1628389-1628997-1629130-1629312-1629639,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Haywood Highsmith, Tyler Herro","Adebayo, Martin, Robinson, Highsmith, Herro",1628389-1628997-1629130-1629312-1629639,MIA,102.0,1,2.0,-8.0,4.0,4.0,,,,8.0,,1.0,,,,,1.0,1.0,,1.0,,,,1.0,,,,,1.0,3.0,,1.0,,2.0,10.0,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.3333333333333333,,,0.25,,,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,,112.94117647058823,,14.0,11.5,14.0,11.5,0.25,,,,0.25,1.0,1.0,,0.25,,,,,0.25,,,,,,,,,,,,,,0.5,,0.487575,,,,,,,,10.0,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2023,2022-23,False
1628389-1628997-1629130-1629312-200768,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Haywood Highsmith, Kyle Lowry","Adebayo, Martin, Robinson, Highsmith, Lowry",1628389-1628997-1629130-1629312-200768,MIA,246.0,2,4.0,,9.0,8.0,,,1.0,17.0,,,,,,,,,1.0,1.0,1.0,,2.0,4.0,,,,,1.0,1.0,2.0,5.0,2.0,10.0,10.0,,,,,2.0,,,,,,,,2.0,6.0,,,,4.0,2.0,,,2.0,2.0,2.0,,,,6.0,1.0,,2.0,1.0,,3.0,1.0,4.0,,,,,1.0,,,2.0,1.0,1.0,3.0,,,,1.0,,,1.0,1.0,,,,2.0,1.0,,,,,,,,,8.0,,,,,1.0,0.4,,,0.4,1.0,,,0.6666666666666666,,,0.7142857142857143,1.0,,0.8333333333333334,,,0.3333333333333333,,1.0,,0.5,0.3333333333333333,0.6,0.3333333333333333,,,,1.0,,1.0,,0.5,,,99.51219512195122,,14.333333333333334,14.625,14.0,14.375,,,,,,,,,0.16666666666666666,1.0,1.0,,0.16666666666666666,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,,,0.8333333333333334,0.5,0.5357666666666666,,,0.14285714285714285,0.5,,0.2,,14.0,25.639999999999997,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2023,2022-23,False
1628389-1628997-1629130-1629622-200768,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Max Strus, Kyle Lowry","Adebayo, Martin, Robinson, Strus, Lowry",1628389-1628997-1629130-1629622-200768,MIA,77.0,1,1.0,-3.0,2.0,3.0,,,,5.0,,,,,,,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,,1.0,,2.0,5.0,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,0.5,,,0.5,,,0.5,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,93.5064935064935,,22.0,11.0,22.0,11.0,,,,,0.5,1.0,1.0,,,,,,,0.5,,,,,,,,,,,,,,0.5,,0.484925,,,,,,,,8.0,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2023,2022-23,False
1628389-1628997-1629130-1629622-202710,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Max Strus, Jimmy Butler","Adebayo, Martin, Robinson, Strus, Butler",1628389-1628997-1629130-1629622-202710,MIA,2.0,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,0.2436,,0.2436,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2023,2022-23,False
1628389-1628997-1629130-1629622-203506,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Max Strus, Victor Oladipo","Adebayo, Martin, Robinson, Strus, Oladipo",1628389-1628997-1629130-1629622-203506,MIA,591.0,2,10.0,-16.0,22.0,23.0,5.0,7.0,2.0,45.0,5.0,6.0,,,,1.0,1.0,6.0,1.0,2.0,2.0,,,5.0,,,,3.0,7.0,14.0,,7.0,3.0,17.0,33.0,,2.0,,,,,2.0,,4.0,2.0,2.0,10.0,4.0,,,,,5.0,,1.0,5.0,,5.0,,3.0,1.0,1.0,10.0,,2.0,5.0,1.0,,6.0,2.0,8.0,,3.0,2.0,1.0,1.0,,,1.0,,1.0,2.0,,,5.0,8.0,,,1.0,3.0,,,,4.0,2.0,,,,,,,,,17.0,2.0,5.0,0.7142857142857143,0.7142857142857143,,,,,,0.5,,,0.3333333333333333,,,0.3695652173913043,,0.14285714285714285,0.3333333333333333,0.07142857142857142,,0.5,,0.5,0.2857142857142857,1.0,,0.8571428571428571,0.15384615384615385,1.0,0.2,,,,1.0,,1.0,,,109.64467005076142,,13.454545454545455,12.826086956521738,12.863636363636363,12.826086956521738,0.2857142857142857,0.8333333333333334,1.0,0.6,0.2857142857142857,0.16666666666666666,0.16666666666666666,1.0,0.09523809523809523,0.5,0.5,1.0,0.09523809523809523,0.23809523809523808,,,,,,,,,,0.16666666666666666,,0.5,,0.6190476190476191,,0.5255975,0.3923,0.45871000000000006,0.08695652173913043,0.125,,,0.11764705882352941,6.45,27.17142857142857,0.22727272727272727,,,0.16666666666666666,,,,,,,,,,,,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,1610612748,2023,2022-23,False
