EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,TotalPoss,AtRimFGM,AtRimFGA,FG2M,FG2A,Points,PtsUnassisted2s,FirstChancePoints,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Minutes,DefPoss,PenaltyOffPoss,PenaltyDefPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,FTDefRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,DefFTReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Corner3Assists,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Blocked2s,BlockedShortMidRange,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeFrequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,NonHeaveArc3FGM,Arc3Assists,LongMidRangeAssists,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LiveBallTurnoverPct,SecondChanceFtPoints,PenaltyFtPoints,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,ShortMidRangeFGM,PenaltyCorner3FGM,PenaltyFG3M,PtsUnassisted3s,ShortMidRangeAssists,LostBallTurnovers,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyCorner3Accuracy,Charge Fouls Drawn,Travels,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,DefensiveGoaltends,PenaltyArc3FGM,Fg3aBlocked,FTOffRebounds,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,PenaltyArc3Accuracy,StepOutOfBoundsTurnovers,Technical Free Throw Trips,3SecondViolations,Defensive 3 Seconds Violations,BlockedLongMidRange,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,OffensiveGoaltends,Transition Take Fouls,BlockedCorner3,Corner3PctBlocked,3pt And 1 Free Throw Trips,Transition Take Fouls Drawn,team_id,year,season,team_vs
1629014-1629028-1629057-1630166-1630703,1610612757,"Anfernee Simons, Deandre Ayton, Robert Williams III, Deni Avdija, Scoot Henderson","Simons, Ayton, Williams III, Avdija, Henderson",1629014-1629028-1629057-1630166-1630703,POR,23.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,62.60869565217391,23.0,23.0,1.0,1.0,1.0,1.0,0.5519,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
1629014-1629028-1629057-1631101-1641739,1610612757,"Anfernee Simons, Deandre Ayton, Robert Williams III, Shaedon Sharpe, Toumani Camara","Simons, Ayton, Williams III, Sharpe, Camara",1629014-1629028-1629057-1631101-1641739,POR,290.0,1,-4.0,8.0,16.0,1.0,1.0,2.0,3.0,6.0,2.0,6.0,0.6666666666666666,0.4,0.5,79.44827586206897,21.125,21.125,0.2,1.0,1.0,0.6,0.54976,11.933333333333332,5.0,8.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,10.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,0.5,0.5,0.5,0.25,0.25,0.4,0.3333333333333333,0.5,1.0,0.6666666666666666,0.5,0.5,1.0,15.125,14.375,1.0,0.4,0.5,1.0,0.2,0.2,0.25,0.25,0.4777,0.16666666666666666,0.25,0.3333333333333333,24.35,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
1629014-1629028-1630166-1630625-1630703,1610612757,"Anfernee Simons, Deandre Ayton, Deni Avdija, Dalano Banton, Scoot Henderson","Simons, Ayton, Avdija, Banton, Henderson",1629014-1629028-1630166-1630625-1630703,POR,244.0,3,4.0,7.0,15.0,4.0,7.0,4.0,8.0,11.0,4.0,9.0,0.5,0.5,0.5,88.52459016393443,17.571428571428573,15.0,0.6363636363636364,0.5714285714285714,0.8,0.9090909090909091,0.5964954545454546,2.0374999999999996,4.0,8.0,3.0,4.0,,,1.0,,2.0,1.0,3.0,,7.0,2.0,3.0,1.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,7.0,,,2.0,7.0,1.0,1.0,,2.0,2.0,,,,,,,1.0,4.0,3.0,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.2727272727272727,0.375,,,,1.0,,,15.125,15.125,0.5,,,,0.09090909090909091,0.18181818181818182,,0.25,0.6410875,,,0.36363636363636365,24.433333333333334,0.42857142857142855,3.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.25,0.25,0.25,0.2857142857142857,1.0,1.0,0.75,1.0,0.8333333333333334,0.6666666666666666,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.09090909090909091,1.0,1.0,1.0,1.0,0.25,0.75,0.6666666666666666,0.5994333333333334,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
1629014-1629028-1630166-1630625-1631101,1610612757,"Anfernee Simons, Deandre Ayton, Deni Avdija, Dalano Banton, Shaedon Sharpe","Simons, Ayton, Avdija, Banton, Sharpe",1629014-1629028-1630166-1630625-1631101,POR,291.0,2,7.0,8.0,16.0,1.0,1.0,2.0,3.0,18.0,,13.0,0.6666666666666666,0.7222222222222222,0.8181818181818182,79.17525773195877,16.875,14.75,0.1111111111111111,1.0,1.0,0.7777777777777778,0.5387166666666666,9.133333333333333,5.0,8.0,,,1.0,1.0,5.0,,1.0,,6.0,5.0,11.0,,,,,4.0,1.0,,2.0,5.0,1.0,13.0,,,3.0,6.0,,,,,1.0,,2.0,5.0,1.0,,,1.0,,,1.0,1.0,,,,0.6666666666666666,,,,,1.0,,,19.5,19.5,1.0,0.1111111111111111,1.0,1.0,0.5555555555555556,0.1111111111111111,,,,0.18181818181818182,0.25,,23.099999999999998,,2.0,1.0,1.0,,,1.0,2.0,3.0,1.0,1.0,5.0,9.0,,3.0,2.0,2.0,1.0,3.0,3.0,,,,,,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.8333333333333334,0.8333333333333334,,,1.0,1.0,0.6666666666666666,0.75,,1.0,,,1.0,,1.0,0.1111111111111111,0.4,0.4,1.0,0.3333333333333333,1.0,,,0.5191,0.2777777777777778,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
1629014-1629028-1630166-1630625-1631133,1610612757,"Anfernee Simons, Deandre Ayton, Deni Avdija, Dalano Banton, Jabari Walker","Simons, Ayton, Avdija, Banton, Walker",1629014-1629028-1630166-1630625-1631133,POR,133.0,1,-3.0,6.0,12.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.5,0.2,0.2,129.92481203007517,12.333333333333334,10.333333333333334,0.2,1.0,1.0,0.8,0.59451,6.35,2.0,6.0,,4.0,,,,,3.0,,3.0,,5.0,,,,,,3.0,,,,,,,1.0,1.0,3.0,1.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,0.6,,,1.0,,,,,9.833333333333334,9.5,,,,,,0.6,,,,,,,25.633333333333336,,2.0,,,,,1.0,,,,1.0,,,,,,2.0,,,2.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,0.6666666666666666,0.5,,,0.6666666666666666,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
1629014-1629028-1630166-1630625-1631200,1610612757,"Anfernee Simons, Deandre Ayton, Deni Avdija, Dalano Banton, Kris Murray","Simons, Ayton, Avdija, Banton, Murray",1629014-1629028-1630166-1630625-1631200,POR,67.0,1,-1.0,3.0,6.0,1.0,1.0,1.0,1.0,4.0,,3.0,1.0,0.5,0.6666666666666666,128.955223880597,14.0,13.333333333333334,0.5,1.0,1.0,1.0,0.5578,2.2,1.0,3.0,3.0,,,,,,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,,1.0,2.0,,1.0,1.0,1.0,1.0,,2.0,3.0,2.0,,,,4.0,3.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.5,,,,1.0,1.0,,1.0,8.333333333333334,8.333333333333334,1.0,,,,,0.5,,0.5,0.5578,0.6666666666666666,1.0,1.0,25.7,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,0.5,,,,,1.0,1.0,,,1.0,,,,,,,,,,,0.5,1.0,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
1629014-1629028-1630166-1630625-1641739,1610612757,"Anfernee Simons, Deandre Ayton, Deni Avdija, Dalano Banton, Toumani Camara","Simons, Ayton, Avdija, Banton, Camara",1629014-1629028-1630166-1630625-1641739,POR,698.0,3,-20.0,22.0,46.0,7.0,9.0,7.0,12.0,17.0,2.0,17.0,0.5833333333333334,0.4722222222222222,0.4722222222222222,94.89971346704871,14.909090909090908,14.772727272727273,0.5,0.7777777777777778,0.875,0.8333333333333334,0.6331111111111112,3.8249999999999997,12.0,24.0,3.0,5.0,,1.0,1.0,,5.0,1.0,6.0,,37.0,1.0,3.0,1.0,2.0,12.0,5.0,2.0,6.0,7.0,6.0,15.0,4.0,,6.0,7.0,3.0,5.0,,1.0,5.0,1.0,1.0,,,,,,2.0,3.0,0.8571428571428571,0.8571428571428571,0.3333333333333333,0.25,0.25,0.3333333333333333,0.16666666666666666,,,0.8,0.6,0.75,1.0,15.416666666666666,14.083333333333334,0.8571428571428571,0.05555555555555555,,,0.05555555555555555,0.2777777777777778,,0.25,0.6198125,,,0.11764705882352941,25.083333333333332,0.13636363636363635,1.0,,1.0,1.0,2.0,2.0,,1.0,,1.0,,3.0,,1.0,,,1.0,2.0,1.0,,2.0,,1.0,,,,,1.0,0.16666666666666666,0.16666666666666666,,,,0.1111111111111111,0.5,0.4,0.2,,0.1,,0.5,,0.6666666666666666,,,,0.1111111111111111,,,,1.0,,0.5,0.5,0.5148,,,1.0,,,,,1.0,1.0,,,,,,,0.2,0.2,1.0,,,,,,0.2,,2.0,2.0,1.0,2.0,0.4,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
1629014-1629028-1630166-1630703-1631101,1610612757,"Anfernee Simons, Deandre Ayton, Deni Avdija, Scoot Henderson, Shaedon Sharpe","Simons, Ayton, Avdija, Henderson, Sharpe",1629014-1629028-1630166-1630703-1631101,POR,741.0,4,5.0,23.0,45.0,4.0,5.0,8.0,13.0,31.0,10.0,27.0,0.6153846153846154,0.5681818181818182,0.62,87.4493927125506,16.304347826086957,14.304347826086957,0.22727272727272727,0.8,1.0,0.6363636363636364,0.5439409090909091,7.207692307692308,12.0,22.0,8.0,9.0,1.0,2.0,3.0,1.0,6.0,,9.0,6.0,26.0,3.0,4.0,1.0,13.0,6.0,6.0,1.0,3.0,5.0,2.0,12.0,4.0,,8.0,13.0,2.0,3.0,1.0,3.0,5.0,,6.0,7.0,3.0,,,2.0,13.0,8.0,0.375,0.375,0.75,0.9,0.9285714285714286,0.4090909090909091,0.07692307692307693,,,0.6666666666666666,0.7272727272727273,0.6666666666666666,,16.636363636363637,16.318181818181817,0.5,0.09090909090909091,0.5,0.5,0.13636363636363635,0.2727272727272727,0.2,,0.53205,0.125,0.2,0.41935483870967744,26.066666666666666,0.34782608695652173,4.0,1.0,2.0,1.0,1.0,6.0,2.0,3.0,1.0,2.0,4.0,6.0,,2.0,2.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,,,2.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.2,0.3333333333333333,0.2,,0.8,0.6,0.3333333333333333,0.45454545454545453,1.0,0.6666666666666666,0.4,1.0,0.5,0.2,0.5,0.2727272727272727,0.6666666666666666,0.6666666666666666,1.0,0.4,0.5,0.2,1.0,0.4573,0.12903225806451613,,1.0,,3.0,,3.0,1.0,,,,,,1.0,,0.16666666666666666,0.16666666666666666,,1.0,,0.6,,,0.16666666666666666,,,1.0,,,0.3333333333333333,2.0,4.0,1.0,,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
1629014-1629028-1630166-1630703-1631133,1610612757,"Anfernee Simons, Deandre Ayton, Deni Avdija, Scoot Henderson, Jabari Walker","Simons, Ayton, Avdija, Henderson, Walker",1629014-1629028-1630166-1630703-1631133,POR,61.0,1,-1.0,3.0,5.0,,1.0,,1.0,1.0,,1.0,,,0.16666666666666666,118.03278688524591,12.333333333333334,12.333333333333334,0.5,,,1.0,0.57595,1.4,1.0,2.0,,,,,1.0,,,,1.0,1.0,2.0,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,,,,,,0.5,1.0,,,1.0,1.0,1.0,,12.0,12.0,,,,,0.5,,,,,0.3333333333333333,0.5,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
1629014-1629028-1630166-1630703-1631200,1610612757,"Anfernee Simons, Deandre Ayton, Deni Avdija, Scoot Henderson, Kris Murray","Simons, Ayton, Avdija, Henderson, Murray",1629014-1629028-1630166-1630703-1631200,POR,381.0,3,1.0,14.0,29.0,2.0,2.0,3.0,6.0,15.0,2.0,12.0,0.5,0.4090909090909091,0.5769230769230769,109.60629921259843,11.857142857142858,11.357142857142858,0.18181818181818182,1.0,1.0,0.6363636363636364,0.5338363636363637,6.783333333333334,6.0,15.0,4.0,3.0,,1.0,2.0,1.0,3.0,,5.0,6.0,14.0,1.0,2.0,1.0,2.0,4.0,3.0,,2.0,3.0,2.0,7.0,3.0,,6.0,7.0,,2.0,1.0,3.0,4.0,,5.0,6.0,2.0,,,2.0,2.0,4.0,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.45454545454545453,,,,0.75,0.6,0.75,,14.333333333333334,12.2,1.0,0.09090909090909091,,,0.18181818181818182,0.2727272727272727,0.3333333333333333,,0.6145166666666667,0.23076923076923078,0.2857142857142857,0.13333333333333333,25.240000000000002,0.2857142857142857,1.0,,,1.0,1.0,3.0,,1.0,,,3.0,3.0,,1.0,,,1.0,3.0,1.0,,3.0,1.0,,,2.0,1.0,,1.0,0.2,0.2,,,1.5,,,0.5,0.3333333333333333,,0.14285714285714285,,0.5,,,0.5,,,0.2727272727272727,,,,,,0.3333333333333333,1.0,,0.2,,1.0,,,,,1.0,1.0,,1.0,,,1.0,,0.3333333333333333,0.3333333333333333,1.0,,,,,,0.3333333333333333,0.16666666666666666,2.0,2.0,,2.0,1.0,3.0,,1.0,1.0,1.0,,,,,,,1.0,,,0.3333333333333333,0.3333333333333333,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
