EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangeAssists,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,LongMidRangeAssists,DefThreePtRebounds,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedShortMidRange,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,DefThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyCorner3FGM,Defensive 3 Seconds Violations,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,StepOutOfBoundsTurnovers,OffensiveGoaltends,BlockingFouls,Charge Fouls Drawn,HeaveAttempts,BlockedCorner3,Corner3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,BlockedLongMidRange,team_id,year,season,team_vs
101106-101135-201939-202691-203084,1610612744,"Andrew Bogut, David Lee, Stephen Curry, Klay Thompson, Harrison Barnes","Bogut, Lee, Curry, Thompson, Barnes",101106-101135-201939-202691-203084,GSW,453.0,3,8.0,-8.0,16.0,15.0,9.0,9.0,4.0,31.0,3.0,10.0,3.0,3.0,10.0,3.0,2.0,3.0,2.0,1.0,5.0,16.0,2.0,3.0,13.0,21.0,4.0,2.0,2.0,3.0,10.0,1.0,1.0,7.0,4.0,6.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,5.0,2.0,2.0,6.0,8.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,11.0,7.0,9.0,0.4,0.4,0.3125,0.3,0.2777777777777778,0.2727272727272727,0.34210526315789475,0.2,0.3181818181818182,0.1111111111111111,0.1875,0.2,0.3333333333333333,0.6666666666666666,0.4,0.45454545454545453,0.5,0.4,0.46153846153846156,0.5714285714285714,0.3333333333333333,0.5,0.5,1.0,98.54304635761589,15.8125,13.333333333333334,14.1875,12.066666666666666,0.5555555555555556,0.3,0.375,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.1111111111111111,0.75,0.9090909090909091,0.3,0.09090909090909091,0.6666666666666666,0.5336916666666667,0.516075,0.606740909090909,0.10526315789473684,0.11764705882352941,0.15384615384615385,0.5384615384615384,6.01875,26.15,0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2015,2014-15,True
101106-101135-201939-202691-2738,1610612744,"Andrew Bogut, David Lee, Stephen Curry, Klay Thompson, Andre Iguodala","Bogut, Lee, Curry, Thompson, Iguodala",101106-101135-201939-202691-2738,GSW,49.0,1,1.0,2.0,1.0,1.0,,,,2.0,,,,,,1.0,,,,,1.0,1.0,,,2.0,,,,,,,,,,,2.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,1.0,58.775510204081634,21.0,28.0,21.0,28.0,,,,,1.0,,,,,,,,,,0.3883,,,,,,,4.6,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2015,2014-15,True
101106-101135-202691-2733-2738,1610612744,"Andrew Bogut, David Lee, Klay Thompson, Shaun Livingston, Andre Iguodala","Bogut, Lee, Thompson, Livingston, Iguodala",101106-101135-202691-2733-2738,GSW,97.0,1,2.0,4.0,4.0,3.0,,,,7.0,,,,,,2.0,1.0,1.0,,,3.0,3.0,,2.0,8.0,4.0,,,,,,,,,2.0,4.0,,,1.0,1.0,,2.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,2.0,,1.0,,,,8.0,,,0.3333333333333333,0.3333333333333333,1.0,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,,103.91752577319588,12.0,16.333333333333332,12.0,16.333333333333332,,,,,0.6666666666666666,0.3333333333333333,1.0,1.0,,,,,,,0.40219999999999995,,,0.25,0.25,,,13.133333333333333,,,2.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2015,2014-15,True
101106-201578-201939-202691-2738,1610612744,"Andrew Bogut, Marreese Speights, Stephen Curry, Klay Thompson, Andre Iguodala","Bogut, Speights, Curry, Thompson, Iguodala",101106-201578-201939-202691-2738,GSW,22.0,1,,2.0,1.0,1.0,1.0,,,2.0,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,,,2.0,,,,,1.0,1.0,,,2.0,2.0,,,,1.0,1.0,1.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,130.9090909090909,6.0,16.0,6.0,16.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,0.6793,,0.6793,,,,1.0,1.7,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2015,2014-15,True
101106-201939-202691-203084-203105,1610612744,"Andrew Bogut, Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli","Bogut, Curry, Thompson, Barnes, Ezeli",101106-201939-202691-203084-203105,GSW,6.0,1,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,240.0,6.0,,6.0,,,,,,,,,,1.0,,,,1.0,1.0,0.36825,,0.36825,,,,,,26.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2015,2014-15,True
101106-201939-202691-203084-203110,1610612744,"Andrew Bogut, Stephen Curry, Klay Thompson, Harrison Barnes, Draymond Green","Bogut, Curry, Thompson, Barnes, Green",101106-201939-202691-203084-203110,GSW,14696.0,22,245.0,-30.0,474.0,472.0,26.0,30.0,60.0,946.0,49.0,102.0,27.0,4.0,10.0,138.0,39.0,83.0,84.0,5.0,141.0,323.0,111.0,65.0,455.0,485.0,48.0,9.0,49.0,7.0,21.0,8.0,2.0,19.0,156.0,126.0,84.0,30.0,78.0,105.0,24.0,237.0,15.0,51.0,88.0,178.0,66.0,244.0,55.0,32.0,23.0,44.0,32.0,24.0,68.0,4.0,3.0,23.0,77.0,4.0,94.0,89.0,4.0,43.0,23.0,14.0,24.0,406.0,19.0,26.0,0.5531914893617021,0.5954198473282443,0.43653250773993807,0.3333333333333333,0.44930875576036866,0.29310344827586204,0.47689075630252103,0.3888888888888889,0.3064516129032258,0.2557603686635945,0.09287925696594428,0.13725490196078433,0.10869565217391304,0.6470588235294118,0.6984126984126984,0.2802197802197802,0.2054794520547945,0.7565217391304347,0.25882352941176473,0.33962264150943394,0.3176470588235294,0.20754716981132076,0.6818181818181818,0.64,92.6946107784431,16.748945147679326,14.315677966101696,16.00632911392405,13.669491525423728,0.2350230414746544,0.4803921568627451,0.5568181818181818,0.4897959183673469,0.31797235023041476,0.1912442396313364,0.46987951807228917,0.47560975609756095,0.1935483870967742,0.47368421052631576,0.3448275862068966,0.4,0.1724137931034483,0.49078341013824883,0.4766908986175115,0.5095438775510204,0.468551724137931,0.09090909090909091,0.11878453038674033,0.1076923076923077,0.041758241758241756,8.79969040247678,25.193693693693692,0.05485232067510549,53.0,0.38405797101449274,0.43089430894308944,27.0,0.8125,0.5094339622641509,13.0,7.0,27.0,1.0,5.0,3.0,29.0,1.0,4.0,1.0,36.0,17.0,2.0,9.0,1.0,81.0,27.0,20.0,29.0,2.0,27.0,21.0,6.0,27.0,86.0,4.0,12.0,5.0,3.0,12.0,3.0,4.0,6.0,9.0,7.0,2.0,1.0,3.0,1.0,1.0,9.0,16.0,1.0,1.0,1.0,2.0,0.75,0.32432432432432434,0.2222222222222222,0.125,0.32432432432432434,0.3541666666666667,0.3508771929824561,0.018018018018018018,0.012048192771084338,0.023809523809523808,1.0,0.8269230769230769,0.13636363636363635,0.2,0.8607594936708861,0.72,0.05357142857142857,0.6666666666666666,0.6923076923076923,0.06221198156682028,0.25925925925925924,0.25925925925925924,0.8571428571428571,0.34523809523809523,0.35365853658536583,0.7241379310344828,0.48148148148148145,0.15384615384615385,0.08771929824561403,0.2,1.0,0.07017543859649122,0.25,1.0,0.10344827586206896,0.2,0.34523809523809523,,,,,,,,,,,,,,,,,1610612744,2015,2014-15,True
101106-201939-202691-203084-2571,1610612744,"Andrew Bogut, Stephen Curry, Klay Thompson, Harrison Barnes, Leandro Barbosa","Bogut, Curry, Thompson, Barnes, Barbosa",101106-201939-202691-203084-2571,GSW,186.0,1,3.0,-6.0,6.0,7.0,,,,13.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,,2.0,3.0,2.0,1.0,5.0,11.0,,,,,,,,,,4.0,2.0,,,,,,,,1.0,1.0,,1.0,2.0,1.0,1.0,,,1.0,1.0,,,,,,3.0,1.0,1.0,1.0,,,,5.0,,,,,0.6666666666666666,,0.4,,0.5,,,0.4,,,,,1.0,,,1.0,,,,,1.0,,100.64516129032258,17.666666666666668,11.428571428571429,17.666666666666668,11.428571428571429,0.2,1.0,1.0,,0.2,0.2,1.0,1.0,0.4,,,,,0.6,0.49046,,,0.2,0.3333333333333333,,,8.1,26.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2015,2014-15,True
101106-201939-202691-203084-2733,1610612744,"Andrew Bogut, Stephen Curry, Klay Thompson, Harrison Barnes, Shaun Livingston","Bogut, Curry, Thompson, Barnes, Livingston",101106-201939-202691-203084-2733,GSW,353.0,5,6.0,2.0,9.0,9.0,5.0,,3.0,18.0,1.0,4.0,2.0,1.0,1.0,7.0,,,3.0,1.0,2.0,11.0,3.0,4.0,11.0,9.0,3.0,2.0,5.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,,2.0,1.0,7.0,2.0,4.0,8.0,12.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,5.0,4.0,,2.0,,,,6.0,4.0,5.0,0.5,0.5,0.18181818181818182,0.5,0.25,0.3333333333333333,0.34375,0.4166666666666667,0.5,0.21428571428571427,0.2727272727272727,0.5,0.14285714285714285,,0.6666666666666666,0.7777777777777778,0.5,0.8,0.7272727272727273,0.6666666666666666,0.8333333333333334,0.5,1.0,0.5,73.42776203966005,24.22222222222222,15.0,17.11111111111111,14.88888888888889,0.2857142857142857,0.25,0.5,,0.5,,,,0.21428571428571427,0.4,0.3333333333333333,1.0,0.3333333333333333,0.5,0.46541428571428567,0.47537,0.5800500000000001,0.125,0.15384615384615385,0.45454545454545453,0.36363636363636365,6.4,26.099999999999998,0.5555555555555556,1.0,0.14285714285714285,0.16666666666666666,1.0,,1.0,,,,,,,1.0,1.0,2.0,,1.0,,1.0,2.0,,,3.0,,1.0,,,,,,2.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,0.3333333333333333,0.5,,0.3333333333333333,,0.3,,,,,1.0,,,1.0,1.0,0.125,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,0.4,0.5,,,,0.3333333333333333,,,,,,,,,,,,,,,,,1610612744,2015,2014-15,True
101106-201939-202691-203084-2738,1610612744,"Andrew Bogut, Stephen Curry, Klay Thompson, Harrison Barnes, Andre Iguodala","Bogut, Curry, Thompson, Barnes, Iguodala",101106-201939-202691-203084-2738,GSW,807.0,10,13.0,13.0,31.0,25.0,7.0,3.0,2.0,56.0,8.0,10.0,1.0,2.0,2.0,6.0,1.0,5.0,4.0,3.0,14.0,21.0,5.0,3.0,37.0,24.0,2.0,,2.0,3.0,4.0,3.0,,9.0,18.0,10.0,4.0,1.0,9.0,10.0,6.0,21.0,1.0,,4.0,9.0,1.0,10.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,,,1.0,6.0,1.0,2.0,3.0,1.0,2.0,,,,35.0,9.0,7.0,0.6428571428571429,0.6428571428571429,0.6666666666666666,0.75,0.6538461538461539,0.6428571428571429,0.6851851851851852,0.5,0.6428571428571429,0.19230769230769232,0.047619047619047616,0.1,,0.25,0.6666666666666666,,0.3333333333333333,0.8181818181818182,0.1,,,,,0.6,99.92565055762083,13.580645161290322,15.44,12.935483870967742,14.96,0.38461538461538464,0.8,0.8888888888888888,0.75,0.23076923076923078,0.19230769230769232,0.2,0.2,0.15384615384615385,0.5,0.2857142857142857,1.0,0.42857142857142855,0.5769230769230769,0.4901269230769231,,0.5050571428571428,0.07407407407407407,0.09090909090909091,0.05405405405405406,0.24324324324324326,8.357142857142858,25.46,0.22580645161290322,5.0,0.8333333333333334,0.8333333333333334,2.0,1.0,0.4,1.0,,1.0,,,,2.0,,,1.0,2.0,1.0,,,1.0,3.0,3.0,,2.0,,1.0,1.0,,1.0,5.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,0.5,0.4,,0.3333333333333333,0.4,0.5,0.5,,,,,1.0,,1.0,1.0,1.0,,,1.0,0.038461538461538464,,,,0.5,0.5,0.5,1.0,1.0,,,,,,,,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,1610612744,2015,2014-15,True
101106-201939-202691-203110-2733,1610612744,"Andrew Bogut, Stephen Curry, Klay Thompson, Draymond Green, Shaun Livingston","Bogut, Curry, Thompson, Green, Livingston",101106-201939-202691-203110-2733,GSW,934.0,9,16.0,11.0,30.0,29.0,3.0,7.0,3.0,59.0,4.0,7.0,1.0,,,7.0,3.0,6.0,6.0,,12.0,20.0,6.0,6.0,39.0,28.0,2.0,2.0,2.0,2.0,2.0,,2.0,6.0,20.0,4.0,6.0,1.0,10.0,13.0,3.0,29.0,1.0,2.0,5.0,9.0,3.0,12.0,5.0,3.0,2.0,2.0,2.0,4.0,6.0,,,3.0,5.0,1.0,6.0,6.0,1.0,3.0,,,,37.0,6.0,3.0,0.8333333333333334,0.8333333333333334,0.6,1.0,0.6346153846153846,1.0,0.6785714285714286,0.3333333333333333,1.0,0.23076923076923078,0.05,,0.14285714285714285,0.3333333333333333,0.7142857142857143,0.25,0.5,0.75,0.3,0.3333333333333333,,0.5,0.75,0.6666666666666666,90.96359743040685,16.766666666666666,14.862068965517242,16.333333333333332,14.517241379310345,0.2692307692307692,0.5714285714285714,0.5714285714285714,0.75,0.2692307692307692,0.23076923076923078,0.5,0.5,0.23076923076923078,0.5,,,,0.5,0.4941557692307692,0.5864,0.4105,0.10714285714285714,0.13636363636363635,0.05128205128205128,0.15384615384615385,8.42,25.7,0.1,5.0,0.7142857142857143,0.8333333333333334,4.0,,0.8,,,,,,,3.0,,,,3.0,,,,,9.0,,,3.0,,3.0,3.0,,3.0,4.0,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,1.0,0.5,,,0.5,,,,,,,0.8,0.3333333333333333,,0.8,,0.1111111111111111,,1.0,,,,,0.5,0.5,1.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,1610612744,2015,2014-15,True
