EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,OffThreePtRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Charge Fouls,LongMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,BadPassTurnovers,FoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,PenaltyCorner3Frequency,SecondChancePointsPct,FTDefRebounds,DefFTReboundPct,FtPoints,PenaltyFtPoints,Steals,BadPassSteals,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,DefLongMidRangeReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,FG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,ShortMidRangeAssists,OffTwoPtRebounds,SelfOReb,LostBallSteals,BlockingFouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceShotQualityAvg,SecondChanceArc3FGA,SecondChanceFG3A,HeaveAttempts,Fg2aBlocked,StepOutOfBoundsTurnovers,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,ShortMidRangePctBlocked,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,Arc3FGM,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,NonHeaveArc3FGM,Arc3Assists,Charge Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,PenaltyFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Loose Ball Fouls,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,SecondChanceFg3Pct,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Offensive Fouls,OffLongMidRangeReboundPct,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,Defensive 3 Seconds Violations,Travels,AtRimPctBlocked,LongMidRangePctBlocked,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,PtsUnassisted3s,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,Blocked3s,BlockedArc3,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Corner3PctBlocked,3pt And 1 Free Throw Trips,BlockedCorner3,HeaveMakes,team_id,year,season,team_vs
101108-101122-201162-201175-2037,1610612746,"Chris Paul, Danny Granger, Jared Dudley, Glen Davis, Jamal Crawford","Paul, Granger, Dudley, Davis, Crawford",101108-101122-201162-201175-2037,LAC,82.0,1,1.0,-5.0,4.0,3.0,4.0,2.0,1.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,7.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.3333333333333333,0.3333333333333333,0.25,0.25,0.25,0.25,0.25,1.0,1.0,0.3333333333333333,1.0,122.92682926829268,13.25,9.666666666666666,11.75,9.666666666666666,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.75,0.523675,0.523675,1.0,6.466666666666666,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2014,2013-14,False
101108-101122-201162-201175-2584,1610612746,"Chris Paul, Danny Granger, Jared Dudley, Glen Davis, Willie Green","Paul, Granger, Dudley, Davis, Green",101108-101122-201162-201175-2584,LAC,44.0,1,1.0,-4.0,2.0,2.0,2.0,1.0,,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,2.0,,2.0,1.0,2.0,,,2.0,,,,,,,,,,,,130.9090909090909,10.0,12.0,10.0,10.5,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2014,2013-14,False
101108-101122-201162-201933-2037,1610612746,"Chris Paul, Danny Granger, Jared Dudley, Blake Griffin, Jamal Crawford","Paul, Granger, Dudley, Griffin, Crawford",101108-101122-201162-201933-2037,LAC,138.0,1,2.0,1.0,5.0,4.0,2.0,2.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,,,2.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,,,,,2.0,1.0,,1.0,,,1.0,1.0,2.0,2.0,2.0,0.6666666666666666,1.0,0.5,0.5,0.5,0.5,0.25,1.0,,,,93.91304347826087,15.0,15.75,12.8,15.75,0.25,1.0,1.0,0.5,,0.5,1.0,,0.5,0.505175,0.66155,0.5,12.966666666666667,23.6,0.4,,,,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.25,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2014,2013-14,False
101108-101122-201162-201933-2440,1610612746,"Chris Paul, Danny Granger, Jared Dudley, Blake Griffin, Matt Barnes","Paul, Granger, Dudley, Griffin, Barnes",101108-101122-201162-201933-2440,LAC,15.0,1,,,1.0,1.0,1.0,1.0,,2.0,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,192.0,14.0,1.0,14.0,1.0,1.0,,,,,1.0,,,1.0,0.2891,0.2891,,3.2,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2014,2013-14,False
101108-101122-201175-201599-203493,1610612746,"Chris Paul, Danny Granger, Glen Davis, DeAndre Jordan, Reggie Bullock","Paul, Granger, Davis, Jordan, Bullock",101108-101122-201175-201599-203493,LAC,17.0,1,,-3.0,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,3.0,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,169.41176470588235,15.0,2.0,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2014,2013-14,False
101108-101122-201175-201599-2584,1610612746,"Chris Paul, Danny Granger, Glen Davis, DeAndre Jordan, Willie Green","Paul, Granger, Davis, Jordan, Green",101108-101122-201175-201599-2584,LAC,158.0,1,3.0,10.0,7.0,6.0,6.0,6.0,,13.0,2.0,2.0,2.0,2.0,3.0,,,5.0,5.0,,12.0,2.0,5.0,5.0,,11.0,6.0,,,,1.0,1.0,,1.0,,1.0,,1.0,12.0,11.0,6.0,1.0,1.0,1.0,1.0,1.0,1.1,,1.0,,,,118.48101265822785,8.714285714285714,16.166666666666668,8.714285714285714,16.166666666666668,0.4,1.0,1.0,0.6,,0.4,1.0,,0.4,0.50758,0.50758,0.9166666666666666,10.48,,0.8571428571428571,,,,3.0,,,,,,4.0,2.0,2.0,1.0,1.0,4.0,,1.0,1.0,1.0,3.0,0.4,0.4,,,,1.0,,1.0,,,0.5,1.0,1.0,0.3333333333333333,,,,,,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2014,2013-14,False
101108-101122-201175-201933-201954,1610612746,"Chris Paul, Danny Granger, Glen Davis, Blake Griffin, Darren Collison","Paul, Granger, Davis, Griffin, Collison",101108-101122-201175-201933-201954,LAC,75.0,1,1.0,,3.0,2.0,,,1.0,5.0,1.0,1.0,,,,2.0,,1.0,1.0,3.0,2.0,2.0,,,,,2.0,2.0,1.0,1.0,2.0,,,,,,1.0,1.0,,,,1.0,,0.25,,0.25,,0.75,,0.3333333333333333,0.3333333333333333,0.5,96.0,13.666666666666666,17.0,13.666666666666666,17.0,0.25,1.0,1.0,,0.5,,,,1.0,0.571625,,,0.6,24.7,,,,,,1.0,,1.0,1.0,2.0,,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,0.25,,1.0,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2014,2013-14,False
101108-101122-201175-201933-203493,1610612746,"Chris Paul, Danny Granger, Glen Davis, Blake Griffin, Reggie Bullock","Paul, Granger, Davis, Griffin, Bullock",101108-101122-201175-201933-203493,LAC,368.0,2,6.0,5.0,12.0,9.0,5.0,4.0,4.0,21.0,2.0,4.0,2.0,4.0,2.0,1.0,,4.0,10.0,4.0,13.0,8.0,2.0,5.0,1.0,6.0,2.0,1.0,2.0,5.0,8.0,1.0,,1.0,,,,1.0,9.0,6.0,5.0,0.4,0.4,0.39285714285714285,0.3333333333333333,0.43333333333333335,0.42857142857142855,0.2857142857142857,1.0,0.6666666666666666,0.5555555555555556,1.0,82.17391304347825,15.083333333333334,20.77777777777778,13.0,16.77777777777778,0.2857142857142857,0.5,0.5,0.14285714285714285,0.07142857142857142,0.6666666666666666,0.5,,0.5714285714285714,0.4857214285714285,0.4978916666666667,0.46153846153846156,8.129999999999999,23.775,0.4166666666666667,,,,1.0,3.0,1.0,2.0,4.0,4.0,6.0,3.0,4.0,1.0,1.0,9.0,,3.0,3.0,1.0,3.0,0.75,1.0,0.5,0.5,0.5,0.6,,0.42857142857142855,0.3333333333333333,,0.5,0.5,0.5,1.0,0.21428571428571427,0.16666666666666666,0.3076923076923077,,,2.0,2.0,2.0,1.0,2.0,,,1.0,,,1.0,2.0,2.0,0.5,0.5,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.5,1.0,0.3333333333333333,0.5,0.1111111111111111,0.2857142857142857,0.25,0.25,1.0,0.3333333333333333,0.3333333333333333,1.0,0.48336666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2014,2013-14,False
101108-101122-201175-201933-2037,1610612746,"Chris Paul, Danny Granger, Glen Davis, Blake Griffin, Jamal Crawford","Paul, Granger, Davis, Griffin, Crawford",101108-101122-201175-201933-2037,LAC,757.0,4,13.0,1.0,25.0,30.0,11.0,16.0,4.0,55.0,6.0,8.0,3.0,5.0,5.0,6.0,2.0,9.0,15.0,8.0,31.0,30.0,3.0,7.0,2.0,11.0,4.0,5.0,2.0,4.0,18.0,2.0,,3.0,1.0,2.0,4.0,7.0,29.0,11.0,11.0,0.6,0.42857142857142855,0.45652173913043476,0.3333333333333333,0.5555555555555556,0.45454545454545453,0.34782608695652173,0.6666666666666666,0.4,0.36363636363636365,0.25,104.62351387054161,11.36,15.766666666666667,10.8,15.433333333333334,0.34782608695652173,0.75,0.75,0.21739130434782608,0.2608695652173913,0.5555555555555556,0.6,0.2222222222222222,0.6956521739130435,0.5252159090909091,0.5667666666666666,0.3548387096774194,8.346666666666668,30.475,0.44,,1.0,,3.0,2.0,,1.0,2.0,2.0,14.0,7.0,8.0,4.0,3.0,17.0,2.0,10.0,14.0,2.0,4.0,0.7777777777777778,0.7777777777777778,0.5,0.3333333333333333,0.3333333333333333,0.7692307692307693,0.6666666666666666,0.75,0.8,0.5,0.6666666666666666,0.6,0.6,1.0,0.08695652173913043,,0.06451612903225806,2.0,0.6666666666666666,10.0,5.0,3.0,3.0,10.0,,2.0,0.8,0.11538461538461539,0.11764705882352941,1.0,2.0,,0.6666666666666666,0.5,,2.0,1.0,1.0,3.0,1.0,1.0,,2.0,1.0,,,,1.0,1.0,1.0,0.125,0.14285714285714285,0.3333333333333333,0.5,0.5,1.0,0.1,0.08695652173913043,,,,0.5,0.5,1.0,0.5672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.06666666666666667,0.5,0.6666666666666666,1.0,0.5,0.3333333333333333,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2014,2013-14,False
101108-101122-201175-201933-2584,1610612746,"Chris Paul, Danny Granger, Glen Davis, Blake Griffin, Willie Green","Paul, Granger, Davis, Griffin, Green",101108-101122-201175-201933-2584,LAC,612.0,6,10.0,6.0,22.0,21.0,14.0,13.0,2.0,43.0,4.0,5.0,1.0,1.0,5.0,1.0,1.0,8.0,15.0,2.0,30.0,24.0,3.0,6.0,2.0,20.0,2.0,1.0,,3.0,9.0,3.0,2.0,5.0,,3.0,1.0,6.0,26.0,20.0,14.0,0.5333333333333333,0.5,0.6470588235294118,0.75,0.7142857142857143,0.8333333333333334,0.11764705882352941,0.6,,0.42857142857142855,,101.1764705882353,13.636363636363637,14.857142857142858,13.454545454545455,14.80952380952381,0.29411764705882354,0.8,0.8,0.29411764705882354,0.058823529411764705,0.125,1.0,0.125,0.4117647058823529,0.48930588235294115,0.46695,0.6666666666666666,10.186666666666667,24.75,0.6363636363636364,2.0,2.0,,3.0,1.0,1.0,1.0,2.0,4.0,14.0,7.0,9.0,3.0,3.0,20.0,3.0,3.0,6.0,1.0,7.0,0.875,1.0,0.5,0.5,0.6666666666666666,0.75,1.0,0.8571428571428571,0.6666666666666666,1.0,0.75,0.6,0.6,1.0,0.058823529411764705,0.125,0.13333333333333333,,,8.0,8.0,1.0,,9.0,1.0,1.0,,0.058823529411764705,0.06666666666666667,1.0,2.0,2.0,1.0,0.5,1.0,5.0,1.0,2.0,6.0,2.0,1.0,1.0,3.0,1.0,1.0,,,4.0,4.0,1.0,1.0,1.0,0.42857142857142855,1.0,0.5,,0.16666666666666666,0.29411764705882354,0.2,0.25,1.0,1.0,1.0,1.0,0.61865,,,,1.0,,,,1.0,1.0,,1.0,,2.0,0.06666666666666667,0.2,1.0,,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2014,2013-14,False
