EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,PenaltyOffPoss,TotalPoss,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,PenaltyPointsPct,PenaltyOffPossPct,Minutes,DefPoss,SecondChanceOffPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,AtRimAssists,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,2pt And 1 Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,LiveBallTurnoverPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Assisted3sPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3FGA,SecondChanceFG3A,LostBallSteals,Loose Ball Fouls,Loose Ball Fouls Drawn,AtRimPctBlocked,LongMidRangePctBlocked,DefAtRimReboundPct,SecondChanceArc3Frequency,PenaltyDefPoss,PenaltyCorner3FGA,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG3A,NonShootingPenaltyNonTakeFouls,PenaltyCorner3Frequency,PenaltyArc3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,Offensive Fouls Drawn,Blocked3s,BlockedCorner3,Blocks,RecoveredBlocks,SecondChanceFg3Pct,BlocksRecoveredPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,Blocked2s,BlockedShortMidRange,PenaltyFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SelfOReb,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,SelfORebPct,Technical Free Throw Trips,BlockedArc3,SecondChanceAtRimPctAssisted,FTOffRebounds,FTDefRebounds,LostBallOutOfBoundsTurnovers,Travels,DefFTReboundPct,OffFTReboundPct,HeaveAttempts,Charge Fouls Drawn,3pt And 1 Free Throw Trips,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,OffCorner3ReboundPct,team_id,year,season,team_vs
1626178-1626181-1629014-203081-203496,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Anfernee Simons, Damian Lillard, Robert Covington","Hollis-Jefferson, Powell, Simons, Lillard, Covington",1626178-1626181-1629014-203081-203496,POR,8.0,2,3.0,1,1.0,1,3.0,3,3.0,3.0,2.0,4.0,2.0,3,-1.0,0.75,0.75,180.0,8.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
1626178-1626181-1629014-203468-2546,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Anfernee Simons, CJ McCollum, Carmelo Anthony","Hollis-Jefferson, Powell, Simons, McCollum, Anthony",1626178-1626181-1629014-203468-2546,POR,276.0,2,2.0,8,,16,4.0,11,,,2.0,5.0,,9,,0.5,,83.47826086956522,18.625,17.125,,,5.0,8.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,6.0,1.0,3.0,9.0,1.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,4.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3888888888888889,0.5,0.5,0.3333333333333333,0.16666666666666666,0.5,1.0,0.25,0.5,0.5,0.8,0.3333333333333333,0.5,0.5,1.0,1.0,0.5,15.875,15.375,0.2222222222222222,0.4444444444444444,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46776666666666666,0.486,0.18181818181818182,0.14285714285714285,0.25,0.18181818181818182,12.25,25.833333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
1626178-1626181-203081-203468-203496,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Damian Lillard, CJ McCollum, Robert Covington","Hollis-Jefferson, Powell, Lillard, McCollum, Covington",1626178-1626181-203081-203468-203496,POR,17.0,2,3.0,3,3.0,3,3.0,3,3.0,3.0,2.0,4.0,2.0,3,1.0,0.75,0.75,254.11764705882354,5.666666666666667,1.6666666666666667,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
1626178-1629014-203081-203496-2546,1610612757,"Rondae Hollis-Jefferson, Anfernee Simons, Damian Lillard, Robert Covington, Carmelo Anthony","Hollis-Jefferson, Simons, Lillard, Covington, Anthony",1626178-1629014-203081-203496-2546,POR,153.0,1,-3.0,5,,11,,2,,2.0,2.0,1.0,,2,,0.25,1.0,103.52941176470588,17.0,17.0,1.0,,3.0,6.0,,,,,,3.0,1.0,1.0,,3.0,5.0,,,,2.0,,3.0,,,1.0,1.0,,2.0,,,,2.0,2.0,,2.0,,1.0,1.0,,1.0,1.0,,,1.0,,0.25,,,0.75,,,1.0,,,,1.0,,,,,1.0,,11.333333333333334,11.333333333333334,,,,,,0.75,,,1.0,,0.5269875,,0.25,1.0,,,1.9,25.3,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.25,1.0,1.0,1.0,1.0,1.0,0.4452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
1626178-1629014-203468-203496-2546,1610612757,"Rondae Hollis-Jefferson, Anfernee Simons, CJ McCollum, Robert Covington, Carmelo Anthony","Hollis-Jefferson, Simons, McCollum, Covington, Anthony",1626178-1629014-203468-203496-2546,POR,656.0,3,14.0,19,,37,,29,,,2.0,,,25,,0.725,,81.21951219512195,17.842105263157894,17.473684210526315,,,11.0,18.0,3.0,2.0,2.0,4.0,3.0,7.0,7.0,11.0,5.0,9.0,15.0,2.0,2.0,4.0,8.0,,7.0,3.0,,4.0,9.0,1.0,23.0,1.0,2.0,6.0,4.0,10.0,3.0,13.0,2.0,3.0,,,0.5714285714285714,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.6363636363636364,1.0,0.725,1.0,1.0,0.45,,,1.0,0.5,0.75,0.25,0.8333333333333334,0.375,,0.25,1.0,1.0,0.75,17.61111111111111,17.555555555555557,0.1,0.2,0.5,0.5,0.5,0.35,0.42857142857142855,0.42857142857142855,0.7,0.42857142857142855,0.538015,0.77195,,,,0.13793103448275862,8.954545454545455,25.566666666666666,1.0,2.0,1.0,,,4.0,5.0,,,,,2.0,1.0,1.0,1.0,,,,,,0.5,0.25,0.8,0.8,0.5,,,,2.0,2.0,1.0,2.0,2.0,6.0,15.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.5,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
1626178-203081-203468-203496-2546,1610612757,"Rondae Hollis-Jefferson, Damian Lillard, CJ McCollum, Robert Covington, Carmelo Anthony","Hollis-Jefferson, Lillard, McCollum, Covington, Anthony",1626178-203081-203468-203496-2546,POR,602.0,7,4.0,17,,34,2.0,18,,,2.0,2.0,,18,,0.47368421052631576,,81.32890365448505,17.352941176470587,16.0,,,10.0,17.0,2.0,1.0,2.0,4.0,1.0,9.0,5.0,8.0,2.0,10.0,14.0,,1.0,,2.0,,9.0,1.0,2.0,1.0,3.0,,8.0,1.0,1.0,4.0,4.0,8.0,2.0,10.0,3.0,4.0,1.0,,0.2,0.2,0.2,0.2,0.625,,0.4444444444444444,,,0.5555555555555556,0.25,,0.6666666666666666,0.3333333333333333,0.8,0.125,0.7272727272727273,0.18181818181818182,0.5,0.125,1.0,0.6666666666666666,1.0,18.058823529411764,17.529411764705884,0.05555555555555555,0.2222222222222222,0.5,0.6666666666666666,,0.5,0.1111111111111111,0.1111111111111111,0.7222222222222222,0.1111111111111111,0.4785083333333333,0.498,0.05263157894736842,0.1111111111111111,,,10.4375,26.089999999999996,,,,,,2.0,3.0,,,,,,1.0,,,,,,,,,0.16666666666666666,0.6666666666666666,1.0,,,,,,1.0,1.0,1.0,1.0,8.0,6.0,,2.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,0.05555555555555555,1.0,1.0,1.0,1.0,0.5,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
1626181-1629014-202683-203081-2546,1610612757,"Norman Powell, Anfernee Simons, Enes Kanter, Damian Lillard, Carmelo Anthony","Powell, Simons, Kanter, Lillard, Anthony",1626181-1629014-202683-203081-2546,POR,204.0,1,-3.0,7,7.0,14,4.0,8,4.0,8.0,2.0,4.0,,6,7.0,0.4444444444444444,0.4444444444444444,98.82352941176471,13.285714285714286,13.285714285714286,1.0,1.0,3.0,7.0,1.0,2.0,1.0,1.0,,1.0,2.0,5.0,,2.0,11.0,,1.0,2.0,2.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,,2.0,2.0,4.0,,1.0,2.0,,0.5,0.5,,,0.4,,0.2857142857142857,,0.5,0.2857142857142857,0.2,,,0.6666666666666666,1.0,,0.6666666666666666,0.4,,,,,1.0,15.857142857142858,15.571428571428571,0.2857142857142857,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,,,0.5714285714285714,,0.4958214285714285,0.5964,0.2222222222222222,0.2857142857142857,,0.25,7.74,24.95,,,,,,,2.0,,2.0,2.0,5.0,,,,,,,8.0,0.4,0.2857142857142857,,0.2857142857142857,,,,0.2857142857142857,,0.4958214285714285,,1.0,1.0,,1.0,2.0,,,,,,,,,,0.5,1.0,,0.5,0.5,,0.14285714285714285,,,,,1.0,,,,,,,0.5,,,,7.0,1.0,1.0,2.0,2.0,1.0,0.14285714285714285,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
1626181-1629014-202683-203468-2546,1610612757,"Norman Powell, Anfernee Simons, Enes Kanter, CJ McCollum, Carmelo Anthony","Powell, Simons, Kanter, McCollum, Anthony",1626181-1629014-202683-203468-2546,POR,608.0,2,16.0,19,,38,2.0,33,,,3.0,2.0,,28,,0.7857142857142857,,90.0,12.894736842105264,12.105263157894736,,,10.0,19.0,2.0,2.0,4.0,6.0,3.0,5.0,11.0,15.0,3.0,5.0,17.0,1.0,2.0,5.0,10.0,3.0,5.0,3.0,,5.0,7.0,2.0,16.0,1.0,2.0,5.0,2.0,7.0,3.0,10.0,2.0,6.0,1.0,,0.45454545454545453,0.5,0.6,0.6,0.7333333333333333,0.5,0.775,0.8333333333333334,0.8333333333333334,0.25,,,0.6666666666666666,0.5,0.625,0.5,0.6363636363636364,0.5,0.5,0.5,,1.0,0.5,19.105263157894736,18.263157894736842,0.1,0.3,0.6666666666666666,0.6666666666666666,0.5,0.25,0.6,0.6,0.6,0.6,0.4877175,0.615325,0.047619047619047616,0.0625,,0.15151515151515152,8.906666666666666,25.660000000000004,,1.0,,,,5.0,7.0,,,,,3.0,2.0,1.0,1.0,,,,,,1.0,0.35,0.7142857142857143,0.7142857142857143,0.6,,,,1.0,2.0,2.0,,,12.0,6.0,2.0,2.0,2.0,,,,1.0,0.6666666666666666,0.5,,1.0,1.0,1.0,,,,,,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,1.0,,,,,,0.3333333333333333,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
1626181-1629014-203081-203468-2546,1610612757,"Norman Powell, Anfernee Simons, Damian Lillard, CJ McCollum, Carmelo Anthony","Powell, Simons, Lillard, McCollum, Anthony",1626181-1629014-203081-203468-2546,POR,33.0,2,2.0,2,2.0,5,2.0,2,2.0,2.0,1.0,2.0,1.0,2,1.0,1.0,1.0,218.18181818181816,2.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,9.666666666666666,9.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
1626181-1629014-203081-203496-203994,1610612757,"Norman Powell, Anfernee Simons, Damian Lillard, Robert Covington, Jusuf Nurkic","Powell, Simons, Lillard, Covington, Nurkic",1626181-1629014-203081-203496-203994,POR,443.0,2,1.0,14,7.0,28,3.0,21,,12.0,3.0,5.0,,14,7.0,0.5833333333333334,0.75,91.0158013544018,15.285714285714286,14.428571428571429,0.5714285714285714,0.5,7.0,14.0,3.0,4.0,1.0,2.0,1.0,4.0,6.0,11.0,2.0,5.0,20.0,2.0,3.0,7.0,,,4.0,1.0,1.0,,2.0,,6.0,1.0,3.0,2.0,3.0,5.0,4.0,9.0,,1.0,3.0,,,,0.4,0.4,0.5454545454545454,0.6666666666666666,0.5625,0.875,0.875,0.3125,0.09090909090909091,,1.0,0.6,1.0,0.3333333333333333,1.0,0.5,,0.3333333333333333,1.0,1.0,1.0,16.357142857142858,16.357142857142858,0.25,0.125,0.5,0.5,,0.25,0.25,0.25,0.625,0.25,0.532184375,0.5004166666666666,0.16666666666666666,0.23076923076923078,,0.3333333333333333,6.554545454545454,25.3,,1.0,,1.0,,4.0,5.0,3.0,3.0,3.0,5.0,,1.0,1.0,1.0,1.0,1.0,12.0,0.6,0.75,1.0,0.3125,0.8,1.0,,0.375,1.0,0.61779375,1.0,1.0,1.0,1.0,1.0,12.0,6.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,0.6666666666666666,,0.25,0.25,,0.0625,1.0,1.0,1.0,1.0,0.25,1.0,,1.0,,,,0.2,,,,4.0,1.0,2.0,,3.0,,0.125,0.25,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.6666666666666666,0.25,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,True
