EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,OpponentPoints,PenaltyFG3A,NonHeaveArc3FGA,PenaltyOffPossExcludingTakeFouls,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,Minutes,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,DefThreePtRebounds,BadPassTurnovers,Charge Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedLongMidRange,DefThreePtReboundPct,DefArc3ReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Charge Fouls,Offensive Fouls,HeaveAttempts,AtRimAssists,Blocked3s,BlockedArc3,AtRimPctAssisted,LongMidRangeFGA,LongMidRangeFrequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,OffTwoPtRebounds,Offensive Fouls Drawn,BlockedShortMidRange,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,LongMidRangeFGM,SecondChanceTurnovers,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3FGM,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,Corner3Assists,FTDefRebounds,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,DefFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,PtsUnassisted3s,Fg3aBlocked,LongMidRangeAssists,BadPassSteals,FG3APctBlocked,Arc3PctBlocked,LongMidRangePctAssisted,Loose Ball Fouls,OffCorner3ReboundPct,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedCorner3,SelfOReb,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,StepOutOfBoundsTurnovers,Corner3PctBlocked,OffLongMidRangeReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,team_id,year,season,team_vs
1628369-1628400-1629641-1629684-1630202,1610612738,"Jayson Tatum, Semi Ojeleye, Romeo Langford, Grant Williams, Payton Pritchard","Tatum, Ojeleye, Langford, Williams, Pritchard",1628369-1628400-1629641-1629684-1630202,BOS,8.0,1,-2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,360.0,3.0,5.0,3.0,5.0,1.0,1.0,1.0,0.26175,0.26175,30.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2021,2020-21,False
1628369-1628400-1629684-1630202-203953,1610612738,"Jayson Tatum, Semi Ojeleye, Grant Williams, Payton Pritchard, Jabari Parker","Tatum, Ojeleye, Williams, Pritchard, Parker",1628369-1628400-1629684-1630202-203953,BOS,138.0,1,3.0,5.0,5.0,5.0,5.0,10.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,0.25,104.34782608695653,13.8,13.8,13.8,10.6,0.25,0.25,0.75,0.444025,0.444025,26.5,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,5.0,1.0,1.0,2.0,3.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,1.0,0.75,1.0,0.75,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.25,1.0,1.0,1.0,0.5,0.5,0.2,1.0,4.166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2021,2020-21,False
1628369-1629057-1629641-202689-203935,1610612738,"Jayson Tatum, Robert Williams III, Romeo Langford, Kemba Walker, Marcus Smart","Tatum, Williams III, Langford, Walker, Smart",1628369-1629057-1629641-202689-203935,BOS,249.0,1,2.0,9.0,10.0,,,19.0,3.0,,3.0,9.0,,3.0,,0.42857142857142855,109.87951807228914,11.333333333333334,14.7,11.333333333333334,14.7,0.42857142857142855,,0.7142857142857143,0.5219928571428571,,26.566666666666666,,4.0,,2.0,2.0,,,2.0,2.0,4.0,4.0,3.0,11.0,,,,,,,,8.0,,,,,,3.0,5.0,,5.0,,,1.0,,1.0,,,,4.0,,3.0,,1.0,,1.0,1.0,11.0,,,,,1.0,,0.5714285714285714,,0.6875,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,0.2857142857142857,1.0,1.0,0.2857142857142857,1.0,1.0,,,,,,4.275,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2021,2020-21,False
1628369-1629057-1630174-1630202-203953,1610612738,"Jayson Tatum, Robert Williams III, Aaron Nesmith, Payton Pritchard, Jabari Parker","Tatum, Williams III, Nesmith, Pritchard, Parker",1628369-1629057-1630174-1630202-203953,BOS,107.0,1,-7.0,4.0,4.0,,,8.0,1.0,,1.0,7.0,,1.0,,1.0,107.66355140186916,10.5,16.25,10.5,16.0,1.0,,1.0,0.53835,,25.8,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,3.0,,1.0,4.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,0.6666666666666666,,0.6666666666666666,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2021,2020-21,False
1628369-1629057-1630174-202689-203935,1610612738,"Jayson Tatum, Robert Williams III, Aaron Nesmith, Kemba Walker, Marcus Smart","Tatum, Williams III, Nesmith, Walker, Smart",1628369-1629057-1630174-202689-203935,BOS,35.0,1,-2.0,1.0,2.0,1.0,,3.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,123.42857142857142,26.0,4.5,26.0,4.5,1.0,1.0,1.0,,,47.9,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2021,2020-21,False
1628369-1629057-1630174-202689-203953,1610612738,"Jayson Tatum, Robert Williams III, Aaron Nesmith, Kemba Walker, Jabari Parker","Tatum, Williams III, Nesmith, Walker, Parker",1628369-1629057-1630174-202689-203953,BOS,133.0,1,,2.0,3.0,,,5.0,1.0,,1.0,2.0,,1.0,,0.5,54.13533834586466,27.0,26.333333333333332,27.0,23.333333333333332,0.5,,1.0,0.60565,,24.6,,2.0,,1.0,1.0,,,,,1.0,1.0,,2.0,,,,,,,2.0,,1.0,1.0,,2.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,2.0,,1.0,1.0,2.0,,2.0,,,1.0,1.0,1.0,,0.5,,0.3333333333333333,,,,0.3333333333333333,,0.2,,,,1.0,,,0.5,1.0,1.0,,,,,,,,,0.9,,,,,1.0,,,,0.3333333333333333,0.5,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2021,2020-21,False
1628369-1629057-1630174-203095-203935,1610612738,"Jayson Tatum, Robert Williams III, Aaron Nesmith, Evan Fournier, Marcus Smart","Tatum, Williams III, Nesmith, Fournier, Smart",1628369-1629057-1630174-203095-203935,BOS,32.0,1,2.0,2.0,1.0,,,3.0,,,,,,,,,135.0,11.0,10.0,11.0,10.0,,,,0.3992,,,,1.0,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,2.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,0.5,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,14.1,,,,,1.0,,,,0.5,0.5,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2021,2020-21,False
1628369-1629057-1630174-203935-203953,1610612738,"Jayson Tatum, Robert Williams III, Aaron Nesmith, Marcus Smart, Jabari Parker","Tatum, Williams III, Nesmith, Smart, Parker",1628369-1629057-1630174-203935-203953,BOS,335.0,1,5.0,10.0,9.0,5.0,4.0,19.0,3.0,1.0,4.0,4.0,2.0,3.0,5.0,0.3076923076923077,81.67164179104478,14.6,21.0,14.2,18.88888888888889,0.23076923076923078,0.125,0.6153846153846154,0.5219230769230769,0.5491125,25.55,0.5,6.0,3.0,2.0,4.0,2.0,3.0,1.0,5.0,3.0,9.0,,9.0,,5.0,3.0,6.0,,6.0,2.0,4.0,1.0,2.0,,5.0,1.0,4.0,6.0,4.0,10.0,,,,,1.0,,,,2.0,,,,2.0,1.0,2.0,1.0,4.0,6.0,,0.3333333333333333,0.5,0.3333333333333333,0.5,0.34615384615384615,0.375,0.34615384615384615,0.625,0.375,,0.8,0.3333333333333333,0.6666666666666666,0.5,0.5,,1.0,,0.5,0.3076923076923077,0.5,1.0,0.38461538461538464,0.2,0.25,,0.375,0.6666666666666666,0.5555555555555556,0.6666666666666666,5.800000000000001,2.0,,,,,,0.5,0.3333333333333333,,,1.0,1.0,,,,1.0,,,0.5,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.25,1.0,0.25,0.3333333333333333,0.625,0.3333333333333333,0.5,0.2,0.6,0.5,0.6666666666666666,1.0,0.07692307692307693,0.3333333333333333,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,1.0,0.125,0.3333333333333333,0.5740333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2021,2020-21,False
1628369-1629057-1630202-203935-203953,1610612738,"Jayson Tatum, Robert Williams III, Payton Pritchard, Marcus Smart, Jabari Parker","Tatum, Williams III, Pritchard, Smart, Parker",1628369-1629057-1630202-203935-203953,BOS,22.0,1,-2.0,,1.0,,,1.0,,,,2.0,,,,,65.45454545454545,,22.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2021,2020-21,False
1628369-1629057-202689-203095-203935,1610612738,"Jayson Tatum, Robert Williams III, Kemba Walker, Evan Fournier, Marcus Smart","Tatum, Williams III, Walker, Fournier, Smart",1628369-1629057-202689-203095-203935,BOS,216.0,3,5.0,9.0,4.0,2.0,2.0,13.0,1.0,,1.0,3.0,,1.0,2.0,0.09090909090909091,86.66666666666667,14.222222222222221,22.0,13.444444444444445,18.75,0.09090909090909091,,0.45454545454545453,0.4963545454545455,0.367725,25.2,0.2222222222222222,4.0,2.0,2.0,4.0,,1.0,,3.0,4.0,10.0,,8.0,,2.0,1.0,4.0,,2.0,2.0,6.0,1.0,1.0,,2.0,1.0,1.0,2.0,3.0,5.0,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,6.0,2.0,,0.25,0.3333333333333333,0.4,0.25,0.36363636363636365,0.25,0.36363636363636365,0.3333333333333333,0.25,0.5,0.3333333333333333,1.0,0.5,0.5,1.0,,0.5,,,0.36363636363636365,0.5,0.5,0.2727272727272727,,,,0.25,,0.25,0.25,8.55,1.0,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,0.5,3.0,0.2727272727272727,1.0,1.0,,,,,,,1.0,3.0,,,,2.0,,2.0,,,2.0,,,,,,,0.3333333333333333,0.3333333333333333,0.2,,0.6666666666666666,0.4,0.5,0.5,,,,,,0.3333333333333333,1.0,,,,,,0.33975,2.0,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2021,2020-21,False
