EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,DefPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,Pace,SecondsPerPossDef,Blocked3s,BlockedCorner3,Blocks,Minutes,OffPoss,AtRimFGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,Points,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,DefTwoPtRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,DefTwoPtReboundPct,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,LiveBallTurnoverPct,DefFTReboundPct,PenaltyOffPoss,SecondChanceOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,OffRebounds,DeadBallTurnovers,Travels,PenaltyTurnovers,Offensive Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,OffTwoPtRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,BlockedAtRim,RecoveredBlocks,SecondChanceFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,PenaltyArc3FGM,SecondChanceFtPoints,Fg3aBlocked,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,AtRimPctBlocked,Arc3PctBlocked,PenaltyArc3Accuracy,SecondChanceCorner3FGA,SelfOReb,StepOutOfBoundsTurnovers,SelfORebPct,SecondChanceCorner3Frequency,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,LostBallOutOfBoundsTurnovers,FTOffRebounds,Defensive 3 Seconds Violations,OffFTReboundPct,3pt And 1 Free Throw Trips,BlockedLongMidRange,BlockedArc3,Clear Path Fouls,3SecondViolations,HeaveAttempts,Corner3PctBlocked,HeaveMakes,OffensiveGoaltends,team_id,year,season,team_vs
1626162-1626172-1627780-1628539-203145,1610612744,"Kelly Oubre Jr., Kevon Looney, Gary Payton II, Mychal Mulder, Kent Bazemore","Oubre Jr., Looney, Payton II, Mulder, Bazemore",1626162-1626172-1627780-1628539-203145,GSW,3.0,1,-3.0,1.0,1.0,1.0,3.0,480.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2021,2020-21,False
1626162-1626172-1627780-203110-203145,1610612744,"Kelly Oubre Jr., Kevon Looney, Gary Payton II, Draymond Green, Kent Bazemore","Oubre Jr., Looney, Payton II, Green, Bazemore",1626162-1626172-1627780-203110-203145,GSW,6.0,1,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2021,2020-21,False
1626162-1626172-1627814-1628539-1629673,1610612744,"Kelly Oubre Jr., Kevon Looney, Damion Lee, Mychal Mulder, Jordan Poole","Oubre Jr., Looney, Lee, Mulder, Poole",1626162-1626172-1627814-1628539-1629673,GSW,98.0,1,-1.0,3.0,,6.0,4.0,88.16326530612245,19.333333333333332,,,,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.5,0.5,0.5,0.5,0.6666666666666666,1.0,1.0,1.0,13.333333333333334,13.333333333333334,19.333333333333332,0.3333333333333333,0.6666666666666666,0.5,0.5,1.0,1.0,0.5,0.5852499999999999,1.5,26.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2021,2020-21,False
1626162-1626172-1627814-1628539-201939,1610612744,"Kelly Oubre Jr., Kevon Looney, Damion Lee, Mychal Mulder, Stephen Curry","Oubre Jr., Looney, Lee, Mulder, Curry",1626162-1626172-1627814-1628539-201939,GSW,3.0,1,,1.0,1.0,1.0,,480.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2021,2020-21,False
1626162-1626172-1627814-1629308-1629673,1610612744,"Kelly Oubre Jr., Kevon Looney, Damion Lee, Juan Toscano-Anderson, Jordan Poole","Oubre Jr., Looney, Lee, Toscano-Anderson, Poole",1626162-1626172-1627814-1629308-1629673,GSW,206.0,2,-5.0,7.0,,13.0,14.0,90.873786407767,12.0,,,,3.0,6.0,2.0,1.0,2.0,4.0,1.0,2.0,9.0,3.0,2.0,1.0,1.0,3.0,1.0,7.0,,1.0,1.0,3.0,3.0,,9.0,1.0,0.5,0.5,0.75,0.75,0.3333333333333333,,0.5,,20.333333333333332,20.333333333333332,11.857142857142858,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.6666666666666666,0.5,0.49105,8.125,25.75,2.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.75,0.5,0.5,1.0,1.0,0.5,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2021,2020-21,False
1626162-1626172-1627814-1629672-1629673,1610612744,"Kelly Oubre Jr., Kevon Looney, Damion Lee, Eric Paschall, Jordan Poole","Oubre Jr., Looney, Lee, Paschall, Poole",1626162-1626172-1627814-1629672-1629673,GSW,167.0,1,-10.0,7.0,,13.0,10.0,112.09580838323353,10.714285714285714,,,,3.0,6.0,,,3.0,1.0,,3.0,,,3.0,,,,,,2.0,3.0,3.0,,,,,,,,,,0.75,1.0,0.5,1.0,15.333333333333334,15.333333333333334,9.285714285714286,,0.75,,,,0.75,,0.5183375,13.2,26.333333333333332,,,1.0,,,,,,,,,,,,,,,,,0.25,,,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2021,2020-21,False
1626162-1626172-1627814-1629672-201939,1610612744,"Kelly Oubre Jr., Kevon Looney, Damion Lee, Eric Paschall, Stephen Curry","Oubre Jr., Looney, Lee, Paschall, Curry",1626162-1626172-1627814-1629672-201939,GSW,275.0,3,,8.0,8.0,16.0,10.0,83.78181818181818,19.375,,,1.0,5.0,8.0,1.0,,1.0,2.0,1.0,4.0,10.0,3.0,1.0,,1.0,3.0,,7.0,,2.0,3.0,,1.0,1.0,8.0,1.0,0.25,0.25,0.5833333333333334,0.6428571428571429,0.6666666666666666,,0.5,,15.0,14.625,19.125,0.16666666666666666,0.16666666666666666,,,,0.8333333333333334,,0.58825,9.1,24.0,1.0,,,1.0,2.0,4.0,,2.0,1.0,,1.0,1.0,1.0,1.0,0.5,,1.0,1.0,1.0,,,,,0.16666666666666666,1.0,,,,2.0,,1.0,8.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,3.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,10.0,8.0,0.25,1.0,1.0,1.0,0.5833333333333334,1.0,0.6428571428571429,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,1.0,0.5,0.3333333333333333,0.16666666666666666,0.58825,0.14285714285714285,0.3333333333333333,0.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2021,2020-21,False
1626162-1626172-1627814-1629673-1630185,1610612744,"Kelly Oubre Jr., Kevon Looney, Damion Lee, Jordan Poole, Nico Mannion","Oubre Jr., Looney, Lee, Poole, Mannion",1626162-1626172-1627814-1629673-1630185,GSW,1587.0,6,2.0,49.0,,98.0,50.0,88.92249527410208,16.367346938775512,,,4.0,26.0,49.0,12.0,7.0,23.0,25.0,7.0,24.0,52.0,18.0,23.0,7.0,6.0,14.0,6.0,34.0,6.0,20.0,28.0,6.0,14.0,9.0,45.0,0.8571428571428571,0.2916666666666667,0.2916666666666667,0.47959183673469385,0.5,0.4897959183673469,0.8571428571428571,0.6666666666666666,0.8333333333333334,16.020408163265305,15.26530612244898,15.183673469387756,0.24489795918367346,0.46938775510204084,0.30434782608695654,0.30434782608695654,0.8571428571428571,0.7346938775510204,0.30434782608695654,0.5051255102040816,8.024,26.1125,9.0,2.0,7.0,6.0,13.0,16.0,10.0,8.0,6.0,1.0,14.0,0.6153846153846154,0.6666666666666666,0.52,0.6086956521739131,0.3333333333333333,0.75,0.75,0.6666666666666666,0.14285714285714285,0.2857142857142857,0.4,0.5,0.12244897959183673,,1.0,,1.0,5.0,0.2,,,5.0,,,2.0,,1.0,,,,5.0,2.0,5.0,7.0,,,,,,,,1.0,3.0,8.0,4.0,2.0,,,6.0,,3.0,4.0,3.0,,,,0.4,,0.5833333333333334,,0.5833333333333334,,0.17647058823529413,0.27586206896551724,0.125,0.6666666666666666,0.3333333333333333,0.4,0.5,0.02040816326530612,,,,,,,,,,0.057692307692307696,0.10714285714285714,0.1346153846153846,,,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12,0.2857142857142857,0.16666666666666666,0.4166666666666667,0.6666666666666666,0.2,0.5,1.0,0.8,1.0,0.25,0.3333333333333333,1.0,0.5,0.16666666666666666,1.0,1.0,0.58995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2021,2020-21,False
1626162-1626172-1627814-1629673-201939,1610612744,"Kelly Oubre Jr., Kevon Looney, Damion Lee, Jordan Poole, Stephen Curry","Oubre Jr., Looney, Lee, Poole, Curry",1626162-1626172-1627814-1629673-201939,GSW,236.0,4,11.0,6.0,6.0,15.0,4.0,91.52542372881356,15.0,,,,4.0,9.0,3.0,3.0,4.0,4.0,3.0,4.0,15.0,3.0,4.0,3.0,1.0,2.0,1.0,5.0,1.0,3.0,5.0,,3.0,5.0,12.0,0.3333333333333333,0.75,0.75,0.8125,0.75,0.5,1.0,0.75,1.0,16.22222222222222,16.11111111111111,12.166666666666666,0.375,0.5,0.75,1.0,0.3333333333333333,0.875,0.75,0.43466875,3.575,28.075,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,0.5,1.0,0.5,0.6666666666666666,,0.3333333333333333,1.0,,0.125,1.0,1.0,1.0,,,1.0,,1.0,2.0,0.5,,9.0,2.0,1.0,3.0,,,,,,4.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,4.0,2.0,15.0,,,,2.0,1.0,,2.0,1.0,3.0,,1.0,,,15.0,9.0,0.75,1.0,0.5,1.0,0.8125,0.75,0.75,,0.6666666666666666,,1.0,,,,,,,,0.375,0.3333333333333333,,,0.5,0.43466875,0.1111111111111111,0.2,0.2,1.0,1.0,1.0,1.0,,,,,6.0,2.0,2.0,2.0,,,,,1.0,,,,,,,0.5,,,1.0,1.0,,,,0.5,,,1.0,1.0,,,,,0.638,3.0,1.0,1.0,1.0,1.0,1.0,0.25,0.6666666666666666,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2021,2020-21,False
1626162-1626172-1627814-1629673-203145,1610612744,"Kelly Oubre Jr., Kevon Looney, Damion Lee, Jordan Poole, Kent Bazemore","Oubre Jr., Looney, Lee, Poole, Bazemore",1626162-1626172-1627814-1629673-203145,GSW,1456.0,5,-10.0,44.0,,88.0,47.0,87.03296703296704,15.522727272727273,,,2.0,24.0,44.0,12.0,3.0,17.0,25.0,5.0,20.0,37.0,12.0,17.0,3.0,4.0,12.0,3.0,28.0,6.0,15.0,22.0,7.0,16.0,5.0,31.0,0.8,0.25,0.25,0.4111111111111111,0.4111111111111111,0.4444444444444444,1.0,0.8823529411764706,1.0,17.568181818181817,16.704545454545453,15.25,0.26666666666666666,0.37777777777777777,0.17647058823529413,0.17647058823529413,1.0,0.7111111111111111,0.17647058823529413,0.5076277777777778,7.056,25.905,9.0,2.0,8.0,5.0,11.0,16.0,6.0,8.0,6.0,2.0,9.0,0.7272727272727273,0.7272727272727273,0.44,0.8181818181818182,0.6666666666666666,0.75,0.8181818181818182,0.6666666666666666,0.17777777777777778,0.25,0.2857142857142857,1.0,0.1111111111111111,,4.0,4.0,,6.0,0.6666666666666666,,,6.0,,,,2.0,3.0,,,,,3.0,5.0,6.0,,,,,,,1.0,,4.0,7.0,2.0,,,1.0,,,,2.0,1.0,,,,0.6,,0.42857142857142855,,0.42857142857142855,,0.26666666666666666,0.2413793103448276,0.2857142857142857,1.0,,,,0.06666666666666667,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,0.16216216216216217,,,3.0,4.0,,1.0,,2.0,3.0,,2.0,3.0,4.0,3.0,1.0,,,,1.0,1.0,1.0,2.0,,0.08,0.125,,0.21428571428571427,,0.3333333333333333,0.2,,0.75,1.0,1.0,0.5714285714285714,0.75,0.3333333333333333,0.14285714285714285,,,0.6262333333333333,,,,1.0,,,,0.08333333333333333,,,1.0,1.0,1.0,0.037037037037037035,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,1610612744,2021,2020-21,False
