EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,ShootingFouls,LongMidRangeFrequency,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,BadPassSteals,Loose Ball Fouls Drawn,Offensive Fouls Drawn,NonShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGM,Corner3FGM,Corner3FGA,Arc3FGM,FG3M,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,BlockingFouls,2pt And 1 Free Throw Trips,BlockedShortMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,OffAtRimReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,Travels,OffLongMidRangeReboundPct,FTDefRebounds,LostBallTurnovers,NonShootingPenaltyNonTakeFoulsDrawn,DefFTReboundPct,Charge Fouls,Loose Ball Fouls,Technical Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFG3M,PtsUnassisted3s,FTOffRebounds,SecondChanceTurnovers,Offensive Fouls,Charge Fouls Drawn,3SecondViolations,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,HeaveAttempts,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyFG3M,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,SecondChanceAtRimPctAssisted,BlockedLongMidRange,StepOutOfBoundsTurnovers,PenaltyCorner3FGM,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3Accuracy,OffensiveGoaltends,Blocked3s,BlockedCorner3,LongMidRangePctBlocked,BlockedArc3,Corner3PctBlocked,team_id,year,season,team_vs
101106-101127-101135-201939-202691,1610612744,"Andrew Bogut, Jarrett Jack, David Lee, Stephen Curry, Klay Thompson","Bogut, Jack, Lee, Curry, Thompson",101106-101127-101135-201939-202691,GSW,167.0,2,3.0,-1.0,7.0,7.0,7.0,2.0,1.0,14.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,6.0,7.0,1.0,1.0,3.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,6.0,5.0,7.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.25,0.25,0.42857142857142855,0.4166666666666667,0.25,0.3333333333333333,0.3333333333333333,1.0,0.5,0.75,1.0,1.0,1.0,120.7185628742515,1.0,10.857142857142858,13.0,10.142857142857142,11.714285714285714,0.75,0.3333333333333333,0.5,1.0,0.25,1.0,0.75,0.3333333333333333,0.25,1.0,0.4799625,0.4799625,0.42857142857142855,0.5,0.8333333333333334,1.5666666666666667,34.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2013,2012-13,True
101106-101127-101135-201939-203084,1610612744,"Andrew Bogut, Jarrett Jack, David Lee, Stephen Curry, Harrison Barnes","Bogut, Jack, Lee, Curry, Barnes",101106-101127-101135-201939-203084,GSW,64.0,2,1.0,1.0,2.0,2.0,,,,4.0,1.0,1.0,,,,,,1.0,2.0,,,2.0,1.0,,,,,,,2.0,,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,,,2.0,1.0,,,,,,,,2.0,,,1.0,1.0,0.5,,0.5,,0.5,,,,,1.0,,1.0,,1.0,,90.0,,15.0,17.0,15.0,17.0,0.5,1.0,1.0,1.0,,,,,,0.5,0.439,,,,,11.95,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2013,2012-13,True
101106-101127-201171-201939-202691,1610612744,"Andrew Bogut, Jarrett Jack, Carl Landry, Stephen Curry, Klay Thompson","Bogut, Jack, Landry, Curry, Thompson",101106-101127-201171-201939-202691,GSW,753.0,4,13.0,19.0,23.0,25.0,3.0,,2.0,48.0,8.0,9.0,,1.0,2.0,2.0,,17.0,23.0,2.0,4.0,38.0,19.0,2.0,2.0,3.0,,1.0,5.0,10.0,2.0,1.0,5.0,5.0,5.0,10.0,3.0,6.0,9.0,13.0,2.0,1.0,,,,,3.0,4.0,,6.0,2.0,1.0,1.0,1.0,,33.0,5.0,3.0,0.29411764705882354,0.29411764705882354,0.7391304347826086,0.6666666666666666,0.68,0.6666666666666666,0.6785714285714286,0.625,0.08,0.043478260869565216,0.1111111111111111,0.75,1.0,0.8181818181818182,0.5,0.6666666666666666,1.0,91.79282868525895,,13.652173913043478,17.56,12.73913043478261,17.32,0.36,0.8888888888888888,1.0,0.625,0.08,,0.6666666666666666,0.5,,0.44,0.49833799999999995,0.5008333333333334,0.07407407407407407,0.08,0.13157894736842105,9.604347826086956,26.25,0.13043478260869565,8.0,2.0,0.32,4.0,6.0,5.0,1.0,2.0,1.0,1.0,5.0,24.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.625,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,1.0,0.2857142857142857,0.24,0.6666666666666666,0.6666666666666666,0.625,0.625,0.3333333333333333,0.5292,0.13157894736842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2013,2012-13,True
101106-101127-201171-201939-203084,1610612744,"Andrew Bogut, Jarrett Jack, Carl Landry, Stephen Curry, Harrison Barnes","Bogut, Jack, Landry, Curry, Barnes",101106-101127-201171-201939-203084,GSW,767.0,6,13.0,-4.0,25.0,24.0,,,2.0,49.0,3.0,7.0,2.0,,,3.0,,10.0,16.0,7.0,2.0,31.0,35.0,2.0,,,,,,10.0,3.0,3.0,5.0,8.0,1.0,19.0,1.0,2.0,3.0,5.0,4.0,2.0,,1.0,3.0,,6.0,2.0,,3.0,2.0,1.0,,1.0,,29.0,,,0.5,0.5555555555555556,0.625,,0.6304347826086957,,0.6458333333333334,,0.30434782608695654,0.1875,0.42857142857142855,0.4,1.0,0.5,1.0,0.3333333333333333,1.0,91.99478487614081,,16.4,14.875,16.08,14.375,0.30434782608695654,0.42857142857142855,0.75,0.3333333333333333,0.13043478260869565,1.0,,,,0.6086956521739131,0.4891456521739131,,0.08333333333333333,0.11764705882352941,,7.643750000000001,24.52857142857143,,3.0,5.0,0.13043478260869565,4.0,6.0,3.0,,1.0,,,2.0,10.0,,2.0,2.0,1.0,2.0,,,,0.5,0.5,0.5,0.3333333333333333,,0.2,0.5,,,,0.14285714285714285,0.2608695652173913,0.6666666666666666,0.6666666666666666,1.0,1.0,,0.53945,0.06451612903225806,1.0,1.0,4.0,2.0,3.0,9.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.25,0.25,1.0,0.17391304347826086,0.25,0.25,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2013,2012-13,True
101106-101127-201171-201939-203110,1610612744,"Andrew Bogut, Jarrett Jack, Carl Landry, Stephen Curry, Draymond Green","Bogut, Jack, Landry, Curry, Green",101106-101127-201171-201939-203110,GSW,76.0,1,1.0,-2.0,2.0,2.0,,,1.0,4.0,,,,,,,,1.0,2.0,,,2.0,4.0,1.0,,,,,,2.0,,,1.0,1.0,,2.0,,,,1.0,,,,1.0,1.0,,2.0,,,,,,,,,,,,1.0,1.0,0.5,,0.5,,0.5,,,,,,,,,,,75.78947368421053,,20.0,18.0,14.0,18.0,,,,,,,,,,,0.40615,,,,,19.9,,,2.0,1.0,1.0,,,1.0,,1.0,,,2.0,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,0.5,0.5,,0.3923,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2013,2012-13,True
101106-101127-201171-202691-203084,1610612744,"Andrew Bogut, Jarrett Jack, Carl Landry, Klay Thompson, Harrison Barnes","Bogut, Jack, Landry, Thompson, Barnes",101106-101127-201171-202691-203084,GSW,402.0,7,7.0,2.0,10.0,12.0,1.0,4.0,,22.0,,,,,,3.0,1.0,2.0,4.0,4.0,3.0,16.0,14.0,,1.0,1.0,1.0,1.0,3.0,2.0,3.0,,1.0,4.0,,11.0,1.0,2.0,4.0,5.0,1.0,,,,1.0,,6.0,3.0,,4.0,1.0,,,,,15.0,3.0,1.0,0.5,0.5,0.5,1.0,0.8125,0.5,0.8,0.5,0.5,,,0.6666666666666666,1.0,0.75,,1.0,1.0,78.80597014925372,,16.4,19.833333333333332,16.3,19.166666666666668,,,,,0.375,,,,0.5,0.5,0.4552,0.4479,0.1111111111111111,0.2,0.1875,7.125,26.05,0.1,1.0,1.0,0.125,2.0,3.0,,,,,1.0,1.0,2.0,1.0,,1.0,,1.0,,,1.0,,,0.5,,1.0,0.3333333333333333,,1.0,1.0,,,0.375,0.6666666666666666,0.6666666666666666,,,,,0.0625,,1.0,1.0,2.0,3.0,9.0,,2.0,3.0,2.0,1.0,1.0,,1.0,,,,,,,,1.0,0.75,0.75,1.0,,0.5,,0.125,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,,0.6666666666666666,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2013,2012-13,True
101106-101127-201171-202691-203110,1610612744,"Andrew Bogut, Jarrett Jack, Carl Landry, Klay Thompson, Draymond Green","Bogut, Jack, Landry, Thompson, Green",101106-101127-201171-202691-203110,GSW,257.0,3,4.0,6.0,11.0,7.0,4.0,3.0,1.0,18.0,2.0,5.0,1.0,1.0,3.0,2.0,,3.0,8.0,2.0,1.0,10.0,4.0,1.0,1.0,3.0,,,2.0,2.0,2.0,1.0,1.0,2.0,,5.0,2.0,3.0,5.0,6.0,,,,1.0,2.0,2.0,4.0,,,1.0,,1.0,1.0,1.0,1.0,8.0,2.0,4.0,0.3333333333333333,0.5,0.375,0.3333333333333333,0.45,0.3333333333333333,0.45,0.3333333333333333,0.2,0.125,0.2,1.0,1.0,1.0,1.0,1.0,1.0,100.85603112840467,1.0,9.363636363636363,22.0,9.181818181818182,22.0,0.5,0.4,0.5,,0.2,1.0,1.0,0.3333333333333333,,0.7,0.474635,0.47326666666666667,,,0.2,6.4625,26.3,0.36363636363636365,1.0,,0.1,1.0,2.0,,,1.0,,,2.0,4.0,,1.0,1.0,,,,,,1.0,1.0,1.0,0.2,,0.16666666666666666,,,,,,0.2,0.5,0.5,,,,0.5096,0.2,1.0,,,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,1.0,0.5,0.5,0.5,0.3333333333333333,1.0,,,,,,0.5,0.5,1.0,1.0,0.5,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2013,2012-13,True
101106-101127-201171-202691-2210,1610612744,"Andrew Bogut, Jarrett Jack, Carl Landry, Klay Thompson, Richard Jefferson","Bogut, Jack, Landry, Thompson, Jefferson",101106-101127-201171-202691-2210,GSW,40.0,1,1.0,4.0,2.0,2.0,,,,4.0,1.0,1.0,,,,,,1.0,1.0,,2.0,4.0,,,,,,,,2.0,,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,,2.0,1.0,,,,,4.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,,1.0,,1.0,,144.0,,4.5,15.5,4.5,15.5,1.0,1.0,1.0,1.0,,,,,,1.0,0.7112,,0.5,0.5,,0.6,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2013,2012-13,True
101106-101127-201939-202691-203084,1610612744,"Andrew Bogut, Jarrett Jack, Stephen Curry, Klay Thompson, Harrison Barnes","Bogut, Jack, Curry, Thompson, Barnes",101106-101127-201939-202691-203084,GSW,6441.0,17,107.0,-17.0,209.0,207.0,24.0,39.0,30.0,416.0,38.0,65.0,13.0,3.0,8.0,33.0,5.0,65.0,137.0,46.0,42.0,208.0,225.0,22.0,4.0,11.0,6.0,6.0,14.0,64.0,33.0,10.0,32.0,43.0,22.0,97.0,30.0,38.0,71.0,107.0,14.0,8.0,3.0,22.0,36.0,7.0,50.0,58.0,1.0,60.0,26.0,6.0,5.0,6.0,4.0,171.0,14.0,24.0,0.49230769230769234,0.5423728813559322,0.4744525547445255,0.36363636363636365,0.453551912568306,0.23529411764705882,0.49047619047619045,0.3181818181818182,0.25136612021857924,0.072992700729927,0.09230769230769231,0.7037037037037037,0.8333333333333334,0.7555555555555555,0.7142857142857143,0.8095238095238095,0.8214285714285714,93.00419189566838,0.6666666666666666,15.569377990430622,15.396135265700483,14.85645933014354,14.72463768115942,0.3551912568306011,0.5846153846153846,0.6440677966101694,0.5789473684210527,0.18032786885245902,0.5,0.47058823529411764,0.375,0.29411764705882354,0.6065573770491803,0.4940546448087431,0.5433235294117646,0.12682926829268293,0.16352201257861634,0.0673076923076923,7.679562043795619,25.25,0.11483253588516747,35.0,16.0,0.1912568306010929,12.0,37.0,15.0,2.0,13.0,4.0,8.0,37.0,66.0,14.0,20.0,36.0,6.0,6.0,3.0,6.0,5.0,0.5909090909090909,0.5576923076923077,0.5606060606060606,0.2777777777777778,0.4117647058823529,0.32075471698113206,0.32,0.32,0.5789473684210527,0.875,0.0625,0.20218579234972678,0.32432432432432434,0.36363636363636365,0.42857142857142855,0.42857142857142855,0.07692307692307693,0.5064529411764706,0.1778846153846154,8.0,4.0,13.0,8.0,12.0,33.0,12.0,8.0,11.0,7.0,4.0,6.0,4.0,14.0,9.0,2.0,,4.0,1.0,2.0,,0.9166666666666666,0.2608695652173913,0.2608695652173913,0.3888888888888889,0.3333333333333333,0.5,0.26666666666666666,0.07103825136612021,0.3076923076923077,0.3076923076923077,1.0,0.24242424242424243,0.24242424242424243,0.875,0.6153846153846154,0.24242424242424243,4.0,0.15,3.0,5.0,4.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,5.0,1.0,3.0,0.25,0.10810810810810811,0.4,0.6666666666666666,0.07692307692307693,0.5,1.0,0.058823529411764705,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2013,2012-13,True
101106-101127-201939-202691-203105,1610612744,"Andrew Bogut, Jarrett Jack, Stephen Curry, Klay Thompson, Festus Ezeli","Bogut, Jack, Curry, Thompson, Ezeli",101106-101127-201939-202691-203105,GSW,22.0,1,,-2.0,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,65.45454545454545,,,22.0,,22.0,,,,,1.0,,,,1.0,1.0,,,,,,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612744,2013,2012-13,True
