EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,LongMidRangeFGA,FG2A,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PlusMinus,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,FTA,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGM,LongMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG3A,PtsAssisted3s,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,ShootingFouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,Assisted3sPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3PctAssisted,SecondChanceArc3Frequency,Fg2aBlocked,SelfOReb,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,Steals,BadPassSteals,LostBallSteals,3pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChanceFtPoints,PtsPutbacks,OffArc3ReboundPct,PenaltyArc3FGA,PenaltyFG3A,2pt And 1 Free Throw Trips,PenaltyArc3Frequency,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,Corner3Assists,Travels,Loose Ball Fouls,BlockedShortMidRange,PenaltyFg3Pct,ShortMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,StepOutOfBoundsTurnovers,Charge Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,SecondChanceFg3Pct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3SecondViolations,BlockingFouls,DefensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,FTOffRebounds,OffFTReboundPct,OffensiveGoaltends,BlockedLongMidRange,HeaveAttempts,BlockedCorner3,Corner3PctBlocked,SecondChanceCorner3FGM,Clear Path Fouls,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveMakes,team_id,year,season,team_vs
101126-1737-1888-201158-201959,1610612741,"Nate Robinson, Nazr Mohammed, Richard Hamilton, Marco Belinelli, Taj Gibson","Robinson, Mohammed, Hamilton, Belinelli, Gibson",101126-1737-1888-201158-201959,CHI,38.0,1,1.0,1.0,1.0,2.0,1.0,1.0,75.78947368421053,17.0,21.0,17.0,21.0,1.0,0.3981,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
101126-1737-1888-201158-2736,1610612741,"Nate Robinson, Nazr Mohammed, Richard Hamilton, Marco Belinelli, Luol Deng","Robinson, Mohammed, Hamilton, Belinelli, Deng",101126-1737-1888-201158-2736,CHI,194.0,1,3.0,5.0,6.0,11.0,,3.0,81.64948453608247,22.6,13.5,19.6,12.333333333333334,,0.58238,4.066666666666666,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,7.0,6.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.5,0.5,0.5,0.5,0.6666666666666666,1.0,0.7,1.0,0.7,1.0,0.4,1.0,1.0,0.5,1.0,0.4,1.0,1.0,0.5,0.2,0.2,0.2,1.0,1.0,1.0,1.0,0.8,1.0,0.67,0.2857142857142857,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
101126-1737-1888-201959-202710,1610612741,"Nate Robinson, Nazr Mohammed, Richard Hamilton, Taj Gibson, Jimmy Butler","Robinson, Mohammed, Hamilton, Gibson, Butler",101126-1737-1888-201959-202710,CHI,65.0,2,1.0,3.0,2.0,5.0,2.0,3.0,110.76923076923077,10.0,17.5,10.0,17.0,0.6666666666666666,0.45036666666666664,12.299999999999999,3.0,,1.0,1.0,,,,,,,1.0,,,3.0,,,,,2.0,,,,,1.0,1.0,1.0,2.0,,,2.0,,,,1.0,3.0,1.0,1.0,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,0.3333333333333333,,,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.44965,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
101126-1737-1888-201959-2736,1610612741,"Nate Robinson, Nazr Mohammed, Richard Hamilton, Taj Gibson, Luol Deng","Robinson, Mohammed, Hamilton, Gibson, Deng",101126-1737-1888-201959-2736,CHI,658.0,3,11.0,19.0,20.0,39.0,5.0,13.0,85.34954407294833,19.0,14.85,18.68421052631579,13.45,0.29411764705882354,0.4620705882352941,10.607692307692307,-8.0,1.0,3.0,4.0,,,4.0,,1.0,4.0,6.0,1.0,4.0,15.0,23.0,,,,12.0,,,4.0,1.0,6.0,7.0,3.0,15.0,,1.0,9.0,1.0,,3.0,3.0,15.0,1.0,1.0,0.25,0.25,0.46153846153846156,,0.4411764705882353,,0.4411764705882353,,0.23529411764705882,0.3333333333333333,,0.1,,0.23529411764705882,0.75,0.75,1.0,0.23529411764705882,,0.23529411764705882,0.25,0.25,,,0.47058823529411764,0.25,0.51765,,25.225,1.0,5.0,1.0,1.0,,1.0,1.0,,2.0,5.0,1.0,8.0,,,2.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.6363636363636364,,1.0,1.0,0.3598,0.13333333333333333,0.05263157894736842,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.14285714285714285,0.5,0.3333333333333333,0.6666666666666666,1.0,0.5,0.5,0.25,0.25,1.0,0.4,0.4,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
101126-1737-1888-202710-2430,1610612741,"Nate Robinson, Nazr Mohammed, Richard Hamilton, Jimmy Butler, Carlos Boozer","Robinson, Mohammed, Hamilton, Butler, Boozer",101126-1737-1888-202710-2430,CHI,424.0,4,7.0,14.0,14.0,28.0,5.0,16.0,95.09433962264151,18.142857142857142,12.142857142857142,17.142857142857142,11.642857142857142,0.3125,0.467525,8.7125,-7.0,4.0,1.0,6.0,,3.0,5.0,,,,4.0,,,9.0,16.0,,4.0,,4.0,4.0,,,,2.0,2.0,1.0,4.0,,6.0,10.0,2.0,1.0,3.0,6.0,9.0,0.5,0.5,,,0.25,,0.25,,0.2647058823529412,,,0.6666666666666666,,0.5,,0.375,0.16666666666666666,0.2,1.0,0.3125,,,,,0.75,,0.375,,0.568975,,,10.0,2.0,1.0,3.0,1.0,1.0,9.0,1.0,3.0,3.0,1.0,4.0,2.0,,3.0,10.0,0.1111111111111111,0.1111111111111111,0.15,1.0,0.6,0.6,1.0,0.3333333333333333,0.3333333333333333,0.4534333333333333,0.3333333333333333,0.7142857142857143,2.0,1.0,,,,,,1.0,,6.0,,,1.0,1.0,3.0,,1.0,,,,0.5,,0.25,,0.5,,,0.4,0.4,0.5,0.2,0.25,,,,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.16666666666666666,0.2,0.8,0.3333333333333333,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
101126-1737-201149-201158-202710,1610612741,"Nate Robinson, Nazr Mohammed, Joakim Noah, Marco Belinelli, Jimmy Butler","Robinson, Mohammed, Noah, Belinelli, Butler",101126-1737-201149-201158-202710,CHI,287.0,2,5.0,8.0,9.0,17.0,3.0,5.0,85.29616724738676,17.25,16.555555555555557,17.25,16.555555555555557,0.5,0.4993916666666667,11.82,3.0,,1.0,1.0,,,1.0,,1.0,1.0,2.0,1.0,1.0,11.0,8.0,,,,4.0,,3.0,1.0,1.0,2.0,2.0,1.0,4.0,,,3.0,,,,1.0,11.0,1.0,1.0,1.0,1.0,0.4,,0.5833333333333334,,0.6875,,0.16666666666666666,,,,,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,,0.16666666666666666,1.0,1.0,,,0.3333333333333333,1.0,,,24.3,,3.0,,,4.0,,,,,3.0,,3.0,5.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,3.0,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,1.0,1.0,1.0,2.0,1.0,0.375,0.2857142857142857,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
101126-1737-201149-201158-2736,1610612741,"Nate Robinson, Nazr Mohammed, Joakim Noah, Marco Belinelli, Luol Deng","Robinson, Mohammed, Noah, Belinelli, Deng",101126-1737-201149-201158-2736,CHI,140.0,3,2.0,5.0,3.0,8.0,,3.0,82.28571428571428,19.2,14.666666666666666,18.6,14.666666666666666,,0.4891833333333333,3.3666666666666667,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,,2.0,1.0,,3.0,5.0,3.0,1.0,2.0,4.0,,2.0,,2.0,,,,,,2.0,3.0,5.0,,,,,1.0,,,,,0.3333333333333333,0.5,0.16666666666666666,0.5,0.3125,0.6666666666666666,0.5,,0.6666666666666666,0.6,,0.3333333333333333,0.5,0.5,,0.16666666666666666,0.16666666666666666,0.3333333333333333,,,1.0,0.5,0.8333333333333334,,0.4566,0.8,25.633333333333336,,3.0,,,3.0,,,,,2.0,,2.0,4.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,0.5,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,0.2,1.0,,,,,2.0,,0.25,0.4,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
101126-1737-201149-202710-2736,1610612741,"Nate Robinson, Nazr Mohammed, Joakim Noah, Jimmy Butler, Luol Deng","Robinson, Mohammed, Noah, Butler, Deng",101126-1737-201149-202710-2736,CHI,86.0,2,1.0,3.0,3.0,6.0,1.0,3.0,100.46511627906976,15.666666666666666,13.0,15.666666666666666,13.0,0.25,0.4989,8.866666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,2.0,,1.0,5.0,4.0,1.0,1.0,3.0,2.0,2.0,,1.0,,1.0,1.0,,2.0,,1.0,2.0,,,,1.0,2.0,0.5,1.0,,,0.6666666666666666,1.0,0.5,1.0,0.625,1.5,0.25,,,0.5,,0.25,1.0,1.0,,0.25,,0.25,,,1.0,1.0,0.5,,0.6452,0.6,25.8,2.0,,,,1.0,1.0,1.0,,2.0,1.0,,1.0,1.0,,2.0,2.0,1.0,0.5,0.5,,0.5,0.5,,,,0.4806,0.4,0.6666666666666666,,1.0,,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,1.0,,,,0.5,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,0.5,,,,,,1.0,,0.25,0.3333333333333333,,1.0,2.0,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
101126-1737-201158-201161-201959,1610612741,"Nate Robinson, Nazr Mohammed, Marco Belinelli, Daequan Cook, Taj Gibson","Robinson, Mohammed, Belinelli, Cook, Gibson",101126-1737-201158-201161-201959,CHI,112.0,1,2.0,3.0,4.0,7.0,2.0,3.0,90.0,17.0,15.25,15.666666666666666,14.0,0.5,0.529675,12.799999999999999,-3.0,1.0,,1.0,,1.0,,,,1.0,,,1.0,,3.0,,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,0.25,,1.0,0.25,,0.25,,,,,,0.25,,,1.0,,0.5,,,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
101126-1737-201158-201161-202710,1610612741,"Nate Robinson, Nazr Mohammed, Marco Belinelli, Daequan Cook, Jimmy Butler","Robinson, Mohammed, Belinelli, Cook, Butler",101126-1737-201158-201161-202710,CHI,152.0,1,3.0,3.0,4.0,7.0,,3.0,66.31578947368422,24.0,20.0,16.666666666666668,17.25,,0.4663125,4.533333333333333,-2.0,1.0,,2.0,,1.0,1.0,,,1.0,,,1.0,,2.0,,1.0,,,,,1.0,,,,,,1.0,1.0,3.0,,,,1.0,,,,,,,,,,,,0.25,,1.0,0.25,,0.5,,,,0.25,,0.25,,,1.0,,0.75,,,,28.2,,1.0,,,,,,,,1.0,,2.0,,,,,,,,,0.25,0.4,0.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,0.3333333333333333,0.5,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
