EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,3SecondViolations,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PlusMinus,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGA,PenaltyFG2A,Defensive 3 Seconds Violations,PenaltyOffPossExcludingTakeFouls,PenaltyAtRimFrequency,PenaltyShotQualityAvg,PenaltyOffPossPct,PenaltyAtRimFGM,ShortMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG2M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,BadPassSteals,BlockingFouls,Fouls,Loose Ball Fouls,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,FtPoints,SecondChanceFtPoints,PenaltyFtPoints,Fg2aBlocked,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,OffLongMidRangeReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,PenaltyTurnovers,ShootingFouls,LiveBallTurnoverPct,DefFTReboundPct,Corner3FGM,PenaltyCorner3FGM,PenaltyFG3M,Corner3Assists,PenaltyFg3Pct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3FGA,SecondChanceTurnovers,Loose Ball Fouls Drawn,BlockedShortMidRange,ShortMidRangePctBlocked,SecondChanceAtRimPctAssisted,PenaltyArc3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,PtsUnassisted3s,Fg3aBlocked,Charge Fouls,Offensive Fouls,Charge Fouls Drawn,Technical Free Throw Trips,OffensiveGoaltends,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,PenaltyArc3FGM,HeaveAttempts,BlockingFoulsDrawn,PenaltyArc3Accuracy,FTOffRebounds,OffFTReboundPct,Blocked3s,BlockedArc3,Clear Path Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3pt And 1 Free Throw Trips,BlockedCorner3,Corner3PctBlocked,team_id,year,season,team_vs
101126-1737-1888-201158-201959,1610612741,"Nate Robinson, Nazr Mohammed, Richard Hamilton, Marco Belinelli, Taj Gibson","Robinson, Mohammed, Hamilton, Belinelli, Gibson",101126-1737-1888-201158-201959,CHI,38.0,1,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75.78947368421053,21.0,17.0,21.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
101126-1737-1888-201158-2736,1610612741,"Nate Robinson, Nazr Mohammed, Richard Hamilton, Marco Belinelli, Luol Deng","Robinson, Mohammed, Hamilton, Belinelli, Deng",101126-1737-1888-201158-2736,CHI,194.0,1,3.0,6.0,5.0,11.0,1.0,1.0,3.0,3.0,3.0,,1.0,0.5,,81.64948453608247,13.5,22.6,12.333333333333334,19.6,-1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,6.0,7.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.3333333333333333,0.3333333333333333,0.6,0.5,0.6,0.5,0.6,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.6,0.6666666666666666,0.6666666666666666,0.5,0.2,0.2,1.0,1.0,1.0,0.5,0.6,0.52178,0.51935,0.3333333333333333,7.220000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
101126-1737-1888-201959-202710,1610612741,"Nate Robinson, Nazr Mohammed, Richard Hamilton, Taj Gibson, Jimmy Butler","Robinson, Mohammed, Hamilton, Gibson, Butler",101126-1737-1888-201959-202710,CHI,65.0,2,1.0,2.0,3.0,5.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,110.76923076923077,17.5,10.0,17.0,10.0,-3.0,1.0,,2.0,,1.0,,,,,2.0,,3.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,0.5,0.5,0.5,,,0.5,1.0,,,,,,,,1.0,,1.0,0.513,0.4548,,2.45,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.513,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
101126-1737-1888-201959-2736,1610612741,"Nate Robinson, Nazr Mohammed, Richard Hamilton, Taj Gibson, Luol Deng","Robinson, Mohammed, Hamilton, Gibson, Deng",101126-1737-1888-201959-2736,CHI,658.0,3,11.0,20.0,19.0,39.0,6.0,9.0,13.0,,,,0.8571428571428571,0.9,0.6666666666666666,85.34954407294833,14.85,19.0,13.45,18.68421052631579,8.0,3.0,5.0,6.0,2.0,2.0,6.0,2.0,6.0,10.0,18.0,23.0,15.0,2.0,3.0,4.0,8.0,12.0,4.0,5.0,2.0,11.0,2.0,4.0,1.0,1.0,,,,,3.0,19.0,0.4,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.5,0.5,0.4791666666666667,0.5,0.2857142857142857,0.36363636363636365,1.0,0.3333333333333333,1.0,0.09090909090909091,0.2608695652173913,0.8333333333333334,0.8333333333333334,0.4,0.2608695652173913,0.2608695652173913,0.3333333333333333,0.3333333333333333,0.5,1.0,0.4782608695652174,0.4643434782608696,0.488225,0.17391304347826086,9.183333333333334,5.0,1.0,1.0,4.0,,5.0,0.2,0.46871,0.25,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,1.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,0.2,0.2,0.5,0.4,0.4,0.21739130434782608,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.6666666666666666,0.08695652173913043,0.13043478260869565,0.3333333333333333,0.3333333333333333,1.0,0.25,1.0,0.2,0.3333333333333333,0.041666666666666664,0.05263157894736842,0.17391304347826086,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
101126-1737-1888-202710-2430,1610612741,"Nate Robinson, Nazr Mohammed, Richard Hamilton, Jimmy Butler, Carlos Boozer","Robinson, Mohammed, Hamilton, Butler, Boozer",101126-1737-1888-202710-2430,CHI,424.0,4,7.0,14.0,14.0,28.0,6.0,6.0,8.0,3.0,3.0,,0.5,0.5,0.75,95.09433962264151,12.142857142857142,18.142857142857142,11.642857142857142,17.142857142857142,7.0,2.0,3.0,4.0,,1.0,,2.0,6.0,5.0,10.0,16.0,9.0,,1.0,2.0,6.0,4.0,3.0,3.0,2.0,6.0,2.0,2.0,,2.0,1.0,2.0,,,6.0,14.0,0.6,0.6,0.5,,0.5,,0.6153846153846154,0.5,0.4,0.4,,,0.6666666666666666,,0.4,0.75,1.0,0.6666666666666666,,0.6,0.3333333333333333,0.3333333333333333,1.0,,0.4,0.51879,0.4942,0.125,11.61,2.0,10.0,1.0,1.0,,2.0,1.0,0.6866,0.14285714285714285,1.0,,,,,,,,,,1.0,,4.0,,,,,,,,,,1.0,,1.0,,,7.0,3.0,4.0,,,,1.0,1.0,1.0,,,,,,0.2,,,,,,,,,,,1.0,,,0.25,0.25,0.25,,6.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.1,0.25,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
101126-1737-201149-201158-202710,1610612741,"Nate Robinson, Nazr Mohammed, Joakim Noah, Marco Belinelli, Jimmy Butler","Robinson, Mohammed, Noah, Belinelli, Butler",101126-1737-201149-201158-202710,CHI,287.0,2,5.0,9.0,8.0,17.0,3.0,4.0,4.0,,2.0,,1.0,1.0,1.0,85.29616724738676,16.555555555555557,17.25,16.555555555555557,17.25,-3.0,,1.0,1.0,,,3.0,1.0,2.0,3.0,6.0,8.0,11.0,,,,2.0,4.0,1.0,1.0,,2.0,,,,,,,,,1.0,8.0,0.3333333333333333,0.3333333333333333,0.5,,0.5,,0.5714285714285714,,,,,,,,0.16666666666666666,1.0,1.0,,0.5,0.3333333333333333,0.5,0.5,,,0.16666666666666666,0.45693333333333336,,,9.233333333333333,3.0,,,1.0,,3.0,,0.3561,0.3333333333333333,,1.0,,,,,,,,,,,2.0,,,,,,,1.0,,,,,3.0,,,2.0,,2.0,,,,,,0.5,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,0.25,,2.0,,2.0,,,,,1.0,,,,,,,1.0,,,,,,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
101126-1737-201149-201158-2736,1610612741,"Nate Robinson, Nazr Mohammed, Joakim Noah, Marco Belinelli, Luol Deng","Robinson, Mohammed, Noah, Belinelli, Deng",101126-1737-201149-201158-2736,CHI,140.0,3,2.0,3.0,5.0,8.0,1.0,2.0,2.0,,,,0.5,0.4,,82.28571428571428,14.666666666666666,19.2,14.666666666666666,18.6,-2.0,,,1.0,,,,,1.0,,2.0,3.0,5.0,,,,,,,1.0,,3.0,,,,,,,,,,3.0,,,,,0.5,,0.5,,,,,,,,0.3333333333333333,,,,,0.3333333333333333,,,,,0.6666666666666666,0.57155,,,8.4,3.0,,1.0,2.0,,3.0,0.3333333333333333,0.57155,1.0,,,1.0,1.0,,,,1.0,1.0,,,1.0,3.0,3.0,,,,1.0,,,,1.0,,,2.0,,,,,3.0,1.0,1.0,1.0,,0.5,0.5,0.3333333333333333,0.3333333333333333,,,,1.0,,,,,0.3333333333333333,,,,,,,0.3333333333333333,,,,1.0,23.0,,,,1.0,,,,,,,,,,,,0.5,1.0,,,,,,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
101126-1737-201149-202710-2736,1610612741,"Nate Robinson, Nazr Mohammed, Joakim Noah, Jimmy Butler, Luol Deng","Robinson, Mohammed, Noah, Butler, Deng",101126-1737-201149-202710-2736,CHI,86.0,2,1.0,3.0,3.0,6.0,,1.0,2.0,,,,,0.5,,100.46511627906976,13.0,15.666666666666666,13.0,15.666666666666666,-1.0,1.0,,,,,1.0,,2.0,1.0,3.0,4.0,5.0,,,2.0,,2.0,,,,,1.0,1.0,,,,,,,1.0,2.0,,,0.3333333333333333,,0.3333333333333333,,0.5,1.0,0.5,0.5,,,,,,,,,0.3333333333333333,0.6666666666666666,,,,,,0.41183333333333333,,0.5,14.966666666666667,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,2.0,1.0,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,0.25,0.25,,,2.0,2.0,,,,,,,,,,,,,,,,0.5,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
101126-1737-201158-201161-201959,1610612741,"Nate Robinson, Nazr Mohammed, Marco Belinelli, Daequan Cook, Taj Gibson","Robinson, Mohammed, Belinelli, Cook, Gibson",101126-1737-201158-201161-201959,CHI,112.0,1,2.0,4.0,3.0,7.0,3.0,3.0,4.0,,2.0,,1.0,0.75,1.0,90.0,15.25,17.0,14.0,15.666666666666666,3.0,1.0,1.0,2.0,,,,,,1.0,2.0,3.0,,,,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,1.0,2.0,1.0,1.0,0.5,,0.5,,0.5,0.5,1.0,1.0,1.0,,,,1.0,0.5,0.5,1.0,,,,,,,1.0,0.53205,,0.3333333333333333,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
101126-1737-201158-201161-202710,1610612741,"Nate Robinson, Nazr Mohammed, Marco Belinelli, Daequan Cook, Jimmy Butler","Robinson, Mohammed, Belinelli, Cook, Butler",101126-1737-201158-201161-202710,CHI,152.0,1,3.0,4.0,3.0,7.0,3.0,3.0,6.0,,1.0,,1.0,0.75,,66.31578947368422,20.0,24.0,17.25,16.666666666666668,2.0,2.0,1.0,3.0,1.0,2.0,1.0,,1.0,1.0,5.0,2.0,,1.0,3.0,2.0,,2.0,,,,,3.0,3.0,,,,,,,1.0,,,,0.2,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.75,0.6,0.5,1.0,1.0,,0.5,0.3333333333333333,0.3333333333333333,,0.16666666666666666,0.16666666666666666,,,0.6666666666666666,0.5,0.6666666666666666,0.5558500000000001,0.5782666666666666,1.0,6.659999999999999,1.0,,,,,1.0,,,0.25,,,,,,1.0,,,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,,,,,1.0,,,,,,0.16666666666666666,,,,,,,,,,,25.6,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
