EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PtsUnassisted2s,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,DefensiveGoaltends,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,DeadBallTurnovers,ShootingFouls,PenaltyOffPoss,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,AssistPoints,FTOffRebounds,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,OffFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,LostBallTurnovers,DefLongMidRangeReboundPct,Blocked2s,BlockedAtRim,RecoveredBlocks,BlocksRecoveredPct,AtRimAssists,Steals,BadPassSteals,AtRimPctAssisted,StepOutOfBoundsTurnovers,PenaltyFtPoints,LostBallSteals,BadPassOutOfBoundsTurnovers,BlockedShortMidRange,FTDefRebounds,DefFTReboundPct,OffThreePtRebounds,BlockingFouls,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyTurnovers,Charge Fouls,Travels,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangeAssists,OffensiveGoaltends,NonShootingPenaltyNonTakeFouls,OffCorner3ReboundPct,LongMidRangePctAssisted,Loose Ball Fouls Drawn,Loose Ball Fouls,BlockingFoulsDrawn,PtsUnassisted3s,HeaveAttempts,LostBallOutOfBoundsTurnovers,LongMidRangePctBlocked,SecondChanceCorner3FGA,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,Clear Path Fouls,Charge Fouls Drawn,Offensive Fouls,3pt And 1 Free Throw Trips,3SecondViolations,BlockedLongMidRange,Defensive 3 Seconds Violations,Corner3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,team_id,year,season,team_vs
101111-101131-101181-101198-201155,1610612765,"Charlie Villanueva, Jason Maxiell, Jose Calderon, Will Bynum, Rodney Stuckey","Villanueva, Maxiell, Calderon, Bynum, Stuckey",101111-101131-101181-101198-201155,DET,291.0,2,5.0,-2.0,9.0,10.0,5.0,1.0,19.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,7.0,4.0,8.0,10.0,1.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,8.0,0.2857142857142857,0.2857142857142857,0.4444444444444444,0.2857142857142857,0.25,0.5,1.0,0.6,0.4,1.0,0.6666666666666666,0.4,0.6666666666666666,1.0,0.5,1.0,0.3333333333333333,94.02061855670104,18.555555555555557,12.4,17.666666666666668,11.6,0.5714285714285714,0.25,0.3333333333333333,0.2857142857142857,0.14285714285714285,1.0,1.0,1.0,0.5714285714285714,0.48145714285714286,0.3273,0.2222222222222222,0.2222222222222222,6.357142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2013,2012-13,False
101111-101131-101181-101198-202688,1610612765,"Charlie Villanueva, Jason Maxiell, Jose Calderon, Will Bynum, Brandon Knight","Villanueva, Maxiell, Calderon, Bynum, Knight",101111-101131-101181-101198-202688,DET,15.0,1,,-2.0,1.0,1.0,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,192.0,,15.0,,15.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2013,2012-13,False
101111-101131-101181-101198-203114,1610612765,"Charlie Villanueva, Jason Maxiell, Jose Calderon, Will Bynum, Khris Middleton","Villanueva, Maxiell, Calderon, Bynum, Middleton",101111-101131-101181-101198-203114,DET,206.0,1,3.0,7.0,5.0,5.0,,4.0,10.0,2.0,6.0,4.0,2.0,1.0,2.0,4.0,10.0,,14.0,7.0,6.0,6.0,2.0,6.0,1.0,1.0,2.0,7.0,9.0,,,,,,,1.0,,1.0,1.0,,3.0,0.4,0.5833333333333334,0.5833333333333334,0.2,0.3333333333333333,,,0.5,1.0,0.3333333333333333,0.4,1.0,1.0,,1.0,,,69.90291262135922,20.2,21.0,14.6,17.2,0.5,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,0.5,0.5,0.5714285714285714,0.6666666666666666,0.5099208333333333,0.5732,0.08333333333333333,0.1,5.58,,,4.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,11.0,2.0,6.0,2.0,2.0,10.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,10.0,4.0,0.25,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.7857142857142857,0.625,0.7857142857142857,0.625,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.08333333333333333,1.0,1.0,1.0,0.08333333333333333,1.0,1.0,1.0,0.5,0.14285714285714285,1.0,1.0,0.5,0.25,0.125,1.0,0.125,1.0,1.0,0.54778125,0.7857142857142857,0.7142857142857143,25.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2013,2012-13,False
101111-101131-101181-201155-202688,1610612765,"Charlie Villanueva, Jason Maxiell, Jose Calderon, Rodney Stuckey, Brandon Knight","Villanueva, Maxiell, Calderon, Stuckey, Knight",101111-101131-101181-201155-202688,DET,78.0,1,1.0,-4.0,3.0,3.0,,1.0,6.0,,,,1.0,,,,1.0,1.0,1.0,5.0,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,2.0,1.0,,,,,0.25,,,,1.0,0.5,,,0.5,,,,,,,110.76923076923076,14.0,12.0,9.333333333333334,11.666666666666666,,,,1.0,,,,,,0.4466,,0.5,0.5,6.9,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2013,2012-13,False
101111-101131-101181-201155-202713,1610612765,"Charlie Villanueva, Jason Maxiell, Jose Calderon, Rodney Stuckey, Kyle Singler","Villanueva, Maxiell, Calderon, Stuckey, Singler",101111-101131-101181-201155-202713,DET,125.0,1,2.0,1.0,4.0,4.0,,1.0,8.0,,,,2.0,,2.0,,4.0,,3.0,2.0,,,,1.0,,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,0.3,0.3,,,,,1.0,0.25,,1.0,0.25,,1.0,,,,92.16,18.25,13.0,14.5,13.0,,,,0.4,0.4,,,,0.2,0.4396,0.5565,,,13.05,,,4.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,,4.0,1.0,1.0,3.0,,3.0,,1.0,1.0,,1.0,1.0,1.0,,,3.0,,,,,1.0,3.0,4.0,,,1.0,1.0,1.0,1.0,1.0,,,1.5,0.3,1.5,0.3,0.2,,0.5,,,,,,,,,,0.2,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,0.2,1.0,1.0,0.4396,1.0,1.0,26.7,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2013,2012-13,False
101111-101131-101181-201155-203114,1610612765,"Charlie Villanueva, Jason Maxiell, Jose Calderon, Rodney Stuckey, Khris Middleton","Villanueva, Maxiell, Calderon, Stuckey, Middleton",101111-101131-101181-201155-203114,DET,198.0,1,3.0,1.0,5.0,6.0,,,11.0,2.0,3.0,,,,1.0,2.0,4.0,1.0,8.0,7.0,,2.0,,,,2.0,2.0,,2.0,,,,,,,4.0,,1.0,1.0,,8.0,0.5,0.7,0.8,,,,,1.0,,,0.6666666666666666,,,,,,,80.0,17.0,18.833333333333332,17.0,17.0,0.6,0.6666666666666666,0.6666666666666666,,0.2,,,,0.8,0.6435500000000001,,0.2,0.25,4.525,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,2.0,3.0,,,,1.0,1.0,2.0,,1.0,,5.0,,1.0,,,,,,0.5,0.5,1.0,1.0,,,1.0,,,,,,,0.2,,,,,,,,0.2,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,23.5,,,,1.0,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2013,2012-13,False
101111-101131-101181-202688-202713,1610612765,"Charlie Villanueva, Jason Maxiell, Jose Calderon, Brandon Knight, Kyle Singler","Villanueva, Maxiell, Calderon, Knight, Singler",101111-101131-101181-202688-202713,DET,111.0,2,2.0,-4.0,4.0,4.0,1.0,1.0,8.0,,1.0,,1.0,,,,2.0,,3.0,7.0,,,2.0,2.0,,,,2.0,2.0,,,,1.0,,1.0,1.0,,,,,3.0,,0.3,0.3,1.0,1.0,1.0,,,1.0,,,0.5,1.0,,,,,103.78378378378378,16.25,11.5,15.5,11.25,0.2,,,0.2,,,,,0.8,0.50441,0.4254,,,3.4,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,2.0,,1.0,,,1.0,3.0,,,1.0,,,,,1.0,,,3.0,,2.0,1.0,,1.0,1.0,1.0,,,3.0,,,,,,,1.0,,,1.0,0.3333333333333333,,,0.3333333333333333,,,,,,,0.6,,1.0,,,,,,0.2,,,,0.4,0.5,0.5,1.0,,1.0,,,,,1.0,,,,0.5,0.2934,,,25.599999999999998,0.25,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2013,2012-13,False
101111-101131-101181-202688-203114,1610612765,"Charlie Villanueva, Jason Maxiell, Jose Calderon, Brandon Knight, Khris Middleton","Villanueva, Maxiell, Calderon, Knight, Middleton",101111-101131-101181-202688-203114,DET,214.0,2,4.0,1.0,5.0,7.0,,,12.0,,,,1.0,,2.0,,3.0,,6.0,5.0,,,,,,3.0,3.0,,3.0,,,,,,2.0,,,,,,6.0,,0.6,0.6,,,,,1.0,,,1.0,,,,,,,80.74766355140187,19.6,16.571428571428573,19.6,16.571428571428573,,,,0.2,0.4,,,,0.4,0.42926000000000003,,,,14.466666666666667,,1.0,5.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,2.0,,,,,,3.0,2.0,2.0,6.0,,6.0,,1.0,1.0,,2.0,2.0,1.0,1.0,,6.0,,,,,,6.0,5.0,,,1.0,1.0,,1.0,1.0,,,,0.6,,0.6,0.4,,,,,,,,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,,,,,,,0.2,1.0,0.2,1.0,1.0,0.42926000000000003,,1.0,25.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2013,2012-13,False
101111-101131-101198-201155-202688,1610612765,"Charlie Villanueva, Jason Maxiell, Will Bynum, Rodney Stuckey, Brandon Knight","Villanueva, Maxiell, Bynum, Stuckey, Knight",101111-101131-101198-201155-202688,DET,421.0,3,7.0,-3.0,12.0,14.0,2.0,3.0,26.0,2.0,4.0,1.0,2.0,,2.0,3.0,8.0,2.0,8.0,11.0,1.0,4.0,2.0,3.0,2.0,4.0,6.0,3.0,9.0,,,,2.0,1.0,2.0,3.0,,2.0,1.0,,6.0,0.375,0.25,0.3076923076923077,0.25,0.25,0.5,,0.6666666666666666,0.6,1.0,0.75,0.3333333333333333,0.5,0.6666666666666666,0.5,1.0,,88.93111638954869,19.0,13.785714285714286,17.166666666666668,12.714285714285714,0.3333333333333333,0.5,0.6666666666666666,0.16666666666666666,0.16666666666666666,,,1.0,0.6666666666666666,0.5483708333333334,0.7649,0.07692307692307693,0.1111111111111111,6.3375,2.0,1.0,1.0,,,,1.0,,2.0,,,,2.0,,,,,,4.0,,,,2.0,,1.0,,,2.0,2.0,,,2.0,,1.0,,1.0,,,,2.0,,,,,1.0,2.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,0.5,0.5,0.3333333333333333,,,1.0,1.0,0.5,1.0,,0.16666666666666666,,,,0.16666666666666666,,,,,,,,,,,,,,,0.3537,0.25,0.25,25.424999999999997,0.08333333333333333,2.0,,1.0,1.0,,,,1.0,1.0,,0.5,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2013,2012-13,False
101111-101131-101198-201155-202713,1610612765,"Charlie Villanueva, Jason Maxiell, Will Bynum, Rodney Stuckey, Kyle Singler","Villanueva, Maxiell, Bynum, Stuckey, Singler",101111-101131-101198-201155-202713,DET,560.0,3,9.0,-5.0,17.0,20.0,,,37.0,3.0,5.0,,3.0,,2.0,6.0,10.0,3.0,24.0,29.0,,10.0,1.0,,2.0,5.0,7.0,,7.0,,3.0,1.0,3.0,,3.0,2.0,,3.0,2.0,,24.0,0.6,0.8076923076923077,0.8571428571428571,0.1,0.2,,1.0,0.8333333333333334,,1.0,0.875,,,0.5,1.0,,,95.14285714285714,16.41176470588235,14.05,16.41176470588235,13.75,0.38461538461538464,0.6,0.75,0.23076923076923078,0.15384615384615385,,,,0.6153846153846154,0.5788884615384615,,0.14285714285714285,0.18181818181818182,5.86,,3.0,3.0,,1.0,1.0,3.0,1.0,1.0,,,2.0,2.0,,,,,3.0,3.0,,,,,2.0,3.0,,,4.0,2.0,9.0,,2.0,2.0,1.0,3.0,4.0,2.0,1.0,,11.0,,1.0,,,2.0,4.0,3.0,0.16666666666666666,0.16666666666666666,1.0,1.0,,,1.0,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,0.23076923076923078,,,,1.0,1.0,1.0,,0.07692307692307693,1.0,1.0,1.0,0.15384615384615385,1.0,1.0,1.0,,,,,0.3333333333333333,1.0,,,,,1.0,0.5456,,0.16666666666666666,25.3,0.17647058823529413,,2.0,1.0,2.0,1.0,1.0,0.5,1.0,,,0.3333333333333333,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2013,2012-13,False
