EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,BlockingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Loose Ball Fouls,Loose Ball Fouls Drawn,DefensiveGoaltends,Offensive Fouls Drawn,ShortMidRangeFGM,Fg2aBlocked,ShortMidRangeAssists,ShootingFouls,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,OffLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Technical Free Throw Trips,Corner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,PenaltyFtPoints,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,RecoveredBlocks,OffCorner3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Corner3Frequency,SecondChanceArc3Frequency,LongMidRangeAssists,LongMidRangePctAssisted,PenaltyArc3FGA,PenaltyFG3A,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyArc3Frequency,Offensive Fouls,SecondChanceCorner3FGA,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Charge Fouls,Charge Fouls Drawn,BlockedAtRim,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LongMidRangePctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,NonHeaveArc3Accuracy,Corner3FGM,PenaltyCorner3FGA,Corner3Assists,FTOffRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,OffFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,HeaveAttempts,PtsUnassisted3s,3SecondViolations,BlockingFoulsDrawn,FTDefRebounds,DefFTReboundPct,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,OffensiveGoaltends,Fg3aBlocked,3pt And 1 Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,Blocked3s,BlockedArc3,BlockedCorner3,Corner3PctBlocked,team_id,year,season,team_vs
101179-200746-200777-201587-201964,1610612757,"Ronnie Price, LaMarcus Aldridge, Joel Freeland, Nicolas Batum, Victor Claver","Price, Aldridge, Freeland, Batum, Claver",101179-200746-200777-201587-201964,POR,295.0,2,5.0,6.0,9.0,10.0,3.0,4.0,2.0,19.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,6.0,8.0,2.0,2.0,14.0,8.0,2.0,2.0,1.0,5.0,1.0,3.0,2.0,4.0,8.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,5.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,9.0,2.0,3.0,1.0,0.3333333333333333,0.4,0.75,1.0,0.3333333333333333,0.6,1.0,0.3333333333333333,0.7,1.25,0.3333333333333333,0.2,1.0,0.8,0.5,1.0,0.5,0.8333333333333334,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,92.7457627118644,17.11111111111111,14.1,16.555555555555557,13.6,0.4,1.0,1.0,0.5,0.1,0.3,0.6666666666666666,0.6666666666666666,0.2,1.0,1.0,0.5,0.3333333333333333,1.0,0.6,0.52878,0.6007,0.49046666666666666,0.2,0.25,0.35714285714285715,0.14285714285714285,7.5875,24.8,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2013,2012-13,False
101179-200746-200777-201587-202083,1610612757,"Ronnie Price, LaMarcus Aldridge, Joel Freeland, Nicolas Batum, Wesley Matthews","Price, Aldridge, Freeland, Batum, Matthews",101179-200746-200777-201587-202083,POR,105.0,1,2.0,-2.0,4.0,4.0,2.0,,,8.0,,,,,,,3.0,,,,,3.0,,2.0,2.0,4.0,,,,,,2.0,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,1.0,3.0,2.0,,1.0,,,,2.0,,2.0,,,,,,,,,,0.25,,,,,1.0,,,,1.0,,,,1.0,1.0,,,,109.71428571428571,17.25,9.0,17.25,9.0,,,,,1.0,,,,,,,,,,,0.38976666666666665,,0.37915,0.25,0.25,,,9.166666666666666,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2013,2012-13,False
101179-200746-200777-201587-203081,1610612757,"Ronnie Price, LaMarcus Aldridge, Joel Freeland, Nicolas Batum, Damian Lillard","Price, Aldridge, Freeland, Batum, Lillard",101179-200746-200777-201587-203081,POR,21.0,1,,2.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,1.0,1.0,,1.0,1.0,,,2.0,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,2.0,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,137.14285714285714,5.0,16.0,5.0,16.0,,,,,,1.0,1.0,1.0,,,,,,,,0.3553,,0.3553,,,,1.0,19.8,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2013,2012-13,False
101179-200746-200777-201587-203115,1610612757,"Ronnie Price, LaMarcus Aldridge, Joel Freeland, Nicolas Batum, Will Barton","Price, Aldridge, Freeland, Batum, Barton",101179-200746-200777-201587-203115,POR,65.0,1,1.0,-2.0,2.0,2.0,,2.0,1.0,4.0,,2.0,,2.0,,,1.0,,1.0,,1.0,4.0,,,2.0,4.0,1.0,3.0,,2.0,,,,2.0,,,,1.0,1.0,,2.0,,3.0,,,,3.0,3.0,1.0,,,1.0,1.0,1.0,,,2.0,,,,,,,,,,,1.0,1.0,1.0,0.25,0.3333333333333333,,0.25,0.3333333333333333,,0.25,0.3333333333333333,,,1.0,,1.0,,,,1.0,,,,,,,0.5,88.61538461538463,24.0,8.5,14.5,8.5,0.5,,,,0.25,0.25,,,,0.6666666666666666,,,,,0.5,0.49915,0.5317,,,,1.0,,6.375,,,,,,,1.0,1.0,1.0,1.0,0.25,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2013,2012-13,False
101179-200746-200777-201964-202083,1610612757,"Ronnie Price, LaMarcus Aldridge, Joel Freeland, Victor Claver, Wesley Matthews","Price, Aldridge, Freeland, Claver, Matthews",101179-200746-200777-201964-202083,POR,35.0,1,1.0,-2.0,1.0,2.0,,,,3.0,,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,3.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,123.42857142857142,12.0,11.5,12.0,11.5,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2013,2012-13,False
101179-200746-200777-202083-203115,1610612757,"Ronnie Price, LaMarcus Aldridge, Joel Freeland, Wesley Matthews, Will Barton","Price, Aldridge, Freeland, Matthews, Barton",101179-200746-200777-202083-203115,POR,303.0,2,5.0,3.0,9.0,9.0,4.0,,1.0,18.0,2.0,2.0,,,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,2.0,1.0,7.0,4.0,,,,,2.0,3.0,5.0,2.0,4.0,,1.0,1.0,1.0,1.0,2.0,1.0,,2.0,4.0,6.0,1.0,7.0,,,,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,5.0,4.0,,0.3333333333333333,0.3333333333333333,0.6,,0.6666666666666666,0.42857142857142855,,0.6666666666666666,0.5,,0.8333333333333334,0.2857142857142857,0.3333333333333333,0.8,,1.0,0.5,0.8571428571428571,0.25,,,0.6666666666666666,1.0,1.0,1.0,,85.54455445544555,14.444444444444445,19.22222222222222,13.333333333333334,18.11111111111111,0.2857142857142857,1.0,1.0,0.5,0.14285714285714285,0.2857142857142857,0.5,0.5,0.14285714285714285,,,,0.3333333333333333,1.0,0.5714285714285714,0.49041428571428575,,0.43506666666666666,0.14285714285714285,0.2,,0.7142857142857143,10.8,24.2,0.4444444444444444,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2013,2012-13,False
101179-200746-200777-202083-2562,1610612757,"Ronnie Price, LaMarcus Aldridge, Joel Freeland, Wesley Matthews, Sasha Pavlovic","Price, Aldridge, Freeland, Matthews, Pavlovic",101179-200746-200777-202083-2562,POR,30.0,1,,2.0,1.0,,,,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,,2.0,,,,,,,,,2.0,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,48.0,13.0,,13.0,,,,,,,1.0,1.0,1.0,,,,,,,,0.3558,,,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2013,2012-13,False
101179-200746-200777-202337-203115,1610612757,"Ronnie Price, LaMarcus Aldridge, Joel Freeland, Luke Babbitt, Will Barton","Price, Aldridge, Freeland, Babbitt, Barton",101179-200746-200777-202337-203115,POR,45.0,1,1.0,,2.0,1.0,,,,3.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,96.0,15.5,14.0,15.5,14.0,,,,,,,,,1.0,,,,,,1.0,0.4584,,,,,,,,24.9,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2013,2012-13,False
101179-200746-200777-203081-2562,1610612757,"Ronnie Price, LaMarcus Aldridge, Joel Freeland, Damian Lillard, Sasha Pavlovic","Price, Aldridge, Freeland, Lillard, Pavlovic",101179-200746-200777-203081-2562,POR,379.0,2,6.0,-1.0,11.0,12.0,1.0,2.0,1.0,23.0,2.0,5.0,,1.0,,,,2.0,4.0,2.0,4.0,9.0,2.0,1.0,9.0,10.0,,1.0,,,,,,4.0,4.0,,2.0,2.0,2.0,,4.0,,2.0,1.0,5.0,6.0,2.0,8.0,,1.0,,1.0,,2.0,,,1.0,2.0,1.0,,,,,,9.0,,1.0,,0.5,0.5,0.4444444444444444,,,0.36363636363636365,,,0.36363636363636365,,,0.18181818181818182,0.5,1.0,0.4,1.0,,1.0,0.2857142857142857,,,,1.0,1.0,,,87.38786279683377,16.454545454545453,16.5,16.272727272727273,16.5,0.45454545454545453,0.4,0.4,,,0.36363636363636365,0.5,0.5,0.18181818181818182,1.0,,,,,0.6363636363636364,0.514059090909091,0.6393,0.47325,,,,,9.399999999999999,25.9,0.09090909090909091,1.0,,,,,,,,,,0.6666666666666666,,,,,1.0,,,,,1.0,,,,,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2013,2012-13,False
101179-200746-201581-201587-201964,1610612757,"Ronnie Price, LaMarcus Aldridge, JJ Hickson, Nicolas Batum, Victor Claver","Price, Aldridge, Hickson, Batum, Claver",101179-200746-201581-201587-201964,POR,198.0,3,3.0,-5.0,6.0,7.0,,1.0,,13.0,,,,,,,,1.0,4.0,,1.0,4.0,,,2.0,7.0,,,,,,,,,2.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,2.0,,,2.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,,0.25,,,0.25,,,0.25,,,,,0.5,,,,0.3333333333333333,,,,,0.5,,,,94.54545454545455,16.666666666666668,14.0,16.666666666666668,13.714285714285714,,,,,,1.0,0.25,0.25,,,,,,,,0.416375,,,,,,,19.05,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2013,2012-13,False
