EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,ShortMidRangeAssists,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,DefAtRimReboundPct,ShortMidRangePctAssisted,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,PenaltyCorner3FGA,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PenaltyTurnovers,Offensive Fouls,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGM,PtsUnassisted3s,Fg2aBlocked,Corner3Assists,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,LongMidRangeFGM,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,PenaltyFG3M,PtsPutbacks,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,SecondChanceFg3Pct,PenaltyFg3Pct,OffThreePtReboundPct,OffCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,LongMidRangeAssists,ShortMidRangePctBlocked,OffArc3ReboundPct,LongMidRangePctAssisted,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Loose Ball Fouls,2pt And 1 Free Throw Trips,BlockedShortMidRange,LostBallTurnovers,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFtPoints,Travels,Charge Fouls Drawn,LongMidRangePctBlocked,OffLongMidRangeReboundPct,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,Technical Free Throw Trips,SecondChanceArc3PctAssisted,OffAtRimReboundPct,FTOffRebounds,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,Charge Fouls,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,3SecondViolations,BlockedLongMidRange,Corner3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,HeaveMakes,Blocked3s,BlockedArc3,OffensiveGoaltends,Defensive 3 Seconds Violations,Clear Path Fouls,BlockedCorner3,team_id,year,season,team_vs
101150-1626153-1627789-1628381-201568,1610612737,"Lou Williams, Delon Wright, Timothe Luwawu-Cabarrot, John Collins, Danilo Gallinari","Williams, Wright, Luwawu-Cabarrot, Collins, Gallinari",101150-1626153-1627789-1628381-201568,ATL,541.0,3,9.0,-7.0,15.0,17.0,1.0,2.0,32.0,3.0,3.0,1.0,1.0,1.0,5.0,1.0,2.0,8.0,1.0,4.0,9.0,2.0,8.0,14.0,21.0,1.0,1.0,1.0,2.0,6.0,2.0,6.0,8.0,2.0,3.0,2.0,5.0,2.0,3.0,12.0,2.0,3.0,1.0,1.0,5.0,2.0,7.0,2.0,3.0,2.0,1.0,1.0,5.0,3.0,12.0,1.0,0.75,0.75,1.0,0.25,0.25,0.4444444444444444,1.0,0.4117647058823529,0.5,0.4117647058823529,0.5,0.47058823529411764,1.0,0.5,0.4,0.75,0.6666666666666666,0.18181818181818182,0.5,0.5,1.0,0.18181818181818182,85.17560073937153,17.066666666666666,16.764705882352942,15.8,16.647058823529413,0.17647058823529413,1.0,1.0,1.0,0.29411764705882354,0.2,0.2,0.058823529411764705,0.47058823529411764,0.25,0.25,1.0,0.5,1.0,1.0,0.5,0.6470588235294118,0.25,0.5345882352941176,0.644975,0.14285714285714285,7.1,26.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,False
101150-1626153-1627789-1629629-1630168,1610612737,"Lou Williams, Delon Wright, Timothe Luwawu-Cabarrot, Cam Reddish, Onyeka Okongwu","Williams, Wright, Luwawu-Cabarrot, Reddish, Okongwu",101150-1626153-1627789-1629629-1630168,ATL,114.0,2,2.0,,4.0,3.0,,,7.0,,,,,1.0,1.0,,,2.0,,1.0,1.0,,2.0,2.0,2.0,,,,,2.0,,,2.0,,1.0,,1.0,,,2.0,,,2.0,,2.0,,2.0,,,,,,,1.0,2.0,,1.0,1.0,,,,1.0,,0.3333333333333333,,0.3333333333333333,,0.6666666666666666,,1.0,,,1.0,,,1.0,,,88.42105263157895,17.0,15.333333333333334,17.0,15.333333333333334,,,,,0.3333333333333333,1.0,1.0,,0.6666666666666666,,,,,,,,0.6666666666666666,,0.47833333333333333,,,6.9,25.9,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,False
101150-1626153-1627789-1629629-203476,1610612737,"Lou Williams, Delon Wright, Timothe Luwawu-Cabarrot, Cam Reddish, Gorgui Dieng","Williams, Wright, Luwawu-Cabarrot, Reddish, Dieng",101150-1626153-1627789-1629629-203476,ATL,104.0,1,2.0,-1.0,4.0,4.0,4.0,,8.0,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,4.0,5.0,,,,,,2.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,4.0,,,,,,,1.0,,0.5,,0.6666666666666666,,0.5,,,,1.0,1.0,,,,1.0,,110.76923076923076,14.5,11.5,14.5,11.5,0.5,1.0,1.0,,,,,,,,,,,,,,1.0,,0.67505,,,,23.9,,1.0,,1.0,,,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,0.5,0.6666666666666666,0.5,0.5,1.0,0.5,0.67505,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,False
101150-1626153-1627789-1630168-1630219,1610612737,"Lou Williams, Delon Wright, Timothe Luwawu-Cabarrot, Onyeka Okongwu, Skylar Mays","Williams, Wright, Luwawu-Cabarrot, Okongwu, Mays",101150-1626153-1627789-1630168-1630219,ATL,288.0,1,5.0,-2.0,10.0,9.0,,1.0,19.0,1.0,2.0,,,1.0,2.0,,1.0,2.0,,2.0,4.0,2.0,6.0,10.0,12.0,,,,,4.0,,3.0,2.0,1.0,2.0,1.0,3.0,,1.0,7.0,1.0,2.0,2.0,,4.0,1.0,5.0,,,,,2.0,3.0,,10.0,,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.5,,0.5,,0.5,,0.6,,0.6666666666666666,0.5,1.0,0.8,0.16666666666666666,1.0,,1.0,,95.0,14.0,16.444444444444443,13.8,16.22222222222222,0.2,0.5,1.0,1.0,0.2,0.5,0.5,,0.2,0.5,0.5,,,,,,0.8,0.5,0.592835,,,4.65,24.516666666666666,1.0,,,1.0,0.5,1.0,,,,4.0,,,,,,,,,,,,,,,,,,0.4,,,,,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,1.0,1.0,1.0,1.0,0.25,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,False
101150-1626153-1627789-1630168-201568,1610612737,"Lou Williams, Delon Wright, Timothe Luwawu-Cabarrot, Onyeka Okongwu, Danilo Gallinari","Williams, Wright, Luwawu-Cabarrot, Okongwu, Gallinari",101150-1626153-1627789-1630168-201568,ATL,697.0,3,12.0,5.0,21.0,20.0,10.0,2.0,41.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,4.0,7.0,1.0,6.0,8.0,5.0,9.0,30.0,25.0,1.0,1.0,1.0,5.0,6.0,6.0,9.0,7.0,4.0,3.0,3.0,6.0,2.0,2.0,15.0,1.0,4.0,4.0,,8.0,2.0,10.0,,,,,4.0,8.0,3.0,25.0,,0.5,0.6,0.6,0.5555555555555556,0.5555555555555556,0.75,1.0,0.7941176470588235,1.25,0.7894736842105263,1.25,0.5294117647058824,,0.6666666666666666,0.5,1.0,0.8,0.3333333333333333,0.5,0.3333333333333333,1.0,,84.70588235294117,15.285714285714286,18.8,15.0,17.65,0.17647058823529413,1.0,1.0,0.6666666666666666,0.17647058823529413,0.3333333333333333,0.3333333333333333,0.11764705882352941,0.4117647058823529,0.5714285714285714,0.5714285714285714,0.5,0.5,1.0,,0.5,0.7058823529411765,0.5714285714285714,0.5135441176470588,0.6519,0.16666666666666666,8.4875,25.355555555555554,1.0,2.0,,4.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,3.0,11.0,,,4.0,2.0,11.0,6.0,2.0,0.5,0.6666666666666666,0.6875,0.11764705882352941,0.16666666666666666,1.0,0.16666666666666666,0.5195583333333333,0.36666666666666664,0.2857142857142857,1.0,6.0,,1.0,2.0,2.0,,3.0,3.0,3.0,3.0,,,0.5,,1.0,1.0,0.5,0.5,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.25,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,False
101150-1626153-1627789-1630168-203992,1610612737,"Lou Williams, Delon Wright, Timothe Luwawu-Cabarrot, Onyeka Okongwu, Bogdan Bogdanovic","Williams, Wright, Luwawu-Cabarrot, Okongwu, Bogdanovic",101150-1626153-1627789-1630168-203992,ATL,231.0,2,4.0,-10.0,5.0,5.0,,1.0,10.0,,,,,,3.0,3.0,,2.0,,2.0,6.0,,2.0,4.0,14.0,1.0,2.0,,2.0,2.0,2.0,,2.0,,1.0,,1.0,,,2.0,1.0,,,,,2.0,2.0,1.0,,,,2.0,2.0,2.0,2.0,,0.5,1.0,,,,0.3333333333333333,0.5,0.25,0.5,0.25,0.5,0.25,,,0.3333333333333333,,,0.4,0.5,,,0.2,62.33766233766234,28.2,18.0,25.2,18.0,,,,,0.375,,,0.375,0.25,,,,,,,,0.25,,0.42699375,0.3916,0.5,14.35,26.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.16666666666666666,,,,,,,,,2.0,,,,,,2.0,1.0,,,1.0,,,0.5,,0.6666666666666666,0.6666666666666666,,,,1.0,0.3333333333333333,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,False
101150-1626153-1627789-201568-203476,1610612737,"Lou Williams, Delon Wright, Timothe Luwawu-Cabarrot, Danilo Gallinari, Gorgui Dieng","Williams, Wright, Luwawu-Cabarrot, Gallinari, Dieng",101150-1626153-1627789-201568-203476,ATL,268.0,1,4.0,1.0,8.0,7.0,,,15.0,1.0,1.0,,,,1.0,3.0,,1.0,,2.0,5.0,1.0,2.0,9.0,8.0,,,,,,4.0,3.0,1.0,,,1.0,1.0,,,3.0,,1.0,2.0,,3.0,,3.0,,,,,,2.0,3.0,9.0,,,,1.0,0.5,0.5,0.4,,0.5,,0.5625,,0.2857142857142857,,1.0,,1.0,1.0,,,,1.0,,80.59701492537313,20.375,15.0,20.375,15.0,0.14285714285714285,1.0,1.0,,0.14285714285714285,,,0.42857142857142855,0.14285714285714285,,,,,,,,0.42857142857142855,,0.47012857142857145,,,13.6,23.7,,,,,,,,,,1.0,,2.0,,,,,,,,2.0,,,,,,,,0.14285714285714285,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,1.0,1.0,0.125,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,False
101150-1626153-1627789-201568-203991,1610612737,"Lou Williams, Delon Wright, Timothe Luwawu-Cabarrot, Danilo Gallinari, Clint Capela","Williams, Wright, Luwawu-Cabarrot, Gallinari, Capela",101150-1626153-1627789-201568-203991,ATL,570.0,3,10.0,-1.0,18.0,18.0,5.0,,36.0,6.0,7.0,,,,1.0,3.0,,3.0,,7.0,11.0,,3.0,15.0,16.0,,,,,2.0,12.0,,3.0,,1.0,,1.0,,1.0,2.0,,2.0,7.0,,9.0,,9.0,,1.0,,1.0,3.0,4.0,2.0,15.0,1.0,0.14285714285714285,0.14285714285714285,,,,0.6363636363636364,,0.5,,0.5,,0.21428571428571427,,0.7777777777777778,,0.6666666666666666,0.75,,,0.6666666666666666,0.6666666666666666,,90.94736842105263,16.444444444444443,15.222222222222221,16.444444444444443,14.5,0.5,0.8571428571428571,1.0,0.16666666666666666,0.07142857142857142,,,0.21428571428571427,0.21428571428571427,,,,,,,,0.7142857142857143,,0.5478714285714286,,,7.054545454545456,25.166666666666668,,2.0,,4.0,0.6666666666666666,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,2.0,,,2.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,0.7586,0.13333333333333333,0.05555555555555555,,,1.0,,2.0,2.0,,1.0,1.0,1.0,1.0,0.09090909090909091,0.14285714285714285,0.5,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,1.0,0.06666666666666667,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,False
101150-1626153-1628381-1628989-1629629,1610612737,"Lou Williams, Delon Wright, John Collins, Kevin Huerter, Cam Reddish","Williams, Wright, Collins, Huerter, Reddish",101150-1626153-1628381-1628989-1629629,ATL,53.0,1,1.0,-2.0,2.0,2.0,,,4.0,,1.0,,,,,,,1.0,,,1.0,,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,108.67924528301887,15.0,11.5,15.0,11.5,0.5,,,,,,,,0.5,,,,,,,,1.0,,0.66095,,,1.7,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,False
101150-1626153-1628381-1628989-201568,1610612737,"Lou Williams, Delon Wright, John Collins, Kevin Huerter, Danilo Gallinari","Williams, Wright, Collins, Huerter, Gallinari",101150-1626153-1628381-1628989-201568,ATL,316.0,2,5.0,1.0,11.0,13.0,5.0,,24.0,2.0,2.0,,,1.0,1.0,1.0,2.0,4.0,,3.0,4.0,2.0,4.0,13.0,12.0,,,,,6.0,,6.0,4.0,2.0,3.0,2.0,5.0,2.0,2.0,12.0,,3.0,1.0,,4.0,,4.0,,3.0,2.0,1.0,,4.0,1.0,13.0,,1.0,1.0,1.0,0.5,0.5,0.75,,0.75,,0.8125,,0.5,,0.3333333333333333,,1.0,0.6666666666666666,,,0.3333333333333333,1.0,,109.36708860759494,12.181818181818182,14.0,12.181818181818182,13.076923076923077,0.25,1.0,1.0,1.0,0.125,1.0,1.0,0.125,0.5,0.5,0.5,1.0,,,,,0.75,0.5,0.6076125,,,6.725,25.775,1.0,,,3.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,3.0,,2.0,,2.0,1.0,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.125,0.25,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,False
