EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,Corner3FGA,FG2A,FG3A,OpponentPoints,SecondChanceFG2A,OffThreePtRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FG3APct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,Arc3FGA,FG2M,FtPoints,Points,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,DefRebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyOffPoss,PenaltyDefPoss,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,DefTwoPtRebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,Travels,Loose Ball Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,LostBallTurnovers,Offensive Fouls,PenaltyFg3Pct,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyTurnovers,NonShootingPenaltyNonTakeFouls,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Charge Fouls,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceCorner3FGA,FTOffRebounds,ThreePtShootingFoulsDrawn,OffFTReboundPct,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,HeaveAttempts,Charge Fouls Drawn,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,Arc3PctBlocked,Transition Take Fouls,Transition Take Fouls Drawn,Blocked3s,BlockedArc3,BlockedCorner3,OffensiveGoaltends,3SecondViolations,team_id,year,season,team_vs
1627750-1629008-1630192-1630296-1631128,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Braxton Key, Christian Braun","Murray, Porter Jr., Nnaji, Key, Braun",1627750-1629008-1630192-1630296-1631128,DEN,33.0,1,1.0,-2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,87.27272727272727,28.0,5.0,19.0,5.0,0.5,0.5,0.5,0.495475,0.4118,13.1,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
1627750-1629008-1630192-1631124-1631128,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Julian Strawther, Christian Braun","Murray, Porter Jr., Nnaji, Strawther, Braun",1627750-1629008-1630192-1631124-1631128,DEN,205.0,1,3.0,2.0,7.0,8.0,3.0,15.0,1.0,1.0,6.0,3.0,3.0,2.0,1.0,3.0,8.0,2.0,3.0,1.0,,0.3333333333333333,0.3333333333333333,0.5,,105.3658536585366,13.571428571428571,13.75,12.285714285714286,13.75,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.6036888888888889,0.5278,2.2666666666666666,24.900000000000002,2.0,5.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,0.3333333333333333,0.2222222222222222,0.25,0.16666666666666666,0.6666666666666666,0.6,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5555555555555556,0.4,1.0,1.0,0.2222222222222222,1.0,0.1,0.14285714285714285,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
1627750-1629008-1630192-1631128-1631212,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Christian Braun, Peyton Watson","Murray, Porter Jr., Nnaji, Braun, Watson",1627750-1629008-1630192-1631128-1631212,DEN,1448.0,6,24.0,4.0,47.0,47.0,10.0,94.0,13.0,4.0,36.0,18.0,55.0,5.0,5.0,15.0,33.0,7.0,9.0,13.0,2.0,0.3333333333333333,0.3333333333333333,0.4838709677419355,0.5,93.48066298342542,15.97872340425532,14.829787234042554,14.893617021276595,13.680851063829786,0.24074074074074073,0.07407407407407407,0.6296296296296297,0.5273574074074074,0.50224375,7.3805555555555555,25.077777777777776,11.0,16.0,3.0,14.0,20.0,10.0,59.0,7.0,15.0,26.0,14.0,5.0,13.0,15.0,8.0,32.0,10.0,8.0,1.0,18.0,4.0,1.0,2.0,3.0,1.0,13.0,7.0,44.0,0.65,0.6842105263157895,0.5555555555555556,0.4537037037037037,0.4915254237288136,0.5357142857142857,0.1388888888888889,0.1875,0.15384615384615385,0.5,0.625,0.8,0.6538461538461539,0.6,0.7142857142857143,0.2727272727272727,0.7777777777777778,1.0,0.2962962962962963,0.6875,0.8461538461538461,0.7272727272727273,0.25925925925925924,0.3,0.11864406779661017,0.17073170731707318,0.2542372881355932,1.0,1.0,1.0,1.0,1.0,6.0,3.0,7.0,3.0,2.0,5.0,3.0,1.0,2.0,5.0,1.0,1.0,2.0,14.0,6.0,3.0,2.0,3.0,2.0,2.0,4.0,1.0,9.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,3.0,2.0,5.0,4.0,2.0,1.0,0.6666666666666666,0.16666666666666666,0.4,0.16666666666666666,0.2,1.0,0.4,1.0,1.0,0.3333333333333333,0.5625,0.5,0.42857142857142855,0.4,1.0,0.07692307692307693,0.8,0.46153846153846156,0.5454545454545454,0.6666666666666666,0.12962962962962962,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.21428571428571427,0.21428571428571427,0.6666666666666666,0.3333333333333333,0.5,0.4,1.0,1.0,1.0,0.21428571428571427,0.51,0.03389830508474576,0.02127659574468085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
1627750-1629008-1630192-1631128-202704,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Christian Braun, Reggie Jackson","Murray, Porter Jr., Nnaji, Braun, Jackson",1627750-1629008-1630192-1631128-202704,DEN,231.0,3,4.0,-9.0,8.0,9.0,1.0,17.0,,1.0,3.0,2.0,16.0,1.0,1.0,1.0,3.0,3.0,5.0,,,0.4,1.0,0.5,1.0,105.97402597402598,13.5,13.666666666666666,13.25,13.444444444444445,,0.2,0.8,0.50408,,8.733333333333333,23.45,1.0,2.0,1.0,1.0,2.0,,7.0,,,4.0,1.0,,2.0,3.0,1.0,7.0,,1.0,1.0,2.0,,,2.0,4.0,,,,7.0,1.0,1.0,0.6666666666666666,0.7,0.7,,,,,1.0,,1.0,0.3333333333333333,,,,1.0,,0.4,0.5,0.5,1.0,0.2,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,,1.0,,,,,,3.0,,3.0,,,1.0,1.0,1.0,,1.0,,,,2.0,,1.0,,,,,,,,,,,3.0,1.0,1.0,0.5,,0.5,,,,1.5,1.5,0.5,,,,,,,,,,,0.2,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,0.41085,0.42857142857142855,0.125,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
1627750-1629008-1630192-1631128-203932,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Christian Braun, Aaron Gordon","Murray, Porter Jr., Nnaji, Braun, Gordon",1627750-1629008-1630192-1631128-203932,DEN,82.0,1,1.0,,3.0,3.0,1.0,6.0,3.0,,3.0,,2.0,1.0,,1.0,3.0,,,,,,,0.5,,105.36585365853658,13.0,14.333333333333334,12.333333333333334,14.333333333333334,1.0,,,0.3995666666666667,0.3453,7.433333333333334,,,,,,1.0,,2.0,,,2.0,,1.0,1.0,1.0,,2.0,1.0,1.0,,2.0,,,,1.0,,,,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,0.5,1.0,1.0,,0.5,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
1627750-1629008-1630192-1631212-202704,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Peyton Watson, Reggie Jackson","Murray, Porter Jr., Nnaji, Watson, Jackson",1627750-1629008-1630192-1631212-202704,DEN,48.0,2,1.0,-3.0,2.0,2.0,1.0,4.0,2.0,,2.0,,5.0,,,1.0,1.0,1.0,2.0,,,,,1.0,,120.0,15.5,8.5,15.0,8.5,1.0,,,0.34185,,6.95,,,,,,1.0,,2.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,2.0,,,0.5,0.5,0.5,,,,,,1.0,,,,1.0,,,,,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,1.0,2.0,2.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,2.0,,,,,,0.5,,0.5,0.5,1.0,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,0.34185,1.0,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
1627750-1629008-1630192-1631212-203200,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Peyton Watson, Justin Holiday","Murray, Porter Jr., Nnaji, Watson, Holiday",1627750-1629008-1630192-1631212-203200,DEN,527.0,2,9.0,-1.0,16.0,16.0,3.0,32.0,4.0,3.0,11.0,6.0,23.0,3.0,2.0,4.0,10.0,3.0,3.0,,,0.35294117647058826,1.0,0.5,1.0,87.43833017077799,17.8125,15.125,17.5,14.8125,0.23529411764705882,0.17647058823529413,0.5294117647058824,0.4742205882352941,0.48715,10.19090909090909,24.46666666666667,,3.0,2.0,3.0,5.0,,22.0,,2.0,6.0,3.0,1.0,3.0,5.0,,12.0,2.0,4.0,1.0,6.0,1.0,,,3.0,1.0,,,20.0,0.6,0.6,0.45454545454545453,0.6470588235294118,0.6470588235294118,0.3333333333333333,0.09090909090909091,0.3333333333333333,,1.0,0.3333333333333333,1.0,0.625,0.6666666666666666,,,1.0,1.0,0.17647058823529413,,,,0.17647058823529413,0.6666666666666666,,,0.09090909090909091,,,,,,3.0,2.0,4.0,3.0,,,4.0,1.0,,,,,,4.0,6.0,6.0,,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,,2.0,,,,,,2.0,2.0,,2.0,,,,0.5,0.6666666666666666,,0.6666666666666666,0.3333333333333333,,0.3333333333333333,,,1.0,0.25,,,,1.0,0.2857142857142857,,0.75,0.75,0.6666666666666666,0.23529411764705882,0.5,0.5,0.5,1.0,1.0,0.3333333333333333,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
1627750-1629008-1630192-1631212-203932,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Peyton Watson, Aaron Gordon","Murray, Porter Jr., Nnaji, Watson, Gordon",1627750-1629008-1630192-1631212-203932,DEN,57.0,1,1.0,,2.0,2.0,,4.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,,,0.5,,,,101.05263157894737,12.5,16.0,12.5,16.0,0.5,0.5,0.5,0.531525,,13.4,23.4,,,,,1.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,1.0,0.5,0.5,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
1627750-1629008-1630192-202704-203932,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Reggie Jackson, Aaron Gordon","Murray, Porter Jr., Nnaji, Jackson, Gordon",1627750-1629008-1630192-202704-203932,DEN,163.0,1,3.0,1.0,6.0,5.0,2.0,11.0,3.0,,3.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,,0.4,0.5,0.5,,97.17791411042944,13.166666666666666,16.8,12.833333333333334,16.8,0.6,,0.4,0.46498999999999996,0.4624,7.0,27.95,,,,2.0,1.0,2.0,4.0,2.0,2.0,,2.0,,,,,,1.0,1.0,1.0,2.0,1.0,,2.0,2.0,,2.0,1.0,2.0,,,0.3333333333333333,0.2,0.3333333333333333,0.5,,,,1.0,0.5,1.0,1.0,,0.5,0.5,1.0,,,,,,0.4,,0.16666666666666666,0.25,0.5,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
1627750-1629008-1630192-203484-203999,1610612743,"Jamal Murray, Michael Porter Jr., Zeke Nnaji, Kentavious Caldwell-Pope, Nikola Jokic","Murray, Porter Jr., Nnaji, Caldwell-Pope, Jokic",1627750-1629008-1630192-203484-203999,DEN,151.0,1,3.0,-8.0,6.0,7.0,,13.0,2.0,1.0,4.0,1.0,8.0,,,,2.0,2.0,2.0,,,0.2,,,,123.97350993377484,16.833333333333332,7.142857142857143,16.833333333333332,7.142857142857143,0.4,0.2,0.4,0.48212,,11.575,22.4,,1.0,,,,,,,,,,1.0,,,,,,1.0,,2.0,,,,1.0,,1.0,,,,,,,,,0.25,1.0,,,,1.0,1.0,,,,1.0,,0.2,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2024,2023-24,False
