EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGA,PenaltyArc3FGA,SecondChanceFG2A,SecondChanceFG3A,HeaveAttempts,Fg2aBlocked,ShortMidRangeAssists,OffTwoPtRebounds,OffRebounds,BadPassSteals,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,Fg3aBlocked,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,Corner3PctBlocked,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChancePointsPct,LostBallTurnovers,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,LongMidRangeFGM,LongMidRangeAssists,Charge Fouls,Blocked2s,BlockedLongMidRange,Blocks,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceFtPoints,OffThreePtRebounds,Loose Ball Fouls,BlockedShortMidRange,OffThreePtReboundPct,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,PtsUnassisted3s,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,BlockedAtRim,RecoveredBlocks,SecondChanceFg3Pct,OffArc3ReboundPct,BlocksRecoveredPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3Accuracy,PtsPutbacks,SelfOReb,Loose Ball Fouls Drawn,SelfORebPct,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,OffensiveGoaltends,team_id,year,season,team_vs
1626204-1627742-1630230-1630529-1630530,1610612740,"Larry Nance Jr., Brandon Ingram, Naji Marshall, Herbert Jones, Trey Murphy III","Nance Jr., Ingram, Marshall, Jones, Murphy III",1626204-1627742-1630230-1630529-1630530,NOP,511.0,3,9.0,5.0,17.0,18.0,7.0,8.0,35.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,9.0,3.0,4.0,3.0,20.0,15.0,1.0,3.0,1.0,2.0,2.0,7.0,2.0,6.0,9.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,11.0,5.0,3.0,1.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,20.0,7.0,7.0,0.25,0.25,1.0,0.75,0.5,0.75,0.4444444444444444,0.3333333333333333,0.6538461538461539,0.5,0.7142857142857143,0.5833333333333334,0.3076923076923077,0.3333333333333333,1.0,0.75,1.0,0.8888888888888888,0.6666666666666666,1.0,1.0,98.63013698630137,14.117647058823529,15.055555555555555,14.117647058823529,15.055555555555555,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,0.3076923076923077,0.5,0.5,0.15384615384615385,0.15384615384615385,0.5,0.5,1.0,0.15384615384615385,1.0,1.0,1.0,0.4,0.5,0.5384615384615384,1.0,0.5642269230769231,0.50806,0.14285714285714285,0.2,0.35,8.788888888888888,24.375,0.4117647058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2024,2023-24,False
1626204-1627742-1630230-1630530-1630631,1610612740,"Larry Nance Jr., Brandon Ingram, Naji Marshall, Trey Murphy III, Jose Alvarado","Nance Jr., Ingram, Marshall, Murphy III, Alvarado",1626204-1627742-1630230-1630530-1630631,NOP,614.0,3,10.0,-7.0,18.0,21.0,5.0,12.0,39.0,1.0,3.0,1.0,3.0,2.0,1.0,4.0,,1.0,,5.0,2.0,8.0,1.0,9.0,4.0,11.0,18.0,1.0,2.0,,4.0,2.0,4.0,4.0,,3.0,3.0,,2.0,1.0,3.0,,1.0,1.0,7.0,4.0,3.0,1.0,8.0,11.0,4.0,3.0,,1.0,,4.0,4.0,1.0,2.0,4.0,5.0,4.0,,1.0,11.0,4.0,5.0,1.0,1.0,1.0,0.1111111111111111,,0.14285714285714285,0.25,0.5,0.20588235294117646,0.16666666666666666,0.2894736842105263,0.2857142857142857,0.5294117647058824,,1.0,1.0,0.8,0.875,1.0,1.0,0.75,91.46579804560261,16.22222222222222,15.333333333333334,15.61111111111111,15.285714285714286,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,0.17647058823529413,0.3333333333333333,0.5,0.11764705882352941,0.23529411764705882,0.25,0.25,1.0,0.29411764705882354,,,,0.16666666666666666,,0.7058823529411765,,0.5277466666666667,0.548325,0.05555555555555555,0.1111111111111111,0.36363636363636365,7.425,31.400000000000002,0.2777777777777778,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.3333333333333333,0.5,0.25,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.16666666666666666,1.0,0.5,0.605025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2024,2023-24,False
1626204-1627742-1630230-1630530-1641722,1610612740,"Larry Nance Jr., Brandon Ingram, Naji Marshall, Trey Murphy III, Jordan Hawkins","Nance Jr., Ingram, Marshall, Murphy III, Hawkins",1626204-1627742-1630230-1630530-1641722,NOP,108.0,1,2.0,1.0,5.0,4.0,2.0,,9.0,1.0,1.0,,,,,1.0,,,,,1.0,1.0,,1.0,4.0,6.0,5.0,,,,,2.0,2.0,2.0,,,,,1.0,,1.0,,,1.0,2.0,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,4.0,,1.0,4.0,2.0,2.0,1.0,1.0,,,,,1.0,,0.5,,0.75,1.0,0.5,,,,,,,,,120.0,11.8,12.25,10.0,12.25,0.5,1.0,1.0,1.0,,,,,0.5,,,,,,,,,,1.0,,0.64315,,0.3333333333333333,0.5,0.3333333333333333,1.9,23.4,0.4,1.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,0.6863,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2024,2023-24,False
1626204-1627742-1630230-1630530-203468,1610612740,"Larry Nance Jr., Brandon Ingram, Naji Marshall, Trey Murphy III, CJ McCollum","Nance Jr., Ingram, Marshall, Murphy III, McCollum",1626204-1627742-1630230-1630530-203468,NOP,129.0,1,2.0,-3.0,5.0,6.0,,6.0,11.0,,1.0,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,3.0,6.0,,,,,,,,,3.0,,,,1.0,1.0,,1.0,,3.0,2.0,,1.0,3.0,3.0,,,3.0,,2.0,,3.0,,,1.0,,,,,3.0,,,,,1.0,1.0,,1.0,,,0.75,,0.75,,0.5,1.0,1.0,,1.0,1.0,,,1.0,122.79069767441861,13.2,10.5,13.2,10.5,0.5,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,1.0,,0.671475,,,,,1.3,22.5,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2024,2023-24,False
1626204-1627742-1630230-1630631-203468,1610612740,"Larry Nance Jr., Brandon Ingram, Naji Marshall, Jose Alvarado, CJ McCollum","Nance Jr., Ingram, Marshall, Alvarado, McCollum",1626204-1627742-1630230-1630631-203468,NOP,172.0,2,3.0,3.0,6.0,5.0,3.0,5.0,11.0,,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,2.0,,5.0,2.0,1.0,2.0,,,,2.0,2.0,,3.0,1.0,,1.0,1.0,2.0,,1.0,,5.0,2.0,1.0,,3.0,4.0,,,1.0,,1.0,2.0,3.0,2.0,,2.0,3.0,,,,5.0,2.0,3.0,1.0,1.0,1.0,0.5,,0.5,0.5,0.5,0.625,0.5,0.625,0.5,0.5,0.3333333333333333,,0.5,1.0,0.75,,1.0,1.0,92.09302325581395,17.833333333333332,13.0,17.666666666666668,12.6,0.25,,,,,,,0.25,0.25,1.0,1.0,1.0,0.25,,,,,,0.75,,0.501075,0.42945,,,0.4,9.4,23.5,0.5,1.0,,,1.0,,,,,,1.0,,1.0,1.0,,,1.0,,1.0,,,0.5,,1.0,0.5,1.0,,,,,,,,0.5,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2024,2023-24,False
1626204-1627742-1630529-1630530-1630631,1610612740,"Larry Nance Jr., Brandon Ingram, Herbert Jones, Trey Murphy III, Jose Alvarado","Nance Jr., Ingram, Jones, Murphy III, Alvarado",1626204-1627742-1630529-1630530-1630631,NOP,473.0,2,8.0,-3.0,16.0,15.0,5.0,,31.0,3.0,3.0,1.0,2.0,3.0,,1.0,,,,4.0,5.0,8.0,,5.0,4.0,14.0,17.0,2.0,3.0,,1.0,,4.0,6.0,4.0,,4.0,,3.0,,3.0,,,3.0,6.0,3.0,3.0,,6.0,7.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,,2.0,12.0,4.0,5.0,0.6,0.6,,,,,0.625,0.6666666666666666,0.38461538461538464,0.5,0.4666666666666667,0.5,0.38461538461538464,0.5,,0.75,0.75,0.75,1.0,0.5,0.6666666666666666,94.37632135306553,15.6875,14.8,15.6875,14.733333333333333,0.23076923076923078,1.0,1.0,1.0,0.15384615384615385,0.5,0.5,0.23076923076923078,0.07692307692307693,,,,0.3076923076923077,,,,,,0.6153846153846154,,0.5511115384615385,0.4442,0.13333333333333333,0.2,0.2857142857142857,8.7125,25.52,0.3125,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,0.125,,,,1.0,1.0,,,,,,0.25,,,,2.0,,,,1.0,,,,,0.14285714285714285,,,,1.0,,1.0,1.0,,1.0,0.3333333333333333,0.3333333333333333,,2.0,1.0,1.0,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2024,2023-24,False
1626204-1627742-1630529-1630530-203468,1610612740,"Larry Nance Jr., Brandon Ingram, Herbert Jones, Trey Murphy III, CJ McCollum","Nance Jr., Ingram, Jones, Murphy III, McCollum",1626204-1627742-1630529-1630530-203468,NOP,1987.0,7,33.0,-7.0,68.0,68.0,23.0,7.0,136.0,10.0,15.0,6.0,12.0,5.0,2.0,7.0,1.0,4.0,6.0,16.0,19.0,32.0,8.0,23.0,3.0,65.0,72.0,7.0,9.0,3.0,11.0,1.0,24.0,16.0,22.0,21.0,15.0,6.0,8.0,7.0,15.0,5.0,2.0,5.0,37.0,6.0,17.0,1.0,24.0,32.0,8.0,4.0,11.0,2.0,5.0,9.0,20.0,7.0,9.0,18.0,5.0,4.0,,1.0,58.0,24.0,23.0,0.42105263157894735,0.42105263157894735,0.875,0.34782608695652173,0.2727272727272727,0.36363636363636365,0.59375,0.7777777777777778,0.5636363636363636,0.575,0.5701754385964912,0.5714285714285714,0.41818181818181815,0.55,1.0,0.8947368421052632,0.6666666666666666,0.8214285714285714,0.8888888888888888,0.875,0.75,98.56064418721691,14.352941176470589,14.867647058823529,13.441176470588236,14.558823529411764,0.2727272727272727,0.6666666666666666,0.9090909090909091,0.5,0.21818181818181817,0.5,0.5454545454545454,0.09090909090909091,0.12727272727272726,0.2857142857142857,0.2857142857142857,1.0,0.2909090909090909,0.375,0.375,0.8333333333333334,0.2,0.25,0.6909090909090909,0.4,0.5654425925925926,0.5318052631578949,0.017857142857142856,0.030303030303030304,0.36923076923076925,7.225,26.2,0.3382352941176471,6.0,1.0,3.0,4.0,1.0,7.0,3.0,3.0,1.0,5.0,2.0,3.0,8.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,0.15625,0.08333333333333333,0.23076923076923078,0.3076923076923077,0.4,0.16666666666666666,,1.0,,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.2,0.75,0.35,0.5631499999999999,1.0,2.0,7.0,,0.6666666666666666,0.5833333333333334,0.5833333333333334,,,1.0,1.0,0.1076923076923077,6.0,1.0,0.26666666666666666,3.0,1.0,1.0,6.0,1.0,7.0,0.6,0.6,0.3333333333333333,,5.0,1.0,3.0,0.38461538461538464,0.4,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,5.0,0.3333333333333333,0.375,0.7142857142857143,1.0,1.0,0.3333333333333333,0.2857142857142857,,,,,,,,,,1610612740,2024,2023-24,False
1626204-1627742-1630530-1630631-203468,1610612740,"Larry Nance Jr., Brandon Ingram, Trey Murphy III, Jose Alvarado, CJ McCollum","Nance Jr., Ingram, Murphy III, Alvarado, McCollum",1626204-1627742-1630530-1630631-203468,NOP,4.0,1,,,1.0,,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,360.0,3.0,,3.0,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,0.39105,0.39105,,,,,23.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2024,2023-24,False
1626204-1630230-1630529-1630530-1630631,1610612740,"Larry Nance Jr., Naji Marshall, Herbert Jones, Trey Murphy III, Jose Alvarado","Nance Jr., Marshall, Jones, Murphy III, Alvarado",1626204-1630230-1630529-1630530-1630631,NOP,10.0,1,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2024,2023-24,False
1626204-1630230-1630529-1630530-1630700,1610612740,"Larry Nance Jr., Naji Marshall, Herbert Jones, Trey Murphy III, Dyson Daniels","Nance Jr., Marshall, Jones, Murphy III, Daniels",1626204-1630230-1630529-1630530-1630700,NOP,6.0,1,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2024,2023-24,False
