EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,FoulsDrawn,FTA,3pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,Avg3ptShotDistance,SecondChanceOffPoss,LongMidRangeFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,Fg2aBlocked,LongMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,LostBallSteals,ShootingFouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,SecondChanceFG2A,PtsUnassisted2s,OffLongMidRangeReboundPct,HeaveAttempts,ShortMidRangePctBlocked,ShortMidRangeFGM,SelfOReb,2pt And 1 Free Throw Trips,OffShortMidRangeReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,OffThreePtRebounds,Offensive Fouls Drawn,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyCorner3FGA,BadPassOutOfBoundsTurnovers,PenaltyCorner3Frequency,Loose Ball Fouls Drawn,OffCorner3ReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,LostBallTurnovers,StepOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,DefAtRimReboundPct,SecondChanceAtRimPctAssisted,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,Corner3Assists,ShortMidRangeAssists,Travels,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Technical Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,Charge Fouls,BlockedAtRim,BlockedLongMidRange,Charge Fouls Drawn,FTOffRebounds,OffFTReboundPct,LongMidRangePctBlocked,Fg3aBlocked,SecondChanceTurnovers,FG3APctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,Blocked3s,BlockedArc3,team_id,year,season,team_vs
1626171-1626192-1627736-1631260-201976,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, AJ Green, Patrick Beverley","Portis, Connaughton, Beasley, Green, Beverley",1626171-1626192-1627736-1631260-201976,MIL,90.0,1,2.0,-4.0,3.0,2.0,3.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,80.0,15.333333333333334,22.0,15.333333333333334,15.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.55915,0.55915,1.0,2.45,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,False
1626171-1626192-1627736-1631260-203081,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, AJ Green, Damian Lillard","Portis, Connaughton, Beasley, Green, Lillard",1626171-1626192-1627736-1631260-203081,MIL,311.0,2,5.0,3.0,12.0,11.0,2.0,23.0,,,,,,2.0,12.0,9.0,,1.0,3.0,,,2.0,,6.0,1.0,1.0,,1.0,,12.0,3.0,2.0,,,,,0.45,0.75,0.5454545454545454,0.75,106.49517684887459,13.083333333333334,14.0,13.083333333333334,12.0,,,,,,,0.8,0.5111600000000001,0.389625,0.25,10.35,0.16666666666666666,5.0,1.0,1.0,2.0,3.0,6.0,1.0,1.0,3.0,8.0,3.0,1.0,1.0,6.0,3.0,6.0,3.0,2.0,2.0,3.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.6666666666666666,0.375,1.0,0.375,0.8,0.5,0.6,0.5555555555555556,0.5,0.5,0.3333333333333333,1.0,0.1,0.1,0.2,0.6,0.5,0.5,0.6666666666666666,0.5,1.0,0.5,0.18181818181818182,0.3333333333333333,0.125,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,False
1626171-1626192-1627736-201568-201976,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, Danilo Gallinari, Patrick Beverley","Portis, Connaughton, Beasley, Gallinari, Beverley",1626171-1626192-1627736-201568-201976,MIL,150.0,1,2.0,7.0,6.0,5.0,4.0,11.0,,1.0,,1.0,1.0,3.0,11.0,4.0,1.0,3.0,5.0,2.0,1.0,3.0,,8.0,,,,2.0,,6.0,5.0,4.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.8,0.3333333333333333,0.7857142857142857,0.5,105.6,11.5,16.2,9.666666666666666,16.2,0.2,,,,0.3333333333333333,,0.6,0.56611,0.5847666666666667,0.45454545454545453,8.466666666666667,0.6666666666666666,5.0,1.0,1.0,,2.0,2.0,,,2.0,2.0,3.0,,,6.0,,2.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,,,,3.0,4.0,,1.0,,1.0,1.0,,1.0,0.4,1.0,1.0,1.0,1.0,,,1.0,0.2,0.2,,0.4,1.0,1.0,1.0,,,1.0,0.16666666666666666,0.25,,26.2,2.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.5,1.25,0.3333333333333333,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5283,0.45454545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,False
1626171-1626192-1627736-201568-203114,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, Danilo Gallinari, Khris Middleton","Portis, Connaughton, Beasley, Gallinari, Middleton",1626171-1626192-1627736-201568-203114,MIL,31.0,1,1.0,-4.0,2.0,2.0,,4.0,,,,,,,,4.0,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,185.8064516129032,12.0,3.5,12.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,False
1626171-1626192-1627736-201572-203081,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, Brook Lopez, Damian Lillard","Portis, Connaughton, Beasley, Lopez, Lillard",1626171-1626192-1627736-201572-203081,MIL,8.0,1,,4.0,1.0,,1.0,1.0,,,,,,,4.0,,,,4.0,,,,,,,,,,,4.0,4.0,1.0,,,,,1.5,1.5,2.0,2.0,180.0,8.0,,8.0,,,,,,,,1.0,0.52725,0.52725,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,27.1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,False
1626171-1626192-1627736-201572-203114,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, Brook Lopez, Khris Middleton","Portis, Connaughton, Beasley, Lopez, Middleton",1626171-1626192-1627736-201572-203114,MIL,91.0,1,2.0,3.0,3.0,2.0,1.0,5.0,1.0,1.0,,,1.0,3.0,5.0,2.0,,2.0,,,,1.0,,3.0,,,,,,5.0,,1.0,,,0.3333333333333333,,0.625,,0.625,,79.12087912087912,26.333333333333332,6.0,21.666666666666668,5.5,0.25,1.0,1.0,,,,0.5,0.4896125,0.3264,,10.133333333333333,0.3333333333333333,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,3.0,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,0.25,,,,,,,,0.25,0.25,,0.25,1.0,1.0,1.0,,,1.0,,,,26.9,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.5,0.5,,,,,,,,0.3109,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,False
1626171-1626192-1627736-201976-203081,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, Patrick Beverley, Damian Lillard","Portis, Connaughton, Beasley, Beverley, Lillard",1626171-1626192-1627736-201976-203081,MIL,126.0,2,2.0,-5.0,3.0,3.0,1.0,6.0,1.0,1.0,,,1.0,2.0,2.0,7.0,,1.0,,,,,,,,,,,,2.0,,1.0,,,0.5,,0.25,,0.25,,68.57142857142857,28.333333333333332,13.666666666666666,28.333333333333332,13.666666666666666,0.25,1.0,1.0,,,,0.75,0.45221666666666666,0.3295,,5.6,0.3333333333333333,1.0,1.0,,,,2.0,,1.0,,2.0,,,1.0,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,0.5,,,,,,,,0.25,,,0.5,,,,0.5,,,,,,40.35,,,,,,,,,,1.0,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,False
1626171-1626192-1627736-201976-203114,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, Patrick Beverley, Khris Middleton","Portis, Connaughton, Beasley, Beverley, Middleton",1626171-1626192-1627736-201976-203114,MIL,396.0,2,7.0,9.0,11.0,11.0,2.0,22.0,3.0,3.0,,,5.0,6.0,18.0,9.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,,,,3.0,,16.0,2.0,2.0,0.2,0.2,0.8333333333333334,1.0,0.7222222222222222,0.5,0.8181818181818182,0.5,80.0,16.545454545454547,19.454545454545453,16.545454545454547,17.363636363636363,0.3333333333333333,1.0,1.0,0.3333333333333333,,,0.6666666666666666,0.5872388888888889,0.506875,0.1111111111111111,5.566666666666666,0.18181818181818182,,2.0,1.0,,1.0,3.0,,1.0,1.0,3.0,5.0,,1.0,3.0,,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,1.0,3.0,5.0,,3.0,,1.0,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.4,,0.5,0.5,,0.2222222222222222,0.1111111111111111,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,,0.3333333333333333,0.2727272727272727,0.375,,26.233333333333334,1.0,1.0,,,,,2.0,2.0,,,,1.0,,1.0,1.0,,,,,,1.0,,,,1.0,0.3333333333333333,,1.0,1.0,,,,,,0.1111111111111111,,,,,8.0,,,,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,False
1626171-1626192-1627736-203081-203114,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, Damian Lillard, Khris Middleton","Portis, Connaughton, Beasley, Lillard, Middleton",1626171-1626192-1627736-203081-203114,MIL,293.0,1,5.0,-4.0,9.0,8.0,,17.0,,1.0,,,,3.0,6.0,10.0,,,,,,1.0,,3.0,1.0,2.0,,2.0,,3.0,,,,,,,0.25,,0.375,,83.54948805460751,18.77777777777778,15.5,18.444444444444443,15.125,0.16666666666666666,,,,,,0.6666666666666666,0.5000166666666667,,,8.033333333333333,,,2.0,,,1.0,3.0,,,1.0,3.0,3.0,,,3.0,,3.0,1.0,1.0,1.0,2.0,,2.0,3.0,,,,,3.0,4.0,,2.0,,1.0,0.3333333333333333,,0.3333333333333333,0.5,,1.0,0.6666666666666666,,,1.0,,0.3333333333333333,,,0.5,0.3333333333333333,0.3333333333333333,1.0,,,0.3333333333333333,0.25,0.4,,25.3,1.0,,1.0,1.0,1.0,1.0,,3.0,,1.0,,,,1.0,,1.0,,,1.0,1.5,1.5,0.3333333333333333,1.0,,,0.2,,,,,1.0,1.0,1.0,,0.5,1.0,1.0,0.5,,,,,,,,,,,,,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,False
1626171-1626192-1627736-203109-203114,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, Jae Crowder, Khris Middleton","Portis, Connaughton, Beasley, Crowder, Middleton",1626171-1626192-1627736-203109-203114,MIL,107.0,1,2.0,-2.0,4.0,4.0,4.0,8.0,,1.0,,1.0,,1.0,,2.0,,1.0,,,,,,,1.0,2.0,2.0,1.0,,,,4.0,,,,,,,,,107.66355140186916,13.75,13.0,13.75,13.0,0.3333333333333333,,,,0.3333333333333333,,1.0,0.6454,0.6454,,1.0,1.0,,,,1.0,,1.0,,1.0,,2.0,,,2.0,,,1.0,,,,2.0,,3.0,4.0,1.0,1.0,,,,,,,,,,,,0.6666666666666666,,1.0,1.0,,,1.0,,,,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,,,,,,24.0,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,False
