EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,Steals,BadPassSteals,ShootingFouls,Fouls,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,TwoPtAssists,ShortMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,Blocked3s,BlockedArc3,Blocks,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyOffPoss,PenaltyDefPoss,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3A,Corner3Assists,OffThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DeadBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,PenaltyTurnovers,Offensive Fouls,FoulsDrawn,PenaltyOffPossExcludingTakeFouls,SecondChanceFg3Pct,DefFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,SecondChanceArc3FGA,FtPoints,AtRimAssists,SelfOReb,BadPassOutOfBoundsTurnovers,FTA,ThreePtShootingFoulsDrawn,ShortMidRangePctBlocked,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,SecondChanceArc3Frequency,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,LongMidRangeFGM,LongMidRangeFGA,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,OffArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,TwoPtShootingFoulsDrawnPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,Loose Ball Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyPointsPct,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,PtsPutbacks,LiveBallTurnovers,BadPassTurnovers,Technical Free Throw Trips,Blocked2s,BlockedShortMidRange,3SecondViolations,PenaltyFg3Pct,LiveBallTurnoverPct,OffLongMidRangeReboundPct,PenaltyArc3Accuracy,PenaltyFtPoints,NonShootingPenaltyNonTakeFouls,SecondChanceTurnovers,RecoveredBlocks,BlocksRecoveredPct,PenaltyCorner3FGA,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedAtRim,OffensiveGoaltends,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3Frequency,SecondChanceAtRimPctAssisted,LongMidRangeAssists,LongMidRangePctAssisted,Loose Ball Fouls,PenaltyCorner3FGM,LostBallTurnovers,PenaltyCorner3Accuracy,LostBallSteals,SecondChanceFtPoints,Defensive 3 Seconds Violations,Charge Fouls,Charge Fouls Drawn,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Transition Take Fouls,Clear Path Fouls,3pt And 1 Free Throw Trips,BlockedCorner3,DefensiveGoaltends,BlockedLongMidRange,LongMidRangePctBlocked,Corner3PctBlocked,Transition Take Fouls Drawn,team_id,year,season,team_vs
1627745-1627747-1627777-1628378-1629622,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Donovan Mitchell, Max Strus","Jones, LeVert, Niang, Mitchell, Strus",1627745-1627747-1627777-1628378-1629622,CLE,98.0,1,2.0,-1.0,5.0,4.0,9.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,6.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,5.0,1.0,0.5,0.5,0.3333333333333333,0.5,0.5,0.4,0.3333333333333333,0.5,132.24489795918367,11.0,10.75,11.0,10.75,0.4,0.2,1.0,1.0,0.4,0.5,0.5,1.0,0.8,0.5,0.6151500000000001,3.3333333333333335,25.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
1627745-1627747-1627777-1628378-1629660,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Donovan Mitchell, Ty Jerome","Jones, LeVert, Niang, Mitchell, Jerome",1627745-1627747-1627777-1628378-1629660,CLE,220.0,1,4.0,1.0,7.0,6.0,13.0,3.0,3.0,4.0,,1.0,5.0,7.0,,1.0,10.0,9.0,6.0,,1.0,,,,2.0,,4.0,1.0,1.0,,,8.0,,,,0.7142857142857143,0.625,0.625,0.125,,,85.0909090909091,14.428571428571429,19.833333333333332,13.714285714285714,19.5,0.375,0.5,0.75,0.75,0.125,,,,0.5,,0.5596625,5.942857142857143,24.6,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.4,0.4,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6608,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
1627745-1627747-1627777-1628378-1630171,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Donovan Mitchell, Isaac Okoro","Jones, LeVert, Niang, Mitchell, Okoro",1627745-1627747-1627777-1628378-1630171,CLE,345.0,2,6.0,-2.0,10.0,10.0,20.0,3.0,,3.0,1.0,4.0,1.0,6.0,2.0,6.0,8.0,10.0,2.0,6.0,4.0,1.0,2.0,2.0,2.0,1.0,6.0,,,1.0,2.0,3.0,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,83.47826086956522,18.9,15.6,16.5,15.2,0.25,0.25,,,0.3333333333333333,0.25,0.25,1.0,0.75,0.25,0.5196416666666667,4.166666666666667,25.483333333333334,2.0,1.0,1.0,2.0,1.0,3.0,5.0,,,,4.0,3.0,5.0,5.0,10.0,,,,,,0.3333333333333333,0.5,0.5,0.8,1.0,0.8,0.5555555555555556,1.0,1.0,0.3333333333333333,1.0,,0.4,0.5,0.5836625,0.625,2.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.25,0.6666666666666666,1.0,1.0,0.16666666666666666,0.5,0.5,1.0,0.4,0.5,1.0,1.0,0.54675,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
1627745-1627747-1627777-1628378-1630241,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Donovan Mitchell, Sam Merrill","Jones, LeVert, Niang, Mitchell, Merrill",1627745-1627747-1627777-1628378-1630241,CLE,370.0,3,6.0,-3.0,12.0,12.0,24.0,2.0,2.0,5.0,1.0,3.0,3.0,7.0,1.0,4.0,12.0,15.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,,,1.0,2.0,12.0,1.0,0.25,0.25,0.42857142857142855,0.4090909090909091,0.5,0.36363636363636365,0.14285714285714285,,93.4054054054054,14.583333333333334,16.25,14.5,16.166666666666668,0.18181818181818182,0.45454545454545453,0.4,0.5,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.5454545454545454,0.3333333333333333,0.5116818181818181,7.6000000000000005,25.25,1.0,1.0,,,,,,2.0,1.0,,,3.0,5.0,1.0,6.0,,,,0.3333333333333333,0.3333333333333333,,,,,1.0,0.7142857142857143,0.14285714285714285,,1.0,0.5,0.5,,,,,,,,,1.0,,,,,1.0,,,1.0,2.0,,1.0,,,1.0,,,2.0,,,,0.5,0.3333333333333333,,1.0,,0.09090909090909091,,,,,,,,,,1.0,3.0,1.0,1.0,1.0,3.0,1.0,0.2,0.5,1.0,1.0,0.16666666666666666,1.0,1.0,0.08333333333333333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
1627745-1627747-1627777-1629622-1629636,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Max Strus, Darius Garland","Jones, LeVert, Niang, Strus, Garland",1627745-1627747-1627777-1629622-1629636,CLE,287.0,1,5.0,2.0,8.0,9.0,17.0,1.0,1.0,2.0,,2.0,3.0,4.0,1.0,4.0,11.0,9.0,2.0,3.0,2.0,,,1.0,3.0,,7.0,,,,1.0,8.0,1.0,0.25,0.25,0.75,0.5625,0.6111111111111112,0.5,,,85.29616724738676,16.875,16.88888888888889,16.375,16.88888888888889,0.125,0.25,0.5,0.5,0.25,,,,0.625,,0.51975,9.475,24.425,1.0,1.0,,,,,3.0,4.0,2.0,1.0,,3.0,4.0,1.0,5.0,,,,0.6666666666666666,0.6666666666666666,,1.5,1.5,,1.0,1.0,0.25,,1.0,1.0,1.0,1.0,,,,0.2727272727272727,,,1.0,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,3.0,,1.0,,1.0,0.3333333333333333,,,1.0,0.25,0.5,0.5,1.0,1.0,1.0,1.0,,,,,2.0,1.0,,,2.0,,,,,,,1.0,,0.1111111111111111,,1.0,1.0,1.0,1.0,0.5,0.125,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
1627745-1627747-1627777-1629622-1630171,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Max Strus, Isaac Okoro","Jones, LeVert, Niang, Strus, Okoro",1627745-1627747-1627777-1629622-1630171,CLE,320.0,3,5.0,6.0,10.0,10.0,20.0,3.0,,,1.0,5.0,2.0,3.0,4.0,9.0,16.0,10.0,,12.0,5.0,1.0,1.0,4.0,6.0,1.0,16.0,,,1.0,1.0,16.0,1.0,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.3333333333333333,0.3333333333333333,90.0,15.1,16.9,14.9,16.5,0.25,,,,0.4166666666666667,0.2,0.2,1.0,1.0,0.2,0.5576458333333333,2.033333333333333,25.033333333333335,,2.0,,,,,,4.0,2.0,,,3.0,4.0,2.0,6.0,,,,1.0,1.0,,,,,1.0,1.0,0.4,,1.0,0.6666666666666666,1.0,,,,,,3.0,3.0,3.0,4.0,,,1.0,,1.0,1.0,3.0,2.0,1.0,,,,,,,,1.0,3.0,,,1.0,0.5,,,,0.3333333333333333,0.75,0.75,1.0,,,,0.3333333333333333,0.48511666666666664,0.3,1.0,,2.0,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,0.5,,,,,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
1627745-1627747-1627777-1629622-1630241,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Max Strus, Sam Merrill","Jones, LeVert, Niang, Strus, Merrill",1627745-1627747-1627777-1629622-1630241,CLE,355.0,3,6.0,4.0,11.0,10.0,21.0,3.0,,1.0,3.0,3.0,2.0,6.0,3.0,3.0,14.0,10.0,4.0,6.0,3.0,3.0,1.0,2.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,12.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.7222222222222222,0.7,0.3333333333333333,0.16666666666666666,0.3333333333333333,85.1830985915493,16.545454545454547,17.3,15.090909090909092,17.3,0.3333333333333333,0.1111111111111111,,,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.4952611111111111,8.566666666666666,26.833333333333332,2.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,2.0,1.0,2.0,2.0,4.0,,,1.0,,,0.5,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,1.0,,0.5,1.0,0.4367,0.14285714285714285,4.0,,,,,,2.0,,,2.0,,,1.0,,2.0,,,3.0,1.0,,2.0,4.0,,,0.5,,,,,,,,,,,,0.5,0.5003125,0.36363636363636365,,1.0,,,1.0,3.0,,,0.5,,,,,,0.1,,,2.0,1.0,1.0,,0.2222222222222222,,,0.14285714285714285,,1.0,,2.0,6.0,,6.0,,0.75,0.75,0.25,,0.42857142857142855,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
1627745-1627747-1627777-1629636-1629660,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Darius Garland, Ty Jerome","Jones, LeVert, Niang, Garland, Jerome",1627745-1627747-1627777-1629636-1629660,CLE,160.0,1,3.0,5.0,5.0,5.0,10.0,1.0,2.0,2.0,,,3.0,3.0,,,9.0,4.0,4.0,,,,,,1.0,,2.0,1.0,1.0,,1.0,9.0,,,,1.0,1.0,0.9,,,,90.0,13.6,18.4,13.6,18.4,0.3333333333333333,0.6666666666666666,1.0,1.0,,,,,0.3333333333333333,,0.4754333333333333,4.966666666666667,,,1.0,,,,,,2.0,1.0,,,,1.0,,1.0,,,1.0,0.3333333333333333,0.3333333333333333,,,,,,0.5,,,,1.0,1.0,,,,,,5.0,5.0,,,,,,,,,,,1.0,,,,,,,,3.0,5.0,,,0.5,,,,,,,,,,,,,0.4754333333333333,1.0,,3.0,1.0,,,4.0,,,,1.0,,,1.0,,0.4,,,,1.0,2.0,,,,,0.4,1.0,1.0,3.0,3.0,9.0,,9.0,1.0,1.0,0.9,0.3333333333333333,1.0,1.0,,,,,,,,1.0,1.0,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
1627745-1627747-1627777-1629636-1630171,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Darius Garland, Isaac Okoro","Jones, LeVert, Niang, Garland, Okoro",1627745-1627747-1627777-1629636-1630171,CLE,146.0,2,2.0,-1.0,5.0,5.0,10.0,,1.0,2.0,,,1.0,2.0,1.0,2.0,5.0,6.0,2.0,3.0,,,,1.0,1.0,,3.0,,,1.0,2.0,5.0,1.0,0.5,0.5,0.5,0.625,0.625,0.5,,,98.63013698630138,16.2,13.0,14.2,13.0,,0.5,0.5,0.5,,,,,0.5,,0.5322,12.25,23.9,1.0,,,,,,,,,,,2.0,3.0,1.0,4.0,,,1.0,,,,,,,1.0,1.0,0.5,,1.0,,,,,,,,,,1.0,2.0,,,,,,,1.0,1.0,1.0,,1.0,,,2.0,,1.0,1.0,,,,1.0,1.0,,1.0,,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,0.5,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
1627745-1627747-1627777-1629636-1630241,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Darius Garland, Sam Merrill","Jones, LeVert, Niang, Garland, Merrill",1627745-1627747-1627777-1629636-1630241,CLE,442.0,2,7.0,3.0,18.0,17.0,35.0,6.0,1.0,2.0,1.0,1.0,5.0,9.0,1.0,2.0,17.0,14.0,2.0,3.0,1.0,1.0,,1.0,5.0,1.0,11.0,2.0,2.0,,2.0,17.0,1.0,0.5,0.5,0.5555555555555556,0.5909090909090909,0.6538461538461539,0.18181818181818182,,,114.02714932126698,10.833333333333334,14.529411764705882,10.833333333333334,14.058823529411764,0.5454545454545454,0.18181818181818182,0.5,0.5,0.09090909090909091,1.0,1.0,1.0,0.7272727272727273,1.0,0.6273954545454545,4.377777777777777,24.9,,3.0,,,,,,8.0,4.0,1.0,,2.0,9.0,,9.0,,,1.0,0.8,0.8,,,,,1.0,1.0,,,1.0,0.5,0.5,1.0,,,,,10.0,,,1.0,,,,,,1.0,,,7.0,,5.0,,,5.0,3.0,1.0,3.0,10.0,,,1.0,,,,1.0,0.09090909090909091,,,,,,,,0.5924833333333334,0.5555555555555556,,4.0,3.0,,2.0,5.0,,,1.0,1.0,,,1.0,,0.16666666666666666,,1.0,1.0,,2.0,,0.09090909090909091,1.0,1.0,0.2,,3.0,1.0,5.0,3.0,,3.0,0.2,0.16666666666666666,0.21428571428571427,0.5,,0.17647058823529413,,,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,True
