EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PtsUnassisted3s,Fg2aBlocked,Offensive Fouls,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangeFGM,Corner3FGA,Fg3aBlocked,OffThreePtRebounds,LostBallTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,FG3APctBlocked,AtRimPctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,SecondChanceArc3FGA,SecondChanceFG3A,FTDefRebounds,DefFTReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,Corner3PctBlocked,OffAtRimReboundPct,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,Loose Ball Fouls,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,LongMidRangeAssists,ThreePtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyFtPoints,NonShootingFoulsDrawn,Corner3FGM,Corner3Assists,LostBallOutOfBoundsTurnovers,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls Drawn,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGA,PenaltyFG3A,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyArc3Frequency,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,DefensiveGoaltends,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,HeaveAttempts,FTOffRebounds,Transition Take Fouls,Blocked3s,BlockedArc3,SecondChanceFg3Pct,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,3SecondViolations,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,team_id,year,season,team_vs
1627759-1628369-1628401-1628436-1630202,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Luke Kornet, Payton Pritchard","Brown, Tatum, White, Kornet, Pritchard",1627759-1628369-1628401-1628436-1630202,BOS,976.0,5,16.0,4.0,36.0,35.0,2.0,2.0,71.0,8.0,8.0,2.0,2.0,3.0,8.0,3.0,5.0,10.0,11.0,19.0,5.0,10.0,2.0,39.0,35.0,2.0,2.0,4.0,10.0,12.0,15.0,4.0,10.0,5.0,5.0,5.0,10.0,5.0,3.0,2.0,25.0,2.0,4.0,8.0,12.0,2.0,14.0,1.0,4.0,2.0,2.0,1.0,3.0,1.0,6.0,1.0,7.0,4.0,7.0,2.0,3.0,1.0,2.0,1.0,35.0,0.45454545454545453,0.5555555555555556,1.0,0.5,0.5,0.5789473684210527,1.0,0.6379310344827587,1.0,0.65,1.0,0.3448275862068966,0.14285714285714285,0.8,0.25,0.4444444444444444,0.631578947368421,0.15384615384615385,0.4,1.0,0.75,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.07692307692307693,104.75409836065575,11.222222222222221,16.34285714285714,11.222222222222221,15.457142857142857,0.27586206896551724,1.0,1.0,0.375,0.27586206896551724,0.375,0.375,0.6666666666666666,0.10344827586206896,0.3448275862068966,0.5,0.5,1.0,1.0,1.0,0.6206896551724138,0.5,0.5426810344827586,0.561,0.03333333333333333,0.05,0.10256410256410256,6.6947368421052635,26.439999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,True
1627759-1628369-1628401-1628436-1630573,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Luke Kornet, Sam Hauser","Brown, Tatum, White, Kornet, Hauser",1627759-1628369-1628401-1628436-1630573,BOS,528.0,2,9.0,-2.0,17.0,18.0,1.0,,35.0,5.0,5.0,,,3.0,4.0,,1.0,4.0,8.0,9.0,1.0,4.0,4.0,23.0,25.0,,,,12.0,4.0,,,4.0,1.0,6.0,,6.0,,3.0,3.0,12.0,,5.0,1.0,6.0,,6.0,,,,,,1.0,,2.0,,2.0,2.0,3.0,,3.0,,4.0,2.0,23.0,0.75,0.75,,0.25,0.25,0.8888888888888888,,0.7307692307692307,,0.7666666666666667,,0.3076923076923077,,0.5,,1.0,0.8571428571428571,,,0.5,,,1.0,,,95.45454545454545,14.470588235294118,15.666666666666666,14.470588235294118,15.444444444444445,0.38461538461538464,1.0,1.0,0.6,0.3076923076923077,0.75,1.0,1.0,,0.3076923076923077,0.25,0.25,,,,0.6923076923076923,0.25,0.540926923076923,,0.13333333333333333,0.18181818181818182,,4.2444444444444445,27.2,3.0,1.0,1.0,0.1111111111111111,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,True
1627759-1628369-1628401-1628436-201950,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Luke Kornet, Jrue Holiday","Brown, Tatum, White, Kornet, Holiday",1627759-1628369-1628401-1628436-201950,BOS,1021.0,7,17.0,-1.0,31.0,32.0,10.0,2.0,63.0,4.0,6.0,1.0,1.0,3.0,6.0,7.0,3.0,9.0,9.0,19.0,3.0,13.0,2.0,29.0,30.0,2.0,3.0,4.0,10.0,8.0,9.0,,9.0,3.0,5.0,3.0,8.0,3.0,3.0,2.0,19.0,2.0,6.0,7.0,13.0,3.0,16.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,3.0,4.0,7.0,,6.0,,3.0,2.0,25.0,0.5555555555555556,0.5555555555555556,1.0,0.23076923076923078,0.23076923076923078,0.47368421052631576,0.6666666666666666,0.421875,0.6666666666666666,0.4375,0.6666666666666666,0.40625,0.6666666666666666,0.7,0.2,1.0,0.8125,0.15,0.3333333333333333,0.5,0.6666666666666666,1.0,1.0,,,88.85406464250735,16.129032258064516,16.28125,15.580645161290322,15.5,0.1875,0.6666666666666666,0.8,0.75,0.1875,0.5,0.5,0.6666666666666666,0.21875,0.28125,0.3333333333333333,0.375,1.0,0.3333333333333333,1.0,0.59375,0.3333333333333333,0.525925,0.5369,0.0625,0.10526315789473684,0.13793103448275862,9.278947368421052,25.53846153846154,,1.0,,0.05263157894736842,,2.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,0.07692307692307693,0.16666666666666666,0.1111111111111111,0.1,0.2,0.25,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,True
1627759-1628369-1628401-1629052-1630202,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Oshae Brissett, Payton Pritchard","Brown, Tatum, White, Brissett, Pritchard",1627759-1628369-1628401-1629052-1630202,BOS,196.0,1,3.0,-5.0,6.0,6.0,6.0,1.0,12.0,,,,,,1.0,1.0,2.0,5.0,1.0,2.0,2.0,5.0,1.0,9.0,14.0,,1.0,,,2.0,6.0,,5.0,2.0,,2.0,2.0,2.0,,,6.0,1.0,,,1.0,3.0,4.0,,,,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,2.0,1.0,9.0,,,1.0,0.4,0.4,0.5,,0.5714285714285714,,0.5625,,0.7142857142857143,1.0,,1.0,,,0.75,1.0,,,,,,,88.16326530612245,21.0,11.666666666666666,17.5,11.666666666666666,,,,,0.14285714285714285,,,,0.14285714285714285,0.7142857142857143,0.4,0.4,1.0,,,0.7142857142857143,0.4,0.5302928571428571,0.5472,0.125,0.3333333333333333,,13.9,26.619999999999997,,,,,,1.0,,,2.0,,,,,,,,,,,,,,0.6666666666666666,,,,1.0,1.0,,2.0,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,True
1627759-1628369-1628401-1629052-201143,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Oshae Brissett, Al Horford","Brown, Tatum, White, Brissett, Horford",1627759-1628369-1628401-1629052-201143,BOS,140.0,1,2.0,-3.0,5.0,5.0,,2.0,10.0,1.0,3.0,1.0,1.0,1.0,1.0,,,1.0,2.0,4.0,,3.0,,4.0,7.0,1.0,1.0,2.0,4.0,,,,1.0,,2.0,,2.0,,1.0,1.0,4.0,1.0,1.0,,1.0,2.0,3.0,,,,,,,,,,,2.0,2.0,,2.0,1.0,,,2.0,1.0,1.0,,,,0.5,1.0,0.2857142857142857,0.5,0.2857142857142857,0.5,0.42857142857142855,,,0.5,1.0,1.0,0.4,,,,,1.0,,,102.85714285714285,19.0,9.0,17.2,9.0,0.42857142857142855,0.3333333333333333,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,,0.14285714285714285,,,,0.5,1.0,0.8571428571428571,,0.6115142857142857,0.7176,,,0.5,3.2,24.2,,2.0,,0.5,,,2.0,2.0,1.0,,1.0,,,,,,,,,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,,0.5,,,,0.2857142857142857,1.0,1.0,,,,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,True
1627759-1628369-1628401-1630202-1630214,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Payton Pritchard, Xavier Tillman","Brown, Tatum, White, Pritchard, Tillman",1627759-1628369-1628401-1630202-1630214,BOS,213.0,2,4.0,1.0,6.0,5.0,,1.0,11.0,,,,,2.0,3.0,,,1.0,2.0,3.0,,1.0,,4.0,3.0,1.0,1.0,2.0,2.0,2.0,,,1.0,,1.0,,1.0,,,1.0,2.0,,,2.0,2.0,1.0,3.0,,1.0,,1.0,1.0,,1.0,1.0,,2.0,1.0,3.0,,,,,,2.0,0.5,0.5,,,,0.6666666666666666,1.0,0.5,1.0,0.5,1.0,0.25,0.5,0.6666666666666666,,,0.3333333333333333,0.5,,1.0,0.5,,,,,74.36619718309859,14.0,25.8,12.166666666666666,20.0,,,,,0.75,0.6666666666666666,0.6666666666666666,0.5,,0.25,,,,,,0.25,,0.5084875,,,,0.5,4.733333333333333,25.1,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,True
1627759-1628369-1628401-1630202-201143,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Payton Pritchard, Al Horford","Brown, Tatum, White, Pritchard, Horford",1627759-1628369-1628401-1630202-201143,BOS,1536.0,9,26.0,,49.0,49.0,2.0,3.0,98.0,7.0,11.0,,1.0,8.0,15.0,3.0,6.0,14.0,17.0,29.0,6.0,15.0,10.0,62.0,62.0,,1.0,1.0,20.0,14.0,15.0,,14.0,6.0,10.0,5.0,15.0,5.0,5.0,4.0,35.0,2.0,10.0,6.0,16.0,3.0,19.0,,1.0,,1.0,3.0,,2.0,2.0,,5.0,1.0,6.0,,12.0,,13.0,6.0,61.0,0.5882352941176471,0.5882352941176471,0.8333333333333334,0.4,0.4,0.5862068965517241,,0.5909090909090909,,0.6326530612244898,0.16666666666666666,0.3409090909090909,0.6,1.0,0.16666666666666666,0.7142857142857143,0.8,0.14285714285714285,0.2857142857142857,1.0,1.0,1.0,0.7777777777777778,0.6,,91.875,15.26530612244898,16.081632653061224,14.877551020408163,15.693877551020408,0.25,0.6363636363636364,0.6363636363636364,0.7142857142857143,0.3409090909090909,0.5333333333333333,0.5714285714285714,0.5,0.06818181818181818,0.3181818181818182,0.42857142857142855,0.42857142857142855,0.8333333333333334,0.5,,0.5909090909090909,0.42857142857142855,0.5399090909090909,0.6145,0.125,0.18181818181818182,0.016129032258064516,6.3999999999999995,25.959999999999997,3.0,1.0,2.0,0.034482758620689655,0.06666666666666667,2.0,1.0,,1.0,1.0,2.0,2.0,,1.0,1.0,,1.0,1.0,,,,,0.1111111111111111,,,1.0,0.6666666666666666,0.6666666666666666,0.022727272727272728,1.0,1.0,,,0.125,0.5,,,,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5191,0.03225806451612903,0.04081632653061224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,True
1627759-1628369-1628401-1630202-201950,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Payton Pritchard, Jrue Holiday","Brown, Tatum, White, Pritchard, Holiday",1627759-1628369-1628401-1630202-201950,BOS,32.0,4,1.0,4.0,3.0,1.0,,1.0,4.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,3.0,,,2.0,4.0,,1.0,1.0,2.0,,2.0,,2.0,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,1.0,,2.0,,2.0,,,,,,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,180.0,4.333333333333333,19.0,4.333333333333333,19.0,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,0.3333333333333333,,,,,1.0,1.0,0.3333333333333333,,0.37283333333333335,0.5521,,,0.5,8.200000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,1.0,3.0,4.0,,,2.0,2.0,,0.3333333333333333,0.3333333333333333,0.5,,0.3333333333333333,1.0,0.37283333333333335,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,True
1627759-1628369-1628401-1630202-204001,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Payton Pritchard, Kristaps Porzingis","Brown, Tatum, White, Pritchard, Porzingis",1627759-1628369-1628401-1630202-204001,BOS,447.0,4,7.0,3.0,13.0,15.0,,,28.0,,,,,1.0,3.0,2.0,2.0,6.0,3.0,5.0,3.0,7.0,2.0,17.0,14.0,,,,,6.0,6.0,,6.0,2.0,,2.0,2.0,1.0,,,6.0,1.0,4.0,1.0,5.0,1.0,6.0,,1.0,1.0,,,,,1.0,,1.0,,,,3.0,,2.0,1.0,17.0,,,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.6,,0.625,,0.6538461538461539,,0.5833333333333334,,1.0,0.5,0.8,0.8333333333333334,0.16666666666666666,0.5,1.0,,,0.8,,,90.20134228187919,14.307692307692308,17.4,13.692307692307692,17.333333333333332,,,,,0.25,0.3333333333333333,0.3333333333333333,,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.5,,,0.5833333333333334,0.3333333333333333,0.5054708333333333,,0.07692307692307693,0.16666666666666666,,12.5,26.5,3.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,True
1627759-1628369-1628401-1630214-1630573,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Xavier Tillman, Sam Hauser","Brown, Tatum, White, Tillman, Hauser",1627759-1628369-1628401-1630214-1630573,BOS,137.0,1,2.0,-5.0,5.0,6.0,,,11.0,,,,,1.0,2.0,,,1.0,1.0,2.0,,1.0,2.0,4.0,9.0,,,,2.0,,,,1.0,,1.0,,1.0,,,1.0,2.0,,,,,,,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,2.0,,2.0,1.0,4.0,1.0,1.0,,,,0.5,,0.3333333333333333,,0.5,,0.3333333333333333,1.0,,,,,,,,,,,,,115.62043795620438,16.0,9.5,16.0,8.0,,,,,0.6666666666666666,0.5,0.5,1.0,,0.3333333333333333,,,,,,0.3333333333333333,,0.48218333333333335,,0.25,0.3333333333333333,,6.2,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,True
